['0.00', '54.678505', '25.263138', '75.97', '25.99', '37.23', '984.23', '7452']
['0.00', '54.678505', '25.263138', '75.97', '25.81', '37.24', '983.89', '7454']
['0.00', '54.678505', '25.263138', '75.97', '25.81', '37.24', '983.89', '7455']
['0.00', '54.678505', '25.263138', '75.97', '25.81', '37.24', '983.89', '7457']
['0.00', '54.678505', '25.263138', '75.97', '25.81', '37.24', '983.89', '7458']
['0.00', '54.678505', '25.263138', '75.95', '25.81', '37.28', '983.87', '7460']
['0.00', '54.678505', '25.263138', '75.95', '25.81', '37.28', '983.87', '7461']
['0.00', '54.678505', '25.263138', '75.95', '25.81', '37.28', '983.87', '7462']
['0.00', '54.678505', '25.263138', '75.95', '25.81', '37.28', '983.87', '7464']
['0.00', '54.678505', '25.263138', '75.94', '25.99', '37.24', '984.18', '7465']
['0.00', '54.678505', '25.263138', '75.94', '25.99', '37.24', '984.18', '7467']
['0.00', '54.678505', '25.263138', '75.94', '25.99', '37.24', '984.18', '7468']
['0.00', '54.678505', '25.263138', '75.94', '25.99', '37.24', '984.18', '7470']
['0.00', '54.678505', '25.263138', '75.94', '25.78', '37.25', '983.83', '7471']
['0.00', '54.678505', '25.263138', '75.94', '25.78', '37.25', '983.83', '7473']
['0.00', '54.678505', '25.263138', '75.94', '25.78', '37.25', '983.83', '7474']
['0.00', '54.678505', '25.263138', '75.94', '25.78', '37.25', '983.83', '7476']
['0.00', '54.678505', '25.263138', '75.94', '25.99', '37.23', '984.19', '7477']
['0.00', '54.678505', '25.263138', '75.94', '25.99', '37.23', '984.19', '7479']
['0.00', '54.678505', '25.263138', '75.94', '25.99', '37.23', '984.19', '7480']
['0.00', '54.678505', '25.263138', '75.94', '25.99', '37.23', '984.19', '7482']
['0.00', '54.678505', '25.263138', '75.94', '25.81', '37.23', '983.89', '7483']
['0.00', '54.678505', '25.263138', '75.94', '25.81', '37.23', '983.89', '7485']
['0.00', '54.678505', '25.263138', '75.94', '25.81', '37.23', '983.89', '7486']
['0.00', '54.678505', '25.263138', '75.94', '25.81', '37.23', '983.89', '7488']
['0.00', '54.678505', '25.263138', '75.94', '25.81', '37.22', '983.88', '7489']
['0.00', '54.678505', '25.263138', '75.94', '25.81', '37.22', '983.88', '7491']
['0.00', '54.678505', '25.263138', '75.94', '25.81', '37.22', '983.88', '7492']
['0.00', '54.678505', '25.263138', '75.94', '25.81', '37.22', '983.88', '7494']
['0.00', '54.678505', '25.263138', '75.95', '26.00', '37.20', '984.20', '7495']
['0.00', '54.678505', '25.263138', '75.95', '26.00', '37.20', '984.20', '7496']
['0.00', '54.678505', '25.263138', '75.95', '26.00', '37.20', '984.20', '7498']
['0.00', '54.678505', '25.263138', '75.95', '26.00', '37.20', '984.20', '7499']
['0.00', '54.678505', '25.263138', '75.93', '25.78', '37.28', '983.84', '7501']
['0.00', '54.678505', '25.263138', '75.93', '25.78', '37.28', '983.84', '7502']
['0.00', '54.678505', '25.263138', '75.93', '25.78', '37.28', '983.84', '7504']
['0.00', '54.678505', '25.263138', '75.93', '25.78', '37.28', '983.84', '7505']
['0.00', '54.678505', '25.263138', '75.93', '26.02', '37.20', '984.24', '7507']
['0.00', '54.678505', '25.263138', '75.93', '26.02', '37.20', '984.24', '7508']
['0.00', '54.678505', '25.263138', '75.93', '26.02', '37.20', '984.24', '7510']
['0.00', '54.678505', '25.263138', '75.93', '26.02', '37.20', '984.24', '7511']
['0.00', '54.678505', '25.263138', '75.93', '26.02', '37.20', '984.24', '7512']
['0.00', '54.678505', '25.263138', '75.91', '25.79', '37.20', '983.85', '7514']
['0.00', '54.678505', '25.263138', '75.91', '25.79', '37.20', '983.85', '7515']
['0.00', '54.678505', '25.263138', '75.91', '25.79', '37.20', '983.85', '7517']
['0.00', '54.678505', '25.263138', '75.91', '25.79', '37.20', '983.85', '7518']
['0.00', '54.678505', '25.263138', '75.90', '25.81', '37.20', '983.86', '7520']
['0.00', '54.678505', '25.263138', '75.90', '25.81', '37.20', '983.86', '7521']
['0.00', '54.678505', '25.263138', '75.90', '25.81', '37.20', '983.86', '7523']
['0.00', '54.678505', '25.263138', '75.90', '25.81', '37.20', '983.86', '7524']
['0.00', '54.678505', '25.263138', '75.89', '25.99', '37.22', '984.17', '7526']
['0.00', '54.678505', '25.263138', '75.89', '25.99', '37.22', '984.17', '7527']
['0.00', '54.678505', '25.263138', '75.89', '25.99', '37.22', '984.17', '7528']
['0.00', '54.678505', '25.263138', '75.89', '25.99', '37.22', '984.17', '7530']
['0.00', '54.678505', '25.263138', '75.90', '25.81', '37.23', '983.86', '7531']
['0.00', '54.678505', '25.263138', '75.90', '25.81', '37.23', '983.86', '7533']
['0.00', '54.678505', '25.263138', '75.90', '25.81', '37.23', '983.86', '7534']
['0.00', '54.678505', '25.263138', '75.90', '25.81', '37.23', '983.86', '7535']
['0.00', '54.678505', '25.263138', '75.90', '26.00', '37.23', '984.20', '7537']
['0.00', '54.678505', '25.263138', '75.90', '26.00', '37.23', '984.20', '7538']
['0.00', '54.678505', '25.263138', '75.90', '26.00', '37.23', '984.20', '7540']
['0.00', '54.678505', '25.263138', '75.90', '26.00', '37.23', '984.20', '7541']
['0.00', '54.678505', '25.263138', '75.89', '25.79', '37.24', '983.84', '7543']
['0.00', '54.678505', '25.263138', '75.89', '25.79', '37.24', '983.84', '7544']
['0.00', '54.678505', '25.263138', '75.89', '25.79', '37.24', '983.84', '7545']
['0.00', '54.678505', '25.263138', '75.89', '25.79', '37.24', '983.84', '7547']
['0.00', '54.678505', '25.263138', '75.89', '25.79', '37.24', '983.84', '7548']
['0.00', '54.678505', '25.263138', '75.90', '25.79', '37.18', '983.83', '7550']
['0.00', '54.678505', '25.263138', '75.90', '25.79', '37.18', '983.83', '7551']
['0.00', '54.678505', '25.263138', '75.90', '25.79', '37.18', '983.83', '7553']
['0.00', '54.678505', '25.263138', '75.90', '25.79', '37.18', '983.83', '7554']
['0.00', '54.678505', '25.263138', '75.90', '26.00', '37.23', '984.17', '7555']
['0.00', '54.678505', '25.263138', '75.90', '26.00', '37.23', '984.17', '7557']
['0.00', '54.678505', '25.263138', '75.90', '26.00', '37.23', '984.17', '7558']
['0.00', '54.678505', '25.263138', '75.90', '26.00', '37.23', '984.17', '7560']
['0.00', '54.678505', '25.263138', '75.90', '25.82', '37.23', '983.88', '7561']
['0.00', '54.678505', '25.263138', '75.90', '25.82', '37.23', '983.88', '7563']
['0.00', '54.678505', '25.263138', '75.90', '25.82', '37.23', '983.88', '7564']
['0.00', '54.678505', '25.263138', '75.90', '25.82', '37.23', '983.88', '7566']
['0.00', '54.678505', '25.263138', '75.90', '25.93', '37.23', '984.07', '7567']
['0.00', '54.678505', '25.263138', '75.90', '25.93', '37.23', '984.07', '7568']
['0.00', '54.678505', '25.263138', '75.90', '25.93', '37.23', '984.07', '7570']
['0.00', '54.678505', '25.263138', '75.90', '25.93', '37.23', '984.07', '7571']
['0.00', '54.678505', '25.263138', '75.90', '26.00', '37.23', '984.13', '7573']
['0.00', '54.678505', '25.263138', '75.90', '26.00', '37.23', '984.13', '7574']
['0.00', '54.678505', '25.263138', '75.90', '26.00', '37.23', '984.13', '7576']
['0.00', '54.678505', '25.263138', '75.90', '26.00', '37.23', '984.13', '7577']
['0.00', '54.678505', '25.263138', '75.90', '25.79', '37.21', '983.82', '7579']
['0.00', '54.678505', '25.263138', '75.90', '25.79', '37.21', '983.82', '7580']
['0.00', '54.678505', '25.263138', '75.90', '25.79', '37.21', '983.82', '7582']
['0.00', '54.678505', '25.263138', '75.90', '25.79', '37.21', '983.82', '7583']
['0.00', '54.678505', '25.263138', '75.90', '26.00', '37.25', '984.18', '7585']
['0.00', '54.678505', '25.263138', '75.90', '26.00', '37.25', '984.18', '7586']
['0.00', '54.678505', '25.263138', '75.90', '26.00', '37.25', '984.18', '7588']
['0.00', '54.678505', '25.263138', '75.90', '26.00', '37.25', '984.18', '7589']
['0.00', '54.678505', '25.263138', '75.90', '25.82', '37.25', '983.88', '7591']
['0.00', '54.678505', '25.263138', '75.90', '25.82', '37.25', '983.88', '7592']
['0.00', '54.678505', '25.263138', '75.90', '25.82', '37.25', '983.88', '7594']
['0.00', '54.678505', '25.263138', '75.90', '25.82', '37.25', '983.88', '7595']
['0.00', '54.678505', '25.263138', '75.90', '25.82', '37.25', '983.88', '7596']
['0.00', '54.678505', '25.263138', '75.90', '25.79', '37.27', '983.80', '7598']
['0.00', '54.678505', '25.263138', '75.90', '25.79', '37.27', '983.80', '7600']
['0.00', '54.678505', '25.263138', '75.90', '25.79', '37.27', '983.80', '7601']
['0.00', '54.678505', '25.263138', '75.90', '25.79', '37.27', '983.80', '7602']
['0.00', '54.678505', '25.263138', '75.90', '26.00', '37.24', '984.14', '7604']
['0.00', '54.678505', '25.263138', '75.90', '26.00', '37.24', '984.14', '7605']
['0.00', '54.678505', '25.263138', '75.90', '26.00', '37.24', '984.14', '7607']
['0.00', '54.678505', '25.263138', '75.90', '26.00', '37.24', '984.14', '7608']
['0.00', '54.678505', '25.263138', '75.90', '25.79', '37.19', '983.83', '7610']
['0.00', '54.678505', '25.263138', '75.90', '25.79', '37.19', '983.83', '7611']
['0.00', '54.678505', '25.263138', '75.90', '25.79', '37.19', '983.83', '7612']
['0.00', '54.678505', '25.263138', '75.90', '25.79', '37.19', '983.83', '7614']
['0.00', '54.678505', '25.263138', '75.90', '26.00', '37.24', '984.17', '7615']
['0.00', '54.678505', '25.263138', '75.90', '26.00', '37.24', '984.17', '7617']
['0.00', '54.678505', '25.263138', '75.90', '26.00', '37.24', '984.17', '7618']
['0.00', '54.678505', '25.263138', '75.90', '26.00', '37.24', '984.17', '7620']
['0.00', '54.678505', '25.263138', '75.90', '25.80', '37.24', '983.83', '7621']
['0.00', '54.678505', '25.263138', '75.90', '25.80', '37.24', '983.83', '7623']
['0.00', '54.678505', '25.263138', '75.90', '25.80', '37.24', '983.83', '7624']
['0.00', '54.678505', '25.263138', '75.90', '25.80', '37.24', '983.83', '7626']
['0.00', '54.678505', '25.263138', '75.90', '25.83', '37.17', '983.86', '7627']
['0.00', '54.678505', '25.263138', '75.90', '25.83', '37.17', '983.86', '7628']
['0.00', '54.678505', '25.263138', '75.90', '25.83', '37.17', '983.86', '7630']
['0.00', '54.678505', '25.263138', '75.90', '25.83', '37.17', '983.86', '7631']
['0.00', '54.678505', '25.263138', '75.92', '25.98', '37.22', '984.09', '7633']
['0.00', '54.678505', '25.263138', '75.92', '25.98', '37.22', '984.09', '7634']
['0.00', '54.678505', '25.263138', '75.92', '25.98', '37.22', '984.09', '7636']
