['0.00', '3.066667', '0.416667', '75.42', '86.61', '93.55', '27.67', '28.24', '998.83', '20290']
['0.00', '3.066667', '0.416667', '75.42', '86.61', '93.55', '27.67', '28.24', '998.83', '20290']
['0.00', '3.066667', '0.416667', '75.42', '86.61', '93.55', '27.67', '28.24', '998.83', '20290']
['0.00', '3.066667', '0.416667', '75.42', '86.61', '93.55', '27.67', '28.24', '998.83', '20290']
['0.00', '3.066667', '0.416667', '75.42', '86.61', '93.55', '27.67', '28.24', '998.83', '20290']
['0.00', '3.066667', '0.416667', '75.42', '86.61', '93.55', '27.67', '28.24', '998.83', '20290']
['0.00', '3.066667', '0.416667', '75.42', '86.61', '93.55', '27.67', '28.24', '998.83', '20291']
['0.00', '3.066667', '0.416667', '75.42', '86.61', '93.55', '27.67', '28.24', '998.83', '20291']
['0.00', '3.066667', '0.416667', '75.42', '86.61', '93.55', '27.67', '28.24', '998.83', '20291']
['0.00', '3.066667', '0.416667', '75.42', '86.61', '93.55', '27.67', '28.24', '998.83', '20291']
['0.00', '3.066667', '0.416667', '75.42', '86.61', '93.55', '27.67', '28.24', '998.83', '20291']
['0.00', '3.066667', '0.416667', '75.42', '86.61', '93.55', '27.67', '28.24', '998.83', '20291']
['0.00', '3.066667', '0.416667', '75.42', '86.61', '93.55', '27.67', '28.24', '998.83', '20291']
['0.00', '3.066667', '0.416667', '75.42', '86.61', '93.55', '27.67', '28.24', '998.83', '20291']
['0.00', '3.066667', '0.416667', '75.42', '86.61', '93.55', '27.67', '28.24', '998.83', '20291']
['0.00', '3.066667', '0.416667', '75.42', '86.61', '93.55', '27.67', '28.24', '998.83', '20291']
['0.00', '3.066667', '0.416667', '75.42', '86.61', '93.55', '27.67', '28.24', '998.83', '20291']
['0.00', '3.066667', '0.416667', '75.42', '86.61', '93.55', '27.67', '28.24', '998.83', '20291']
['0.00', '3.066667', '0.416667', '75.42', '86.61', '93.55', '27.67', '28.24', '998.83', '20291']
['0.00', '3.066667', '0.416667', '75.42', '86.61', '93.55', '27.67', '28.24', '998.83', '20291']
['0.00', '3.066667', '0.416667', '75.46', '86.58', '93.50', '27.65', '28.23', '998.75', '20292']
['0.00', '3.066667', '0.416667', '75.46', '86.58', '93.50', '27.65', '28.23', '998.75', '20292']
['0.00', '3.066667', '0.416667', '75.46', '86.58', '93.50', '27.65', '28.23', '998.75', '20292']
['0.00', '3.066667', '0.416667', '75.46', '86.58', '93.50', '27.65', '28.23', '998.75', '20292']
['0.00', '3.066667', '0.416667', '75.46', '86.58', '93.50', '27.65', '28.23', '998.75', '20292']
['0.00', '3.066667', '0.416667', '75.46', '86.58', '93.50', '27.65', '28.23', '998.75', '20292']
