['5.31', '54.678085', '25.263411', '87.02', '78.38', '110.14', '26.59', '34.47', '992.09', '2284']
['5.31', '54.678085', '25.263411', '87.02', '78.38', '110.14', '26.59', '34.47', '992.09', '2285']
['5.31', '54.678085', '25.263411', '87.02', '78.38', '110.14', '26.59', '34.47', '992.09', '2285']
['5.31', '54.678085', '25.263411', '87.02', '78.38', '110.14', '26.59', '34.47', '992.09', '2286']
['5.31', '54.678085', '25.263411', '87.02', '78.38', '110.14', '26.59', '34.47', '992.09', '2286']
['5.31', '54.678085', '25.263411', '87.02', '78.38', '110.14', '26.59', '34.47', '992.09', '2286']
['5.31', '54.678085', '25.263412', '87.02', '78.38', '110.14', '26.63', '34.67', '992.17', '2288']
['5.31', '54.678085', '25.263412', '87.02', '78.38', '110.14', '26.63', '34.67', '992.17', '2288']
['5.31', '54.678085', '25.263412', '87.02', '78.38', '110.14', '26.20', '34.49', '991.51', '2289']
['5.31', '54.678085', '25.263412', '87.02', '78.38', '110.14', '26.20', '34.49', '991.51', '2290']
['5.31', '54.678085', '25.263412', '87.02', '78.38', '110.14', '26.20', '34.49', '991.51', '2290']
['5.31', '54.678082', '25.263412', '87.02', '78.38', '110.14', '26.20', '34.49', '991.51', '2291']
['5.31', '54.678082', '25.263412', '87.02', '78.38', '110.14', '26.60', '34.47', '992.12', '2292']
['5.31', '54.678082', '25.263412', '87.02', '78.38', '110.14', '26.60', '34.47', '992.12', '2292']
['5.31', '54.678082', '25.263414', '87.02', '78.38', '110.14', '26.60', '34.47', '992.12', '2293']
['5.31', '54.678082', '25.263414', '87.02', '78.38', '110.14', '26.60', '34.47', '992.12', '2293']
['5.31', '54.678082', '25.263414', '87.02', '78.38', '110.14', '26.64', '34.46', '992.18', '2294']
['5.31', '54.678082', '25.263414', '87.02', '78.38', '110.14', '26.64', '34.46', '992.18', '2294']
['5.31', '54.678082', '25.263414', '87.02', '78.38', '110.14', '26.64', '34.46', '992.18', '2294']
['5.31', '54.678082', '25.263414', '87.02', '78.38', '110.14', '26.64', '34.46', '992.18', '2296']
['5.31', '54.678082', '25.263416', '87.02', '78.38', '110.14', '26.55', '34.47', '992.01', '2297']
['5.31', '54.678082', '25.263416', '87.02', '78.38', '110.14', '26.55', '34.47', '992.01', '2297']
['5.31', '54.678082', '25.263416', '87.02', '78.38', '110.14', '26.55', '34.47', '992.01', '2298']
['5.31', '54.678082', '25.263416', '87.02', '78.38', '110.14', '26.55', '34.47', '992.01', '2298']
['5.31', '54.678082', '25.263416', '87.02', '78.38', '110.14', '26.55', '34.47', '992.01', '2299']
['5.31', '54.678082', '25.263416', '87.02', '78.38', '110.14', '26.64', '34.39', '992.16', '2300']
['5.31', '54.678082', '25.263416', '87.02', '78.38', '110.14', '26.64', '34.39', '992.16', '2300']
['5.31', '54.678082', '25.263416', '87.02', '78.38', '110.14', '26.64', '34.39', '992.16', '2301']
['5.31', '54.678082', '25.263416', '87.02', '78.38', '110.14', '26.64', '34.39', '992.16', '2301']
['5.31', '54.678082', '25.263416', '87.02', '78.38', '110.14', '26.16', '34.47', '991.47', '2302']
['5.31', '54.678082', '25.263416', '87.02', '78.38', '110.14', '26.16', '34.47', '991.47', '2303']
['5.31', '54.678082', '25.263416', '87.02', '78.38', '110.14', '26.16', '34.47', '991.47', '2303']
['5.31', '54.678082', '25.263416', '87.02', '78.38', '110.14', '26.16', '34.47', '991.47', '2304']
['5.31', '54.678082', '25.263414', '87.02', '78.38', '110.14', '26.58', '34.47', '992.11', '2305']
['5.31', '54.678082', '25.263414', '87.02', '78.38', '110.14', '26.58', '34.47', '992.11', '2305']
['5.31', '54.678082', '25.263414', '87.02', '78.38', '110.14', '26.58', '34.47', '992.11', '2306']
['5.31', '54.678082', '25.263414', '87.02', '78.38', '110.14', '26.59', '34.47', '992.08', '2307']
['5.31', '54.678082', '25.263414', '87.02', '78.38', '110.14', '26.59', '34.47', '992.08', '2307']
['5.31', '54.678082', '25.263414', '87.02', '78.38', '110.14', '26.59', '34.47', '992.08', '2308']
['5.31', '54.678082', '25.263414', '87.02', '78.38', '110.14', '26.59', '34.47', '992.08', '2308']
['5.31', '54.678082', '25.263416', '87.02', '78.38', '110.14', '26.59', '34.47', '992.08', '2309']
['5.31', '54.678082', '25.263416', '87.02', '78.38', '110.14', '26.58', '34.46', '992.09', '2310']
['5.31', '54.678082', '25.263416', '87.02', '78.38', '110.14', '26.58', '34.46', '992.09', '2310']
['5.31', '54.678078', '25.263416', '87.02', '78.38', '110.14', '26.58', '34.46', '992.09', '2311']
['5.31', '54.678078', '25.263416', '87.02', '78.38', '110.14', '26.58', '34.46', '992.09', '2311']
['5.31', '54.678078', '25.263416', '87.02', '78.38', '110.14', '26.58', '34.46', '992.09', '2312']
['5.31', '54.678078', '25.263416', '87.02', '78.38', '110.14', '26.63', '34.50', '992.12', '2313']
['5.31', '54.678078', '25.263416', '87.02', '78.38', '110.14', '26.63', '34.50', '992.12', '2313']
['5.31', '54.678078', '25.263416', '87.02', '78.38', '110.14', '26.63', '34.50', '992.12', '2314']
['5.31', '54.678078', '25.263416', '87.02', '78.38', '110.14', '26.14', '34.46', '991.44', '2315']
['5.31', '54.678078', '25.263416', '87.02', '78.38', '110.14', '26.14', '34.46', '991.44', '2315']
['5.31', '54.678078', '25.263416', '87.02', '78.38', '110.14', '26.14', '34.46', '991.44', '2316']
['5.31', '54.678078', '25.263416', '87.02', '78.38', '110.14', '26.14', '34.46', '991.44', '2317']
['5.31', '54.678078', '25.263416', '87.02', '78.38', '110.14', '26.14', '34.46', '991.44', '2317']
['5.31', '54.678078', '25.263416', '87.02', '78.38', '110.14', '26.59', '34.46', '992.11', '2318']
['5.31', '54.678078', '25.263416', '87.02', '78.38', '110.14', '26.59', '34.46', '992.11', '2318']
['5.31', '54.678078', '25.263416', '87.02', '78.38', '110.14', '26.59', '34.46', '992.11', '2319']
['5.31', '54.678074', '25.263420', '87.02', '78.38', '110.14', '26.55', '34.47', '992.01', '2320']
['5.31', '54.678074', '25.263420', '87.02', '78.38', '110.14', '26.55', '34.47', '992.01', '2320']
['5.31', '54.678074', '25.263420', '87.02', '78.38', '110.14', '26.55', '34.47', '992.01', '2321']
['5.31', '54.678074', '25.263420', '87.02', '78.38', '110.14', '26.55', '34.47', '992.01', '2322']
['5.31', '54.678074', '25.263420', '87.02', '78.38', '110.14', '26.55', '34.47', '992.01', '2322']
['5.31', '54.678070', '25.263424', '87.02', '78.38', '110.14', '26.63', '34.46', '992.16', '2323']
['5.31', '54.678070', '25.263424', '87.02', '78.38', '110.14', '26.63', '34.46', '992.16', '2324']
['5.31', '54.678070', '25.263424', '87.02', '78.38', '110.14', '26.63', '34.46', '992.16', '2324']
['5.31', '54.678070', '25.263424', '87.02', '78.38', '110.14', '26.63', '34.46', '992.16', '2325']
['5.31', '54.678070', '25.263424', '87.02', '78.38', '110.14', '26.63', '34.46', '992.16', '2325']
['5.31', '54.678070', '25.263424', '87.02', '78.38', '110.14', '26.63', '34.47', '992.17', '2326']
['5.31', '54.678070', '25.263424', '87.02', '78.38', '110.14', '26.63', '34.47', '992.17', '2327']
['5.31', '54.678070', '25.263424', '87.02', '78.38', '110.14', '26.63', '34.47', '992.17', '2327']
['5.31', '54.678070', '25.263422', '87.02', '78.38', '110.14', '26.29', '34.47', '991.69', '2328']
['5.31', '54.678070', '25.263422', '87.02', '78.38', '110.14', '26.29', '34.47', '991.69', '2329']
['5.31', '54.678070', '25.263422', '87.02', '78.38', '110.14', '26.29', '34.47', '991.69', '2329']
['5.31', '54.678070', '25.263422', '87.02', '78.38', '110.14', '26.29', '34.47', '991.69', '2330']
['5.31', '54.678070', '25.263422', '87.02', '78.38', '110.14', '26.29', '34.47', '991.69', '2330']
['5.31', '54.678070', '25.263422', '87.02', '78.38', '110.14', '26.58', '34.46', '992.12', '2331']
['5.31', '54.678074', '25.263422', '87.02', '78.38', '110.14', '26.58', '34.46', '992.12', '2332']
['5.31', '54.678074', '25.263422', '87.02', '78.38', '110.14', '26.58', '34.46', '992.12', '2332']
['5.31', '54.678074', '25.263422', '87.02', '78.38', '110.14', '26.60', '34.46', '992.09', '2333']
['5.31', '54.678074', '25.263422', '87.02', '78.38', '110.14', '26.60', '34.46', '992.09', '2333']
['5.31', '54.678074', '25.263422', '87.02', '78.38', '110.14', '26.60', '34.46', '992.09', '2334']
['5.31', '54.678074', '25.263422', '87.02', '78.38', '110.14', '26.60', '34.46', '992.09', '2335']
['5.31', '54.678074', '25.263422', '87.02', '78.38', '110.14', '26.60', '34.46', '992.09', '2335']
['5.31', '54.678074', '25.263422', '87.02', '78.38', '110.14', '26.59', '34.45', '992.10', '2336']
['5.31', '54.678074', '25.263422', '87.02', '78.38', '110.14', '26.59', '34.45', '992.10', '2336']
['5.31', '54.678074', '25.263422', '87.02', '78.38', '110.14', '26.59', '34.45', '992.10', '2337']
['5.31', '54.678074', '25.263422', '87.02', '78.38', '110.14', '26.59', '34.45', '992.10', '2338']
['5.31', '54.678074', '25.263422', '87.02', '78.38', '110.14', '26.59', '34.45', '992.10', '2338']
['5.31', '54.678074', '25.263422', '87.02', '78.38', '110.14', '26.63', '34.44', '992.17', '2339']
['5.31', '54.678074', '25.263420', '87.02', '78.38', '110.14', '26.63', '34.44', '992.17', '2340']
['5.31', '54.678074', '25.263420', '87.02', '78.38', '110.14', '26.63', '34.44', '992.17', '2340']
['5.31', '54.678074', '25.263420', '87.02', '78.38', '110.14', '26.59', '34.44', '992.17', '2341']
['5.31', '54.678074', '25.263420', '87.02', '78.38', '110.14', '26.59', '34.44', '992.17', '2342']
['5.31', '54.678074', '25.263420', '87.02', '78.38', '110.14', '26.59', '34.44', '992.17', '2342']
['5.31', '54.678074', '25.263420', '87.02', '78.38', '110.14', '26.59', '34.44', '992.17', '2343']
['5.31', '54.678074', '25.263420', '87.02', '78.38', '110.14', '26.59', '34.36', '992.10', '2344']
['5.31', '54.678074', '25.263420', '87.02', '78.38', '110.14', '26.59', '34.36', '992.10', '2344']
['5.31', '54.678074', '25.263420', '87.02', '78.38', '110.14', '26.59', '34.36', '992.10', '2345']
['5.31', '54.678074', '25.263420', '87.02', '78.38', '110.14', '26.59', '34.36', '992.10', '2345']
['5.31', '54.678074', '25.263420', '87.02', '78.38', '110.14', '26.59', '34.44', '992.10', '2346']
['5.31', '54.678074', '25.263420', '87.02', '78.38', '110.14', '26.59', '34.44', '992.10', '2347']
['5.31', '54.678074', '25.263420', '87.02', '78.38', '110.14', '26.59', '34.44', '992.10', '2347']
['5.31', '54.678074', '25.263420', '87.02', '78.38', '110.14', '26.59', '34.44', '992.10', '2348']
['5.31', '54.678074', '25.263420', '87.02', '78.38', '110.14', '26.63', '34.44', '992.17', '2349']
['5.31', '54.678074', '25.263420', '87.02', '78.38', '110.14', '26.63', '34.44', '992.17', '2349']
['5.31', '54.678074', '25.263420', '87.02', '78.38', '110.14', '26.63', '34.44', '992.17', '2350']
['5.31', '54.678074', '25.263420', '87.02', '78.38', '110.14', '26.63', '34.44', '992.17', '2350']
['5.31', '54.678074', '25.263420', '87.02', '78.38', '110.14', '26.63', '34.44', '992.17', '2351']
['5.31', '54.678074', '25.263420', '87.02', '78.38', '110.14', '26.64', '34.43', '992.19', '2352']
['5.31', '54.678074', '25.263420', '87.02', '78.38', '110.14', '26.64', '34.43', '992.19', '2352']
['5.31', '54.678074', '25.263420', '87.02', '78.38', '110.14', '26.64', '34.43', '992.19', '2353']
['5.31', '54.678074', '25.263420', '87.02', '78.38', '110.14', '26.64', '34.43', '992.19', '2353']
['5.31', '54.678074', '25.263420', '87.02', '78.38', '110.14', '26.59', '34.42', '992.15', '2354']
['5.31', '54.678074', '25.263420', '87.02', '78.38', '110.14', '26.59', '34.42', '992.15', '2355']
['5.31', '54.678074', '25.263420', '87.02', '78.38', '110.14', '26.59', '34.42', '992.15', '2355']
['5.31', '54.678074', '25.263420', '87.02', '78.38', '110.14', '26.59', '34.42', '992.15', '2356']
['5.31', '54.678074', '25.263420', '87.02', '78.38', '110.14', '26.59', '34.37', '992.18', '2357']
['5.31', '54.678074', '25.263420', '87.02', '78.38', '110.14', '26.59', '34.37', '992.18', '2357']
['5.31', '54.678074', '25.263418', '87.02', '78.38', '110.14', '26.59', '34.37', '992.18', '2358']
['5.31', '54.678074', '25.263418', '87.02', '78.38', '110.14', '26.64', '34.43', '992.17', '2359']
['5.31', '54.678074', '25.263418', '87.02', '78.38', '110.14', '26.64', '34.43', '992.17', '2359']
['5.31', '54.678074', '25.263418', '87.02', '78.38', '110.14', '26.64', '34.43', '992.17', '2360']
