['0.00', '0.000000', '0.000000', '73.96', '79.93', '67.22', '25.40', '28.74', '998.09', '4451']
['0.00', '0.000000', '0.000000', '73.96', '79.93', '67.22', '25.40', '28.74', '998.09', '4451']
['0.00', '0.000000', '0.000000', '73.96', '79.93', '67.22', '25.40', '28.74', '998.09', '4451']
['0.00', '0.000000', '0.000000', '73.96', '79.93', '67.22', '25.40', '28.74', '998.09', '4451']
['0.00', '0.000000', '0.000000', '73.96', '79.93', '67.22', '25.40', '28.74', '998.09', '4451']
['0.00', '0.000000', '0.000000', '73.96', '79.93', '67.22', '25.40', '28.74', '998.09', '4451']
['0.00', '0.000000', '0.000000', '73.96', '79.93', '67.22', '25.40', '28.74', '998.09', '4451']
['0.00', '0.000000', '0.000000', '73.96', '79.93', '67.22', '25.40', '28.74', '998.09', '4451']
['0.00', '0.000000', '0.000000', '73.96', '79.93', '67.22', '25.40', '28.74', '998.09', '4451']
['0.00', '0.000000', '0.000000', '73.96', '79.93', '67.22', '25.40', '28.74', '998.09', '4451']
['0.00', '0.000000', '0.000000', '73.96', '79.93', '67.22', '25.40', '28.74', '998.09', '4451']
['0.00', '0.000000', '0.000000', '73.96', '79.93', '67.22', '25.40', '28.74', '998.09', '4451']
['0.00', '0.000000', '0.000000', '73.96', '79.93', '67.22', '25.39', '28.74', '998.06', '4452']
['0.00', '0.000000', '0.000000', '73.96', '79.93', '67.22', '25.39', '28.74', '998.06', '4452']
['0.00', '0.000000', '0.000000', '73.96', '79.93', '67.22', '25.39', '28.74', '998.06', '4452']
['0.00', '0.000000', '0.000000', '73.96', '79.93', '67.22', '25.39', '28.74', '998.06', '4452']
['0.00', '0.000000', '0.000000', '73.96', '79.93', '67.22', '25.39', '28.74', '998.06', '4452']
['0.00', '0.000000', '0.000000', '73.96', '79.93', '67.22', '25.39', '28.74', '998.06', '4452']
['0.00', '0.000000', '0.000000', '73.96', '79.93', '67.22', '25.39', '28.74', '998.06', '4452']
['0.00', '0.000000', '0.000000', '73.96', '79.93', '67.22', '25.39', '28.74', '998.06', '4452']
['0.00', '0.000000', '0.000000', '73.96', '79.93', '67.22', '25.39', '28.74', '998.06', '4452']
['0.00', '0.000000', '0.000000', '73.96', '79.93', '67.22', '25.39', '28.74', '998.06', '4452']
['0.00', '0.000000', '0.000000', '73.96', '79.93', '67.22', '25.39', '28.74', '998.06', '4452']
['0.00', '0.000000', '0.000000', '73.96', '79.93', '67.22', '25.39', '28.74', '998.06', '4452']
['0.00', '0.000000', '0.000000', '73.96', '79.93', '67.22', '25.39', '28.74', '998.06', '4452']
['0.00', '0.000000', '0.000000', '73.96', '79.93', '67.22', '25.39', '28.74', '998.06', '4452']
