['0.00', '54.678173', '25.263224', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.69', '119.02', '10897']
['0.00', '54.678165', '25.263226', '11.00', '79.22', '54.01', '26.03', '32.93', '1004.82', '126.27', '10909']
['0.00', '54.678173', '25.263226', '11.00', '79.22', '54.01', '26.67', '32.95', '1005.74', '118.62', '10921']
['0.00', '54.678177', '25.263226', '11.00', '79.22', '54.01', '26.03', '32.95', '1004.78', '126.67', '10933']
['0.00', '54.678131', '25.263233', '11.00', '79.22', '54.01', '26.42', '32.96', '1005.47', '118.71', '10945']
['0.00', '54.678085', '25.263243', '11.00', '79.22', '54.01', '26.66', '32.93', '1005.77', '118.35', '10957']
['0.00', '54.677975', '25.263264', '11.00', '79.22', '54.01', '26.04', '32.94', '1004.80', '126.45', '10970']
['0.00', '54.677864', '25.263287', '11.00', '79.22', '54.01', '26.67', '32.94', '1005.79', '118.21', '10982']
['0.00', '54.677792', '25.263300', '11.00', '79.22', '54.01', '26.60', '32.95', '1005.71', '118.89', '10994']
['0.00', '54.677727', '25.263313', '11.00', '79.22', '54.01', '26.67', '32.94', '1005.81', '118.01', '11006']
['0.00', '54.677700', '25.263317', '11.00', '79.22', '54.01', '26.59', '32.96', '1005.66', '119.29', '11018']
['0.00', '54.677788', '25.263302', '11.00', '79.22', '54.01', '25.96', '32.96', '1004.69', '127.43', '11030']
['0.00', '54.677822', '25.263296', '11.00', '79.22', '54.01', '26.59', '33.07', '1005.78', '118.24', '11036']
['0.00', '54.677822', '25.263296', '11.00', '79.22', '54.01', '26.59', '33.07', '1005.78', '118.24', '11036']
['0.00', '54.677822', '25.263296', '11.00', '79.22', '54.01', '26.59', '33.07', '1005.78', '118.24', '11036']
['0.00', '54.677822', '25.263296', '11.00', '79.22', '54.01', '26.59', '33.07', '1005.78', '118.24', '11037']
['0.00', '54.677822', '25.263296', '11.00', '79.22', '54.01', '26.59', '33.07', '1005.78', '118.24', '11037']
['0.00', '54.677822', '25.263296', '11.00', '79.22', '54.01', '26.59', '33.07', '1005.78', '118.24', '11037']
['0.00', '54.677822', '25.263296', '11.00', '79.22', '54.01', '26.59', '33.07', '1005.78', '118.24', '11037']
['0.00', '54.677822', '25.263296', '11.00', '79.22', '54.01', '26.59', '33.07', '1005.78', '118.24', '11037']
['0.00', '54.677822', '25.263296', '11.00', '79.22', '54.01', '26.59', '33.07', '1005.78', '118.24', '11037']
['0.00', '54.677822', '25.263296', '11.00', '79.22', '54.01', '26.59', '33.07', '1005.78', '118.24', '11037']
['0.00', '54.677822', '25.263296', '11.00', '79.22', '54.01', '26.59', '33.07', '1005.78', '118.24', '11037']
['0.00', '54.677822', '25.263296', '11.00', '79.22', '54.01', '26.59', '33.07', '1005.78', '118.24', '11037']
['0.00', '54.677822', '25.263296', '11.00', '79.22', '54.01', '26.59', '33.07', '1005.78', '118.24', '11037']
['0.00', '54.677822', '25.263296', '11.00', '79.22', '54.01', '26.59', '33.07', '1005.78', '118.24', '11037']
['0.00', '54.677822', '25.263296', '11.00', '79.22', '54.01', '26.59', '33.07', '1005.78', '118.24', '11037']
['0.00', '54.677822', '25.263296', '11.00', '79.22', '54.01', '26.59', '33.07', '1005.78', '118.24', '11037']
['0.00', '54.677830', '25.263294', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.66', '119.30', '11038']
['0.00', '54.677830', '25.263294', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.66', '119.30', '11038']
['0.00', '54.677830', '25.263294', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.66', '119.30', '11038']
['0.00', '54.677830', '25.263294', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.66', '119.30', '11038']
['0.00', '54.677830', '25.263294', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.66', '119.30', '11038']
['0.00', '54.677830', '25.263294', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.66', '119.30', '11038']
['0.00', '54.677830', '25.263294', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.66', '119.30', '11038']
['0.00', '54.677830', '25.263294', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.66', '119.30', '11038']
['0.00', '54.677830', '25.263294', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.66', '119.30', '11038']
['0.00', '54.677830', '25.263294', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.66', '119.30', '11039']
['0.00', '54.677830', '25.263294', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.66', '119.30', '11039']
['0.00', '54.677830', '25.263294', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.66', '119.30', '11039']
['0.00', '54.677830', '25.263294', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.66', '119.30', '11039']
['0.00', '54.677830', '25.263294', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.66', '119.30', '11039']
['0.00', '54.677830', '25.263294', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.66', '119.30', '11039']
['0.00', '54.677830', '25.263294', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.66', '119.30', '11039']
['0.00', '54.677830', '25.263294', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.66', '119.30', '11039']
['0.00', '54.677830', '25.263294', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.66', '119.30', '11039']
['0.00', '54.677830', '25.263294', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.66', '119.30', '11039']
['0.00', '54.677830', '25.263294', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.66', '119.30', '11039']
['0.00', '54.677830', '25.263294', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.66', '119.30', '11039']
['0.00', '54.677841', '25.263292', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.66', '119.30', '11040']
['0.00', '54.677841', '25.263292', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.66', '119.30', '11040']
['0.00', '54.677841', '25.263292', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.66', '119.30', '11040']
['0.00', '54.677841', '25.263292', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.66', '119.30', '11040']
['0.00', '54.677841', '25.263292', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.66', '119.30', '11040']
['0.00', '54.677841', '25.263292', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.66', '119.30', '11040']
['0.00', '54.677841', '25.263292', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.66', '119.30', '11040']
['0.00', '54.677841', '25.263292', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.66', '119.30', '11040']
['0.00', '54.677841', '25.263292', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.66', '119.30', '11040']
['0.00', '54.677841', '25.263292', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.66', '119.30', '11040']
['0.00', '54.677841', '25.263292', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.66', '119.30', '11040']
['0.00', '54.677841', '25.263292', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.66', '119.30', '11040']
['0.00', '54.677853', '25.263290', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.69', '119.01', '11041']
['0.00', '54.677853', '25.263290', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.69', '119.01', '11041']
['0.00', '54.677853', '25.263290', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.69', '119.01', '11041']
['0.00', '54.677853', '25.263290', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.69', '119.01', '11041']
['0.00', '54.677853', '25.263290', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.69', '119.01', '11041']
['0.00', '54.677853', '25.263290', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.69', '119.01', '11041']
['0.00', '54.677853', '25.263290', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.69', '119.01', '11041']
['0.00', '54.677853', '25.263290', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.69', '119.01', '11041']
['0.00', '54.677853', '25.263290', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.69', '119.01', '11041']
['0.00', '54.677853', '25.263290', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.69', '119.01', '11041']
['0.00', '54.677860', '25.263290', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.69', '119.01', '11042']
['0.00', '54.677860', '25.263290', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.69', '119.01', '11042']
['0.00', '54.677860', '25.263290', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.69', '119.01', '11042']
['0.00', '54.677860', '25.263290', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.69', '119.01', '11042']
['0.00', '54.677860', '25.263290', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.69', '119.01', '11042']
['0.00', '54.677860', '25.263290', '11.00', '79.22', '54.01', '26.60', '32.93', '1005.69', '119.01', '11042']
