['0.00', '0.000000', '0.000000', '46.56', '25.25', '89.31', '27.26', '29.11', '999.76', '10531']
['0.00', '0.000000', '0.000000', '46.56', '25.25', '89.31', '27.26', '29.11', '999.76', '10531']
['0.00', '0.000000', '0.000000', '46.56', '25.25', '89.31', '27.26', '29.11', '999.76', '10531']
['0.00', '0.000000', '0.000000', '46.56', '25.25', '89.31', '27.26', '29.11', '999.76', '10531']
['0.00', '0.000000', '0.000000', '46.56', '25.25', '89.31', '27.26', '29.11', '999.76', '10531']
['0.00', '0.000000', '0.000000', '46.56', '25.25', '89.31', '27.26', '29.11', '999.76', '10531']
['0.00', '0.000000', '0.000000', '46.56', '25.25', '89.31', '27.26', '29.11', '999.76', '10531']
['0.00', '0.000000', '0.000000', '46.56', '25.25', '89.31', '27.26', '29.11', '999.76', '10531']
['0.00', '0.000000', '0.000000', '46.56', '25.25', '89.31', '27.26', '29.11', '999.76', '10531']
['0.00', '0.000000', '0.000000', '46.56', '25.25', '89.31', '27.26', '29.11', '999.76', '10531']
['0.00', '0.000000', '0.000000', '46.56', '25.25', '89.31', '27.26', '29.11', '999.76', '10531']
['0.00', '0.000000', '0.000000', '46.56', '25.25', '89.31', '27.26', '29.11', '999.76', '10531']
['0.00', '0.000000', '0.000000', '46.56', '25.25', '89.31', '27.26', '29.11', '999.76', '10531']
['0.00', '0.000000', '0.000000', '46.56', '25.25', '89.31', '27.26', '29.11', '999.76', '10531']
['0.00', '0.000000', '0.000000', '46.56', '25.25', '89.31', '27.26', '29.11', '999.76', '10531']
['0.00', '0.000000', '0.000000', '46.57', '25.25', '89.46', '27.26', '29.04', '999.79', '10532']
['0.00', '0.000000', '0.000000', '46.57', '25.25', '89.46', '27.26', '29.04', '999.79', '10532']
['0.00', '0.000000', '0.000000', '46.57', '25.25', '89.46', '27.26', '29.04', '999.79', '10532']
['0.00', '0.000000', '0.000000', '46.57', '25.25', '89.46', '27.26', '29.04', '999.79', '10532']
['0.00', '0.000000', '0.000000', '46.57', '25.25', '89.46', '27.26', '29.04', '999.79', '10532']
['0.00', '0.000000', '0.000000', '46.57', '25.25', '89.46', '27.26', '29.04', '999.79', '10532']
['0.00', '0.000000', '0.000000', '46.57', '25.25', '89.46', '27.26', '29.04', '999.79', '10532']
['0.00', '0.000000', '0.000000', '46.57', '25.25', '89.46', '27.26', '29.04', '999.79', '10532']
['0.00', '0.000000', '0.000000', '46.57', '25.25', '89.46', '27.26', '29.04', '999.79', '10532']
['0.00', '0.000000', '0.000000', '46.57', '25.25', '89.46', '27.26', '29.04', '999.79', '10532']
['0.00', '0.000000', '0.000000', '46.57', '25.25', '89.46', '27.26', '29.04', '999.79', '10532']
['0.00', '0.000000', '0.000000', '46.57', '25.25', '89.46', '27.26', '29.04', '999.79', '10532']
['0.00', '0.000000', '0.000000', '46.57', '25.25', '89.46', '27.26', '29.04', '999.79', '10532']
['0.00', '0.000000', '0.000000', '46.57', '25.25', '89.46', '27.26', '29.04', '999.79', '10532']
['0.00', '0.000000', '0.000000', '46.57', '25.25', '89.46', '27.26', '29.04', '999.79', '10533']
