['0.00', '0.000000', '0.000000', '67.69', '82.23', '86.61', '27.89', '27.16', '998.23', '1777']
['0.00', '0.000000', '0.000000', '67.69', '82.23', '86.61', '27.89', '27.16', '998.23', '1777']
['0.00', '0.000000', '0.000000', '67.69', '82.23', '86.61', '27.89', '27.16', '998.23', '1777']
['0.00', '0.000000', '0.000000', '67.69', '82.23', '86.61', '27.89', '27.16', '998.23', '1777']
['0.00', '0.000000', '0.000000', '67.69', '82.23', '86.61', '27.89', '27.16', '998.23', '1777']
['0.00', '0.000000', '0.000000', '67.69', '82.23', '86.61', '27.89', '27.16', '998.23', '1777']
['0.00', '0.000000', '0.000000', '67.69', '82.23', '86.61', '27.89', '27.16', '998.23', '1777']
['0.00', '0.000000', '0.000000', '67.69', '82.23', '86.61', '27.89', '27.16', '998.23', '1777']
['0.00', '0.000000', '0.000000', '67.69', '82.23', '86.61', '27.89', '27.16', '998.23', '1777']
['0.00', '0.000000', '0.000000', '67.69', '82.23', '86.61', '27.89', '27.16', '998.23', '1777']
['0.00', '0.000000', '0.000000', '67.69', '82.23', '86.61', '27.89', '27.16', '998.23', '1777']
['0.00', '0.000000', '0.000000', '67.69', '82.23', '86.61', '27.89', '27.16', '998.23', '1777']
['0.00', '0.000000', '0.000000', '67.69', '82.23', '86.61', '27.89', '27.16', '998.23', '1777']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1778']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1778']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1778']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1778']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1778']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1778']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1778']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1778']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1778']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1778']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1778']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1778']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1778']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1778']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1779']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1779']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1779']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1779']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1779']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1779']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1779']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1779']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1779']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1779']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1779']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1779']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1779']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1779']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1779']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1779']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1780']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1780']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1780']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1780']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1780']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1780']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1780']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1780']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1780']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1780']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1780']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1780']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1780']
['0.00', '0.000000', '0.000000', '67.67', '82.24', '86.65', '27.89', '27.19', '998.29', '1780']
['0.00', '0.000000', '0.000000', '67.68', '82.24', '86.61', '27.92', '27.23', '998.28', '1781']
['0.00', '0.000000', '0.000000', '67.68', '82.24', '86.61', '27.92', '27.23', '998.28', '1781']
['0.00', '0.000000', '0.000000', '67.68', '82.24', '86.61', '27.92', '27.23', '998.28', '1781']
['0.00', '0.000000', '0.000000', '67.68', '82.24', '86.61', '27.92', '27.23', '998.28', '1781']
['0.00', '0.000000', '0.000000', '67.68', '82.24', '86.61', '27.92', '27.23', '998.28', '1781']
['0.00', '0.000000', '0.000000', '67.68', '82.24', '86.61', '27.92', '27.23', '998.28', '1781']
['0.00', '0.000000', '0.000000', '67.68', '82.24', '86.61', '27.92', '27.23', '998.28', '1781']
['0.00', '0.000000', '0.000000', '67.68', '82.24', '86.61', '27.92', '27.23', '998.28', '1781']
