['7.97', '54.677975', '25.263458', '-46.49', '75.82', '-32.89', '26.69', '34.69', '992.21', '3967']
['7.97', '54.677975', '25.263456', '-46.49', '75.82', '-32.89', '26.69', '34.69', '992.21', '3968']
['7.97', '54.677975', '25.263456', '-46.49', '75.82', '-32.89', '26.69', '34.69', '992.21', '3968']
['7.97', '54.677975', '25.263456', '-46.49', '75.82', '-32.89', '26.69', '34.69', '992.21', '3969']
['7.97', '54.677975', '25.263456', '-46.49', '75.82', '-32.89', '26.69', '34.69', '992.21', '3969']
['7.97', '54.677971', '25.263456', '-46.46', '75.83', '-32.86', '26.64', '34.69', '992.15', '3970']
['7.97', '54.677971', '25.263456', '-46.46', '75.83', '-32.86', '26.64', '34.69', '992.15', '3971']
['7.97', '54.677971', '25.263456', '-46.46', '75.83', '-32.86', '26.64', '34.69', '992.15', '3971']
['7.97', '54.677971', '25.263456', '-46.46', '75.84', '-32.86', '26.65', '34.69', '992.23', '3972']
['7.97', '54.677971', '25.263456', '-46.46', '75.84', '-32.86', '26.65', '34.69', '992.23', '3972']
['7.97', '54.677971', '25.263456', '-46.46', '75.84', '-32.86', '26.65', '34.69', '992.23', '3973']
['7.97', '54.677971', '25.263456', '-46.46', '75.84', '-32.86', '26.65', '34.69', '992.23', '3974']
['7.97', '54.677971', '25.263456', '-46.46', '75.84', '-32.86', '26.65', '34.69', '992.23', '3974']
['7.97', '54.677971', '25.263456', '-46.44', '75.85', '-32.82', '26.64', '34.70', '992.22', '3975']
['7.97', '54.677967', '25.263453', '-46.44', '75.85', '-32.82', '26.64', '34.70', '992.22', '3976']
['7.97', '54.677967', '25.263453', '-46.44', '75.85', '-32.82', '26.64', '34.70', '992.22', '3976']
['7.97', '54.677967', '25.263451', '-46.43', '75.85', '-32.80', '26.64', '34.70', '992.15', '3977']
['7.97', '54.677967', '25.263451', '-46.43', '75.85', '-32.80', '26.64', '34.70', '992.15', '3977']
['7.97', '54.677967', '25.263451', '-46.43', '75.85', '-32.80', '26.64', '34.70', '992.15', '3978']
['7.97', '54.677967', '25.263449', '-46.43', '75.85', '-32.80', '26.64', '34.70', '992.15', '3979']
['7.97', '54.677967', '25.263449', '-46.43', '75.85', '-32.80', '26.64', '34.70', '992.15', '3979']
['7.97', '54.677967', '25.263449', '-46.42', '75.85', '-32.80', '26.69', '34.70', '992.22', '3980']
['7.97', '54.677967', '25.263449', '-46.42', '75.85', '-32.80', '26.69', '34.70', '992.22', '3980']
['7.97', '54.677967', '25.263449', '-46.42', '75.85', '-32.80', '26.69', '34.70', '992.22', '3981']
