['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40161']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40161']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40161']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40161']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40161']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40161']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40161']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40161']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40161']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40161']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40162']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40162']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40162']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40162']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40162']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40162']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40162']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40162']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40162']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40162']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40162']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40162']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40162']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40162']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40162']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40162']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40163']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40163']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40163']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40163']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40163']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40163']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40163']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40163']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40163']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40163']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40163']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40163']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40163']
['0.00', '54.678425', '25.262953', '0.90', '71.18', '89.43', '28.00', '28.49', '999.15', '40163']
['0.00', '54.678425', '25.262953', '0.90', '71.17', '89.43', '28.00', '28.45', '999.16', '40164']
['0.00', '54.678425', '25.262953', '0.90', '71.17', '89.43', '28.00', '28.45', '999.16', '40164']
['0.00', '54.678425', '25.262953', '0.90', '71.17', '89.43', '28.00', '28.45', '999.16', '40164']
['0.00', '54.678425', '25.262953', '0.90', '71.17', '89.43', '28.00', '28.45', '999.16', '40164']
['0.00', '54.678425', '25.262953', '0.90', '71.17', '89.43', '28.00', '28.45', '999.16', '40164']
['0.00', '54.678425', '25.262953', '0.90', '71.17', '89.43', '28.00', '28.45', '999.16', '40164']
['0.00', '54.678425', '25.262953', '0.90', '71.17', '89.43', '28.00', '28.45', '999.16', '40164']
['0.00', '54.678425', '25.262953', '0.90', '71.17', '89.43', '28.00', '28.45', '999.16', '40164']
['0.00', '54.678425', '25.262953', '0.90', '71.17', '89.43', '28.00', '28.45', '999.16', '40164']
['0.00', '54.678425', '25.262953', '0.90', '71.17', '89.43', '28.00', '28.45', '999.16', '40164']
