['0.00', '54.678448', '25.263056', '9.94', '79.26', '52.09', '27.29', '32.16', '1005.43', '121.21', '930']
['0.00', '54.678448', '25.263058', '9.94', '79.26', '52.09', '27.27', '32.14', '1005.40', '121.46', '943']
['0.00', '54.678452', '25.263058', '9.94', '79.26', '52.09', '26.76', '32.13', '1004.65', '127.69', '955']
['0.00', '54.678452', '25.263060', '9.94', '79.26', '52.09', '27.33', '32.06', '1005.64', '119.49', '967']
['0.00', '54.678455', '25.263060', '9.94', '79.26', '52.09', '27.30', '32.07', '1005.45', '121.03', '979']
['0.00', '54.678455', '25.263062', '9.94', '79.26', '52.09', '27.21', '32.05', '1005.30', '122.27', '992']
['0.00', '54.678455', '25.263062', '9.94', '79.26', '52.09', '27.21', '32.05', '1005.30', '122.27', '992']
['0.00', '54.678455', '25.263062', '9.94', '79.26', '52.09', '27.21', '32.05', '1005.30', '122.27', '992']
['0.00', '54.678455', '25.263062', '9.94', '79.26', '52.09', '27.21', '32.05', '1005.30', '122.27', '992']
['0.00', '54.678455', '25.263062', '9.94', '79.26', '52.09', '27.21', '32.05', '1005.30', '122.27', '992']
['0.00', '54.678455', '25.263062', '9.94', '79.26', '52.09', '27.21', '32.05', '1005.30', '122.27', '992']
['0.00', '54.678455', '25.263062', '9.94', '79.26', '52.09', '27.21', '32.05', '1005.30', '122.27', '992']
['0.00', '54.678455', '25.263062', '9.94', '79.26', '52.09', '27.21', '32.05', '1005.30', '122.27', '992']
['0.00', '54.678455', '25.263062', '9.94', '79.26', '52.09', '27.34', '32.05', '1005.52', '120.47', '993']
['0.00', '54.678455', '25.263062', '9.94', '79.26', '52.09', '27.34', '32.05', '1005.52', '120.47', '993']
['0.00', '54.678455', '25.263062', '9.94', '79.26', '52.09', '27.34', '32.05', '1005.52', '120.47', '993']
['0.00', '54.678455', '25.263062', '9.94', '79.26', '52.09', '27.34', '32.05', '1005.52', '120.47', '993']
['0.00', '54.678455', '25.263062', '9.94', '79.26', '52.09', '27.34', '32.05', '1005.52', '120.47', '993']
['0.00', '54.678455', '25.263062', '9.94', '79.26', '52.09', '27.34', '32.05', '1005.52', '120.47', '993']
['0.00', '54.678455', '25.263062', '9.94', '79.26', '52.09', '27.34', '32.05', '1005.52', '120.47', '993']
['0.00', '54.678455', '25.263062', '9.94', '79.26', '52.09', '27.34', '32.05', '1005.52', '120.47', '993']
['0.00', '54.678455', '25.263062', '9.94', '79.26', '52.09', '27.34', '32.05', '1005.52', '120.47', '993']
['0.00', '54.678455', '25.263062', '9.94', '79.26', '52.09', '27.34', '32.05', '1005.52', '120.47', '993']
['0.00', '54.678455', '25.263062', '9.94', '79.26', '52.09', '27.34', '32.05', '1005.52', '120.47', '993']
['0.00', '54.678455', '25.263062', '9.94', '79.26', '52.09', '27.34', '32.05', '1005.52', '120.47', '993']
['0.00', '54.678455', '25.263062', '9.94', '79.26', '52.09', '27.34', '32.05', '1005.52', '120.47', '994']
['0.00', '54.678455', '25.263062', '9.94', '79.26', '52.09', '27.34', '32.05', '1005.52', '120.47', '994']
['0.00', '54.678455', '25.263062', '9.94', '79.26', '52.09', '27.34', '32.05', '1005.52', '120.47', '994']
['0.00', '54.678455', '25.263062', '9.94', '79.26', '52.09', '27.34', '32.05', '1005.52', '120.47', '994']
['0.00', '54.678455', '25.263062', '9.94', '79.26', '52.09', '27.34', '32.05', '1005.52', '120.47', '994']
['0.00', '54.678455', '25.263062', '9.94', '79.26', '52.09', '27.34', '32.05', '1005.52', '120.47', '994']
['0.00', '54.678455', '25.263062', '9.94', '79.26', '52.09', '27.34', '32.05', '1005.52', '120.47', '994']
['0.00', '54.678455', '25.263062', '9.94', '79.26', '52.09', '27.34', '32.05', '1005.52', '120.47', '994']
