['5.31', '54.678364', '25.263170', '-27.37', '26.46', '34.69', '991.87', '36913']
['5.31', '54.678364', '25.263170', '-27.37', '26.46', '34.69', '991.87', '36914']
['5.31', '54.678364', '25.263168', '-27.37', '26.15', '34.63', '991.42', '36915']
['5.31', '54.678364', '25.263168', '-27.37', '26.15', '34.63', '991.42', '36915']
['5.31', '54.678364', '25.263168', '-27.37', '26.15', '34.63', '991.42', '36916']
['5.31', '54.678364', '25.263168', '-27.37', '26.15', '34.63', '991.42', '36916']
['5.31', '54.678364', '25.263168', '-27.37', '26.15', '34.63', '991.42', '36917']
['5.31', '54.678364', '25.263168', '-27.37', '26.51', '34.69', '991.95', '36918']
['5.31', '54.678364', '25.263168', '-27.37', '26.51', '34.69', '991.95', '36918']
['5.31', '54.678364', '25.263168', '-27.37', '26.51', '34.69', '991.95', '36919']
['5.31', '54.678364', '25.263168', '-27.37', '26.51', '34.68', '992.00', '36920']
['5.31', '54.678364', '25.263168', '-27.37', '26.51', '34.68', '992.00', '36920']
['5.31', '54.678364', '25.263168', '-27.37', '26.51', '34.68', '992.00', '36921']
['5.31', '54.678364', '25.263168', '-27.37', '26.51', '34.68', '992.00', '36921']
['5.31', '54.678364', '25.263170', '-27.37', '26.51', '34.68', '992.00', '36922']
['5.31', '54.678364', '25.263172', '-27.37', '26.46', '34.74', '991.95', '36923']
['5.31', '54.678364', '25.263172', '-27.37', '26.46', '34.74', '991.95', '36923']
['5.31', '54.678364', '25.263172', '-27.37', '26.46', '34.74', '991.95', '36924']
['5.31', '54.678364', '25.263172', '-27.37', '26.46', '34.74', '991.95', '36925']
['5.31', '54.678364', '25.263172', '-27.37', '26.46', '34.74', '991.95', '36925']
['5.31', '54.678360', '25.263172', '-27.37', '26.50', '34.69', '991.94', '36926']
['5.31', '54.678360', '25.263172', '-27.37', '26.50', '34.69', '991.94', '36927']
['5.31', '54.678360', '25.263172', '-27.37', '26.50', '34.69', '991.94', '36927']
['5.31', '54.678360', '25.263172', '-27.37', '26.51', '34.66', '991.95', '36928']
['5.31', '54.678360', '25.263172', '-27.37', '26.51', '34.66', '991.95', '36929']
['5.31', '54.678360', '25.263172', '-27.37', '26.51', '34.66', '991.95', '36929']
['5.31', '54.678364', '25.263172', '-27.37', '26.51', '34.66', '991.95', '36930']
['5.31', '54.678364', '25.263172', '-27.37', '26.51', '34.66', '991.95', '36930']
['5.31', '54.678364', '25.263172', '-27.37', '26.56', '34.71', '992.03', '36931']
['5.31', '54.678364', '25.263170', '-27.37', '26.56', '34.71', '992.03', '36932']
['5.31', '54.678364', '25.263170', '-27.37', '26.56', '34.71', '992.03', '36932']
['5.31', '54.678364', '25.263170', '-27.37', '26.16', '34.71', '991.41', '36933']
['5.31', '54.678364', '25.263170', '-27.37', '26.16', '34.71', '991.41', '36933']
['5.31', '54.678364', '25.263170', '-27.37', '26.16', '34.71', '991.41', '36934']
['5.31', '54.678364', '25.263168', '-27.37', '26.16', '34.71', '991.41', '36935']
['5.31', '54.678364', '25.263168', '-27.37', '26.16', '34.71', '991.41', '36935']
['5.31', '54.678360', '25.263168', '-27.37', '26.51', '34.69', '992.04', '36936']
['5.31', '54.678360', '25.263165', '-27.37', '26.51', '34.69', '992.04', '36937']
['5.31', '54.678360', '25.263165', '-27.37', '26.51', '34.69', '992.04', '36937']
['5.31', '54.678360', '25.263165', '-27.37', '26.51', '34.69', '992.04', '36938']
['5.31', '54.678360', '25.263165', '-27.37', '26.55', '34.69', '991.99', '36939']
['5.31', '54.678360', '25.263165', '-27.37', '26.55', '34.69', '991.99', '36939']
['5.31', '54.678360', '25.263165', '-27.37', '26.55', '34.69', '991.99', '36940']
['5.31', '54.678360', '25.263165', '-27.37', '26.52', '34.70', '991.95', '36941']
['5.31', '54.678360', '25.263165', '-27.37', '26.52', '34.70', '991.95', '36941']
['5.31', '54.678360', '25.263165', '-27.37', '26.52', '34.70', '991.95', '36942']
['5.31', '54.678360', '25.263165', '-27.37', '26.52', '34.70', '991.95', '36942']
['5.31', '54.678360', '25.263165', '-27.37', '26.52', '34.70', '991.95', '36943']
['5.31', '54.678360', '25.263165', '-27.37', '26.56', '34.71', '992.07', '36944']
['5.31', '54.678360', '25.263165', '-27.37', '26.56', '34.71', '992.07', '36944']
['5.31', '54.678360', '25.263165', '-27.37', '26.56', '34.71', '992.07', '36945']
['5.31', '54.678360', '25.263165', '-27.37', '26.56', '34.71', '992.07', '36945']
['5.31', '54.678360', '25.263165', '-27.37', '26.55', '34.69', '992.03', '36946']
['5.31', '54.678360', '25.263165', '-27.37', '26.55', '34.69', '992.03', '36947']
['5.31', '54.678360', '25.263165', '-27.37', '26.55', '34.69', '992.03', '36947']
['5.31', '54.678360', '25.263165', '-27.37', '26.55', '34.69', '992.03', '36948']
['5.31', '54.678360', '25.263165', '-27.37', '26.15', '34.59', '991.46', '36949']
['5.31', '54.678360', '25.263165', '-27.37', '26.15', '34.59', '991.46', '36949']
['5.31', '54.678356', '25.263163', '-27.37', '26.15', '34.59', '991.46', '36950']
['5.31', '54.678356', '25.263163', '-27.37', '26.15', '34.59', '991.46', '36951']
['5.31', '54.678356', '25.263163', '-27.37', '26.15', '34.59', '991.46', '36951']
['5.31', '54.678356', '25.263163', '-27.37', '26.51', '34.70', '991.95', '36952']
['5.31', '54.678356', '25.263163', '-27.37', '26.51', '34.70', '991.95', '36953']
['5.31', '54.678356', '25.263163', '-27.37', '26.51', '34.70', '991.95', '36953']
['5.31', '54.678356', '25.263163', '-27.37', '26.51', '34.70', '992.04', '36954']
['5.31', '54.678356', '25.263163', '-27.37', '26.51', '34.70', '992.04', '36954']
['5.31', '54.678356', '25.263163', '-27.37', '26.51', '34.70', '992.04', '36955']
['5.31', '54.678352', '25.263165', '-27.37', '26.51', '34.70', '992.04', '36956']
['5.31', '54.678352', '25.263165', '-27.37', '26.51', '34.70', '992.04', '36956']
['5.31', '54.678352', '25.263165', '-27.39', '26.50', '34.69', '992.00', '36957']
['5.31', '54.678352', '25.263165', '-27.39', '26.50', '34.69', '992.00', '36957']
['5.31', '54.678352', '25.263165', '-27.39', '26.50', '34.69', '992.00', '36958']
['5.31', '54.678352', '25.263165', '-27.39', '26.45', '34.71', '991.87', '36959']
['5.31', '54.678352', '25.263165', '-27.39', '26.45', '34.71', '991.87', '36959']
['5.31', '54.678352', '25.263165', '-27.39', '26.45', '34.71', '991.87', '36960']
['5.31', '54.678352', '25.263165', '-27.39', '26.45', '34.71', '991.87', '36960']
['5.31', '54.678349', '25.263163', '-27.39', '26.45', '34.71', '991.87', '36961']
['5.31', '54.678349', '25.263163', '-27.39', '26.15', '34.76', '991.44', '36962']
['5.31', '54.678349', '25.263163', '-27.39', '26.15', '34.76', '991.44', '36962']
['5.31', '54.678349', '25.263165', '-27.39', '26.15', '34.76', '991.44', '36963']
['5.31', '54.678349', '25.263165', '-27.39', '26.15', '34.76', '991.44', '36964']
['5.31', '54.678345', '25.263166', '-27.39', '26.55', '34.71', '992.05', '36965']
['5.31', '54.678345', '25.263166', '-27.39', '26.55', '34.71', '992.05', '36965']
['5.31', '54.678345', '25.263166', '-27.39', '26.55', '34.71', '992.05', '36966']
['5.31', '54.678345', '25.263166', '-27.39', '26.55', '34.71', '992.05', '36966']
['5.31', '54.678345', '25.263166', '-27.39', '26.51', '34.70', '992.02', '36967']
['5.31', '54.678345', '25.263166', '-27.39', '26.51', '34.70', '992.02', '36968']
['5.31', '54.678345', '25.263166', '-27.39', '26.51', '34.70', '992.02', '36968']
['5.31', '54.678345', '25.263165', '-27.39', '26.51', '34.70', '992.02', '36969']
['5.31', '54.678345', '25.263165', '-27.39', '26.48', '34.73', '991.99', '36970']
['5.31', '54.678345', '25.263165', '-27.39', '26.48', '34.73', '991.99', '36970']
['5.31', '54.678345', '25.263166', '-27.39', '26.48', '34.73', '991.99', '36971']
['5.31', '54.678345', '25.263166', '-27.39', '26.48', '34.73', '991.99', '36972']
['5.31', '54.678345', '25.263166', '-27.39', '26.48', '34.73', '991.99', '36972']
['5.31', '54.678349', '25.263166', '-27.39', '26.50', '34.70', '991.93', '36973']
['5.31', '54.678349', '25.263166', '-27.39', '26.50', '34.70', '991.93', '36973']
['5.31', '54.678349', '25.263166', '-27.39', '26.50', '34.70', '991.93', '36974']
['5.31', '54.678349', '25.263166', '-27.39', '26.46', '34.74', '991.90', '36975']
['5.31', '54.678349', '25.263166', '-27.39', '26.46', '34.74', '991.90', '36975']
['5.31', '54.678349', '25.263166', '-27.39', '26.46', '34.74', '991.90', '36976']
['5.31', '54.678349', '25.263166', '-27.39', '26.46', '34.74', '991.90', '36977']
['5.31', '54.678349', '25.263166', '-27.39', '26.46', '34.74', '991.90', '36977']
['5.31', '54.678345', '25.263170', '-27.39', '26.56', '34.71', '992.02', '36978']
['5.31', '54.678345', '25.263172', '-27.39', '26.56', '34.71', '992.02', '36979']
['5.31', '54.678345', '25.263172', '-27.39', '26.56', '34.71', '992.02', '36979']
['5.31', '54.678345', '25.263172', '-27.39', '26.15', '34.71', '991.42', '36980']
['5.31', '54.678345', '25.263172', '-27.39', '26.15', '34.71', '991.42', '36980']
['5.31', '54.678345', '25.263172', '-27.39', '26.15', '34.71', '991.42', '36981']
['5.31', '54.678345', '25.263172', '-27.39', '26.15', '34.71', '991.42', '36982']
['5.31', '54.678345', '25.263172', '-27.39', '26.15', '34.71', '991.42', '36982']
['5.31', '54.678345', '25.263174', '-27.39', '26.51', '34.75', '992.01', '36983']
['5.31', '54.678341', '25.263176', '-27.39', '26.51', '34.75', '992.01', '36984']
['5.31', '54.678341', '25.263176', '-27.39', '26.51', '34.75', '992.01', '36984']
['5.31', '54.678341', '25.263176', '-27.39', '26.51', '34.75', '992.01', '36985']
['5.31', '54.678341', '25.263176', '-27.39', '26.46', '34.70', '991.88', '36986']
['5.31', '54.678341', '25.263176', '-27.39', '26.46', '34.70', '991.88', '36986']
['5.31', '54.678341', '25.263176', '-27.39', '26.46', '34.70', '991.88', '36987']
['5.31', '54.678341', '25.263176', '-27.39', '26.46', '34.70', '991.88', '36987']
['5.31', '54.678341', '25.263176', '-27.39', '26.56', '34.72', '991.93', '36988']
['5.31', '54.678341', '25.263176', '-27.39', '26.56', '34.72', '991.93', '36989']
['5.31', '54.678341', '25.263176', '-27.39', '26.56', '34.72', '991.93', '36989']
['5.31', '54.678341', '25.263176', '-27.39', '26.56', '34.72', '991.93', '36990']
['5.31', '54.678341', '25.263178', '-27.39', '26.51', '34.70', '991.95', '36991']
['5.31', '54.678341', '25.263178', '-27.39', '26.51', '34.70', '991.95', '36991']
['5.31', '54.678337', '25.263178', '-27.39', '26.51', '34.70', '991.95', '36992']
['5.31', '54.678337', '25.263178', '-27.39', '26.51', '34.70', '991.95', '36992']
['5.31', '54.678337', '25.263178', '-27.39', '26.10', '34.70', '991.37', '36993']
['5.31', '54.678337', '25.263178', '-27.39', '26.10', '34.70', '991.37', '36994']
['5.31', '54.678337', '25.263178', '-27.39', '26.10', '34.70', '991.37', '36994']
['5.31', '54.678337', '25.263178', '-27.39', '26.10', '34.70', '991.37', '36995']
['5.31', '54.678337', '25.263176', '-27.39', '26.38', '34.61', '991.81', '36996']
['5.31', '54.678337', '25.263176', '-27.39', '26.38', '34.61', '991.81', '36996']
['5.31', '54.678337', '25.263176', '-27.39', '26.38', '34.61', '991.81', '36997']
['5.31', '54.678337', '25.263176', '-27.39', '26.38', '34.61', '991.81', '36998']
['5.31', '54.678337', '25.263176', '-27.39', '26.38', '34.61', '991.81', '36998']
['5.31', '54.678337', '25.263176', '-27.39', '26.56', '34.72', '992.05', '36999']
['5.31', '54.678333', '25.263178', '-27.39', '26.56', '34.72', '992.05', '37000']
['5.31', '54.678333', '25.263178', '-27.39', '26.56', '34.72', '992.05', '37000']
['5.31', '54.678333', '25.263178', '-27.39', '26.56', '34.72', '992.08', '37001']
['5.31', '54.678333', '25.263178', '-27.39', '26.56', '34.72', '992.08', '37001']
['5.31', '54.678333', '25.263178', '-27.39', '26.56', '34.72', '992.08', '37002']
['5.31', '54.678329', '25.263180', '-27.39', '26.56', '34.72', '992.08', '37003']
['5.31', '54.678329', '25.263180', '-27.39', '26.56', '34.72', '992.08', '37003']
['5.31', '54.678329', '25.263178', '-27.39', '26.55', '34.73', '992.13', '37004']
['5.31', '54.678329', '25.263178', '-27.39', '26.55', '34.73', '992.13', '37005']
['5.31', '54.678329', '25.263178', '-27.39', '26.55', '34.73', '992.13', '37005']
['5.31', '54.678329', '25.263178', '-27.39', '26.51', '34.72', '991.97', '37006']
['5.31', '54.678329', '25.263178', '-27.39', '26.51', '34.72', '991.97', '37006']
['5.31', '54.678329', '25.263178', '-27.39', '26.51', '34.72', '991.97', '37007']
['5.31', '54.678329', '25.263176', '-27.39', '26.51', '34.72', '991.97', '37008']
['5.31', '54.678329', '25.263176', '-27.39', '26.51', '34.72', '991.97', '37008']
['5.31', '54.678329', '25.263176', '-27.39', '26.15', '34.75', '991.43', '37009']
['5.31', '54.678329', '25.263174', '-27.39', '26.15', '34.75', '991.43', '37010']
['5.31', '54.678329', '25.263174', '-27.39', '26.15', '34.75', '991.43', '37010']
['5.31', '54.678329', '25.263174', '-27.39', '26.15', '34.75', '991.43', '37011']
['5.31', '54.678329', '25.263174', '-27.39', '26.15', '34.75', '991.43', '37011']
['5.31', '54.678326', '25.263172', '-27.39', '26.51', '34.72', '991.92', '37012']
['5.31', '54.678326', '25.263172', '-27.39', '26.51', '34.72', '991.92', '37012']
['5.31', '54.678326', '25.263172', '-27.39', '26.51', '34.72', '991.92', '37012']
['5.31', '54.678326', '25.263170', '-27.39', '26.51', '34.71', '992.03', '37014']
['5.31', '54.678326', '25.263170', '-27.39', '26.51', '34.71', '992.03', '37015']
['5.31', '54.678326', '25.263170', '-27.39', '26.51', '34.71', '992.03', '37015']
['5.31', '54.678326', '25.263170', '-27.39', '26.51', '34.71', '992.03', '37016']
['5.31', '54.678326', '25.263170', '-27.39', '26.45', '34.66', '991.95', '37017']
['5.31', '54.678326', '25.263170', '-27.39', '26.45', '34.66', '991.95', '37017']
['5.31', '54.678326', '25.263168', '-27.39', '26.45', '34.66', '991.95', '37018']
['5.31', '54.678326', '25.263168', '-27.39', '26.45', '34.66', '991.95', '37019']
['5.31', '54.678326', '25.263168', '-27.39', '26.45', '34.66', '991.95', '37019']
['5.31', '54.678326', '25.263166', '-27.39', '26.51', '34.70', '991.97', '37020']
