['0.00', '0.000000', '0.000000', '66.75', '83.02', '83.32', '30.25', '30.14', '1003.57', '136.80', '97']
['13.28', '0.000000', '0.000000', '-35.45', '76.91', '20.28', '29.89', '28.09', '1003.52', '137.18', '643']
['13.28', '0.000000', '0.000000', '-35.45', '76.91', '20.28', '29.89', '28.09', '1003.52', '137.18', '643']
['13.28', '0.000000', '0.000000', '-35.45', '76.91', '20.28', '29.89', '28.09', '1003.52', '137.18', '644']
['13.28', '0.000000', '0.000000', '-35.45', '76.91', '20.28', '29.89', '28.09', '1003.52', '137.18', '644']
['13.28', '0.000000', '0.000000', '-35.45', '76.91', '20.28', '29.89', '28.09', '1003.52', '137.18', '644']
['13.28', '0.000000', '0.000000', '-35.45', '76.91', '20.28', '29.89', '28.09', '1003.52', '137.18', '644']
['13.28', '0.000000', '0.000000', '-35.45', '76.91', '20.28', '29.89', '28.09', '1003.52', '137.18', '644']
['13.28', '0.000000', '0.000000', '-35.45', '76.91', '20.28', '29.89', '28.09', '1003.52', '137.18', '644']
['13.28', '0.000000', '0.000000', '-35.45', '76.91', '20.28', '29.89', '28.09', '1003.52', '137.18', '644']
['13.28', '0.000000', '0.000000', '-35.45', '76.91', '20.28', '29.89', '28.09', '1003.52', '137.18', '644']
['13.28', '0.000000', '0.000000', '-35.45', '76.91', '20.28', '29.89', '28.09', '1003.52', '137.18', '644']
['13.28', '0.000000', '0.000000', '-35.45', '76.91', '20.28', '29.89', '28.09', '1003.52', '137.18', '644']
['13.28', '0.000000', '0.000000', '-35.45', '76.91', '20.28', '29.89', '28.09', '1003.52', '137.18', '644']
['13.28', '0.000000', '0.000000', '-35.45', '76.91', '20.28', '29.89', '28.09', '1003.52', '137.18', '644']
['13.28', '0.000000', '0.000000', '-35.45', '76.91', '20.28', '29.89', '28.09', '1003.52', '137.18', '644']
['13.28', '0.000000', '0.000000', '-35.45', '76.91', '20.28', '29.89', '28.09', '1003.52', '137.18', '644']
['13.28', '0.000000', '0.000000', '-35.45', '76.91', '20.28', '29.89', '28.09', '1003.52', '137.18', '644']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '645']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '645']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '645']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '645']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '645']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '645']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '645']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '645']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '645']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '645']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '645']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '645']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '645']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '646']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '646']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '646']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '646']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '646']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '646']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '646']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '646']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '646']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '646']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '646']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '646']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '646']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '647']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '647']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '647']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '647']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '647']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '647']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '647']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '647']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '647']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '647']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '647']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '647']
['13.28', '0.000000', '0.000000', '-35.46', '76.91', '20.19', '29.94', '28.05', '1003.54', '137.05', '647']
['13.28', '0.000000', '0.000000', '-35.55', '76.91', '20.19', '29.97', '28.06', '1003.60', '136.49', '648']
['13.28', '0.000000', '0.000000', '-35.55', '76.91', '20.19', '29.97', '28.06', '1003.60', '136.49', '648']
['13.28', '0.000000', '0.000000', '-35.55', '76.91', '20.19', '29.97', '28.06', '1003.60', '136.49', '648']
['13.28', '0.000000', '0.000000', '-35.55', '76.91', '20.19', '29.97', '28.06', '1003.60', '136.49', '648']
['13.28', '0.000000', '0.000000', '-35.55', '76.91', '20.19', '29.97', '28.06', '1003.60', '136.49', '648']
['13.28', '0.000000', '0.000000', '-35.55', '76.91', '20.19', '29.97', '28.06', '1003.60', '136.49', '648']
['13.28', '0.000000', '0.000000', '-35.55', '76.91', '20.19', '29.97', '28.06', '1003.60', '136.49', '648']
['13.28', '0.000000', '0.000000', '-35.55', '76.91', '20.19', '29.97', '28.06', '1003.60', '136.49', '648']
['13.28', '0.000000', '0.000000', '-35.55', '76.91', '20.19', '29.97', '28.06', '1003.60', '136.49', '648']
['13.28', '0.000000', '0.000000', '-35.55', '76.91', '20.19', '29.97', '28.06', '1003.60', '136.49', '648']
['13.28', '0.000000', '0.000000', '-35.55', '76.91', '20.19', '29.97', '28.06', '1003.60', '136.49', '648']
['13.28', '0.000000', '0.000000', '-35.55', '76.91', '20.19', '29.97', '28.06', '1003.60', '136.49', '648']
['13.28', '0.000000', '0.000000', '-35.55', '76.91', '20.19', '29.97', '28.06', '1003.60', '136.49', '648']
['13.28', '0.000000', '0.000000', '-35.55', '76.91', '20.19', '29.97', '28.06', '1003.60', '136.49', '648']
['13.28', '0.000000', '0.000000', '-35.55', '76.91', '20.19', '29.97', '28.06', '1003.60', '136.49', '649']
['13.28', '0.000000', '0.000000', '-35.55', '76.91', '20.19', '29.97', '28.06', '1003.60', '136.49', '649']
['13.28', '0.000000', '0.000000', '-35.55', '76.91', '20.19', '29.97', '28.06', '1003.60', '136.49', '649']
['13.28', '0.000000', '0.000000', '-35.55', '76.91', '20.19', '29.97', '28.06', '1003.60', '136.49', '649']
