['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.45', '31.93', '1005.01', '124.75', '33206']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.45', '31.93', '1005.01', '124.75', '33206']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.45', '31.93', '1005.01', '124.75', '33206']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.45', '31.93', '1005.01', '124.75', '33206']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.45', '31.93', '1005.01', '124.75', '33206']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.45', '31.93', '1005.01', '124.75', '33206']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.46', '32.04', '1005.17', '123.41', '33207']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.46', '32.04', '1005.17', '123.41', '33207']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.46', '32.04', '1005.17', '123.41', '33207']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.46', '32.04', '1005.17', '123.41', '33207']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.46', '32.04', '1005.17', '123.41', '33207']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.46', '32.04', '1005.17', '123.41', '33207']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.46', '32.04', '1005.17', '123.41', '33207']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.46', '32.04', '1005.17', '123.41', '33207']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.46', '32.04', '1005.17', '123.41', '33207']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.46', '32.04', '1005.17', '123.41', '33207']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.46', '32.04', '1005.17', '123.41', '33207']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.46', '32.04', '1005.17', '123.41', '33207']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.46', '32.04', '1005.17', '123.41', '33207']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.46', '32.04', '1005.17', '123.41', '33207']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.46', '32.04', '1005.17', '123.41', '33207']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.46', '32.04', '1005.17', '123.41', '33208']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.46', '32.04', '1005.17', '123.41', '33208']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.46', '32.04', '1005.17', '123.41', '33208']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.46', '32.04', '1005.17', '123.41', '33208']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.46', '32.04', '1005.17', '123.41', '33208']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.46', '32.04', '1005.17', '123.41', '33208']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.46', '32.04', '1005.17', '123.41', '33208']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.46', '32.04', '1005.17', '123.41', '33208']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.46', '32.04', '1005.17', '123.41', '33208']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.46', '32.04', '1005.17', '123.41', '33208']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.46', '32.04', '1005.17', '123.41', '33208']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.46', '32.04', '1005.17', '123.41', '33208']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.46', '32.04', '1005.17', '123.41', '33208']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.46', '32.04', '1005.17', '123.41', '33208']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.46', '32.04', '1005.17', '123.41', '33208']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.46', '32.04', '1005.17', '123.41', '33208']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.46', '32.04', '1005.17', '123.41', '33208']
['0.00', '54.678902', '25.263592', '23.05', '72.24', '64.71', '27.46', '31.92', '1005.02', '124.65', '33209']
