['0.00', '54.678902', '25.263592', '21.50', '72.00', '64.85', '27.40', '31.94', '1005.21', '123.09', '42256']
['0.00', '54.678902', '25.263592', '21.50', '72.00', '64.85', '27.40', '31.94', '1005.21', '123.09', '42256']
['0.00', '54.678902', '25.263592', '21.50', '72.00', '64.85', '27.40', '31.94', '1005.21', '123.09', '42256']
['0.00', '54.678902', '25.263592', '21.50', '72.00', '64.85', '27.40', '31.94', '1005.21', '123.09', '42256']
['0.00', '54.678902', '25.263592', '21.50', '72.00', '64.85', '27.40', '31.94', '1005.21', '123.09', '42256']
['0.00', '54.678902', '25.263592', '21.50', '72.00', '64.85', '27.40', '31.94', '1005.21', '123.09', '42256']
['0.00', '54.678902', '25.263592', '21.50', '72.00', '64.85', '27.40', '31.94', '1005.21', '123.09', '42256']
['0.00', '54.678902', '25.263592', '21.50', '72.00', '64.85', '27.40', '31.94', '1005.21', '123.09', '42256']
['0.00', '54.678902', '25.263592', '21.50', '72.00', '64.85', '27.40', '31.94', '1005.21', '123.09', '42256']
['0.00', '54.678902', '25.263592', '21.50', '72.00', '64.85', '27.40', '31.94', '1005.21', '123.09', '42256']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42257']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42257']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42257']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42257']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42257']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42257']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42257']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42257']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42257']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42257']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42257']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42257']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42257']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42257']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42257']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42258']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42258']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42258']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42258']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42258']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42258']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42258']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42258']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42258']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42258']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42258']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42258']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42258']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42258']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42258']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42259']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42259']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42259']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42259']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42259']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42259']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42259']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42259']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42259']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42259']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42259']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42259']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42259']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42259']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '26.89', '31.95', '1004.43', '129.57', '42259']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '27.44', '31.92', '1005.38', '121.62', '42260']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '27.44', '31.92', '1005.38', '121.62', '42260']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '27.44', '31.92', '1005.38', '121.62', '42260']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '27.44', '31.92', '1005.38', '121.62', '42260']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '27.44', '31.92', '1005.38', '121.62', '42260']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '27.44', '31.92', '1005.38', '121.62', '42260']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '27.44', '31.92', '1005.38', '121.62', '42260']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '27.44', '31.92', '1005.38', '121.62', '42260']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '27.44', '31.92', '1005.38', '121.62', '42260']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '27.44', '31.92', '1005.38', '121.62', '42260']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '27.44', '31.92', '1005.38', '121.62', '42260']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '27.44', '31.92', '1005.38', '121.62', '42260']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '27.44', '31.92', '1005.38', '121.62', '42260']
['0.00', '54.678902', '25.263592', '21.48', '72.00', '64.85', '27.44', '31.92', '1005.38', '121.62', '42260']
