['0.00', '0.000000', '0.000000', '-28.74', '9.68', '3.62', '27.34', '27.87', '998.15', '5']
['0.00', '0.000000', '0.000000', '-28.74', '9.68', '3.62', '27.34', '27.87', '998.15', '5']
['0.00', '0.000000', '0.000000', '-28.74', '9.68', '3.62', '27.34', '27.87', '998.15', '5']
['0.00', '0.000000', '0.000000', '-28.74', '9.68', '3.62', '27.34', '27.87', '998.15', '5']
['0.00', '0.000000', '0.000000', '-28.74', '9.68', '3.62', '27.34', '27.87', '998.15', '5']
['0.00', '0.000000', '0.000000', '-28.74', '9.68', '3.62', '27.34', '27.87', '998.15', '5']
['0.00', '0.000000', '0.000000', '-28.74', '9.68', '3.62', '27.34', '27.87', '998.15', '5']
['0.00', '0.000000', '0.000000', '-28.88', '9.69', '3.82', '27.34', '27.72', '998.11', '6']
['0.00', '0.000000', '0.000000', '-28.88', '9.69', '3.82', '27.34', '27.72', '998.11', '6']
['0.00', '0.000000', '0.000000', '-28.88', '9.69', '3.82', '27.34', '27.72', '998.11', '6']
['0.00', '0.000000', '0.000000', '-28.88', '9.69', '3.82', '27.34', '27.72', '998.11', '6']
['0.00', '0.000000', '0.000000', '-28.88', '9.69', '3.82', '27.34', '27.72', '998.11', '6']
['0.00', '0.000000', '0.000000', '-28.88', '9.69', '3.82', '27.34', '27.72', '998.11', '6']
['0.00', '0.000000', '0.000000', '-28.88', '9.69', '3.82', '27.34', '27.72', '998.11', '6']
['0.00', '0.000000', '0.000000', '-28.88', '9.69', '3.82', '27.34', '27.72', '998.11', '6']
['0.00', '0.000000', '0.000000', '-28.88', '9.69', '3.82', '27.34', '27.72', '998.11', '6']
['0.00', '0.000000', '0.000000', '-28.88', '9.69', '3.82', '27.34', '27.72', '998.11', '6']
['0.00', '0.000000', '0.000000', '-28.88', '9.69', '3.82', '27.34', '27.72', '998.11', '6']
['0.00', '0.000000', '0.000000', '-28.88', '9.69', '3.82', '27.34', '27.72', '998.11', '6']
['0.00', '0.000000', '0.000000', '-28.88', '9.69', '3.82', '27.34', '27.72', '998.11', '6']
['0.00', '0.000000', '0.000000', '-28.88', '9.69', '3.82', '27.34', '27.72', '998.11', '6']
['0.00', '0.000000', '0.000000', '-28.88', '9.69', '3.82', '27.34', '27.72', '998.11', '7']
['0.00', '0.000000', '0.000000', '-28.88', '9.69', '3.82', '27.34', '27.72', '998.11', '7']
['0.00', '0.000000', '0.000000', '-28.88', '9.69', '3.82', '27.34', '27.72', '998.11', '7']
['0.00', '0.000000', '0.000000', '-28.88', '9.69', '3.82', '27.34', '27.72', '998.11', '7']
['0.00', '0.000000', '0.000000', '-28.88', '9.69', '3.82', '27.34', '27.72', '998.11', '7']
