['0.00', '0.000000', '0.000000', '18.29', '85.96', '81.63', '27.34', '26.58', '998.18', '3986']
['0.00', '0.000000', '0.000000', '18.29', '85.96', '81.63', '27.34', '26.58', '998.18', '3986']
['0.00', '0.000000', '0.000000', '18.29', '85.96', '81.63', '27.34', '26.58', '998.18', '3986']
['0.00', '0.000000', '0.000000', '18.29', '85.96', '81.63', '27.34', '26.58', '998.18', '3986']
['0.00', '0.000000', '0.000000', '18.29', '85.96', '81.63', '27.34', '26.58', '998.18', '3986']
['0.00', '0.000000', '0.000000', '18.29', '85.96', '81.63', '27.34', '26.58', '998.18', '3986']
['0.00', '0.000000', '0.000000', '18.29', '85.96', '81.63', '27.34', '26.58', '998.18', '3986']
['0.00', '0.000000', '0.000000', '18.29', '85.96', '81.63', '27.34', '26.58', '998.18', '3986']
['0.00', '0.000000', '0.000000', '18.29', '85.96', '81.63', '27.34', '26.52', '998.14', '3987']
['0.00', '0.000000', '0.000000', '18.29', '85.96', '81.63', '27.34', '26.52', '998.14', '3987']
['0.00', '0.000000', '0.000000', '18.29', '85.96', '81.63', '27.34', '26.52', '998.14', '3987']
['0.00', '0.000000', '0.000000', '18.29', '85.96', '81.63', '27.34', '26.52', '998.14', '3987']
['0.00', '0.000000', '0.000000', '18.29', '85.96', '81.63', '27.34', '26.52', '998.14', '3987']
['0.00', '0.000000', '0.000000', '18.29', '85.96', '81.63', '27.34', '26.52', '998.14', '3987']
['0.00', '0.000000', '0.000000', '18.29', '85.96', '81.63', '27.34', '26.52', '998.14', '3987']
['0.00', '0.000000', '0.000000', '18.29', '85.96', '81.63', '27.34', '26.52', '998.14', '3987']
['0.00', '0.000000', '0.000000', '18.29', '85.96', '81.63', '27.34', '26.52', '998.14', '3987']
['0.00', '0.000000', '0.000000', '18.29', '85.96', '81.63', '27.34', '26.52', '998.14', '3987']
['0.00', '0.000000', '0.000000', '18.29', '85.96', '81.63', '27.34', '26.52', '998.14', '3987']
['0.00', '0.000000', '0.000000', '18.29', '85.96', '81.63', '27.34', '26.52', '998.14', '3987']
['0.00', '0.000000', '0.000000', '18.29', '85.96', '81.63', '27.34', '26.52', '998.14', '3987']
['0.00', '0.000000', '0.000000', '18.29', '85.96', '81.63', '27.34', '26.52', '998.14', '3987']
['0.00', '0.000000', '0.000000', '18.29', '85.96', '81.63', '27.34', '26.52', '998.14', '3988']
['0.00', '0.000000', '0.000000', '18.29', '85.96', '81.63', '27.34', '26.52', '998.14', '3988']
['0.00', '0.000000', '0.000000', '18.29', '85.96', '81.63', '27.34', '26.52', '998.14', '3988']
['0.00', '0.000000', '0.000000', '18.29', '85.96', '81.63', '27.34', '26.52', '998.14', '3988']
['0.00', '0.000000', '0.000000', '18.29', '85.96', '81.63', '27.34', '26.52', '998.14', '3988']
['0.00', '0.000000', '0.000000', '18.29', '85.96', '81.63', '27.34', '26.52', '998.14', '3988']
['0.00', '0.000000', '0.000000', '18.29', '85.96', '81.63', '27.34', '26.52', '998.14', '3988']
['0.00', '0.000000', '0.000000', '18.29', '85.96', '81.63', '27.34', '26.52', '998.14', '3988']
['0.00', '0.000000', '0.000000', '18.29', '85.96', '81.63', '27.34', '26.52', '998.14', '3988']
['0.00', '0.000000', '0.000000', '18.29', '85.96', '81.63', '27.34', '26.52', '998.14', '3988']
['0.00', '0.000000', '0.000000', '18.29', '85.96', '81.63', '27.34', '26.52', '998.14', '3988']
['0.00', '0.000000', '0.000000', '18.29', '85.96', '81.63', '27.34', '26.52', '998.14', '3988']
