['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '26.95', '28.38', '999.22', '11069']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '26.95', '28.38', '999.22', '11069']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '26.95', '28.38', '999.22', '11069']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '26.95', '28.38', '999.22', '11069']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '26.95', '28.38', '999.22', '11069']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '26.95', '28.38', '999.22', '11069']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '26.95', '28.38', '999.22', '11069']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '26.95', '28.38', '999.22', '11069']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '26.95', '28.38', '999.22', '11069']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '26.95', '28.38', '999.22', '11069']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '26.95', '28.38', '999.22', '11069']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '26.95', '28.38', '999.22', '11069']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '26.95', '28.38', '999.22', '11069']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '26.95', '28.38', '999.22', '11069']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '26.95', '28.38', '999.22', '11069']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.36', '999.85', '11070']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.36', '999.85', '11070']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.36', '999.85', '11070']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.36', '999.85', '11070']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.36', '999.85', '11070']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.36', '999.85', '11070']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.36', '999.85', '11070']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.36', '999.85', '11070']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.36', '999.85', '11070']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.36', '999.85', '11070']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.36', '999.85', '11070']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.36', '999.85', '11070']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.36', '999.85', '11070']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.36', '999.85', '11070']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.36', '999.85', '11071']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.36', '999.85', '11071']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.36', '999.85', '11071']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.36', '999.85', '11071']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.36', '999.85', '11071']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.36', '999.85', '11071']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.36', '999.85', '11071']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.36', '999.85', '11071']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.36', '999.85', '11071']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.36', '999.85', '11071']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.36', '999.85', '11071']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.36', '999.85', '11071']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.36', '999.85', '11071']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.36', '999.85', '11071']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.36', '999.85', '11071']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.36', '999.85', '11071']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.33', '999.84', '11072']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.33', '999.84', '11072']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.33', '999.84', '11072']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.33', '999.84', '11072']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.33', '999.84', '11072']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.33', '999.84', '11072']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.33', '999.84', '11072']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.33', '999.84', '11072']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.33', '999.84', '11072']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.33', '999.84', '11072']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.33', '999.84', '11072']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.33', '999.84', '11072']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.33', '999.84', '11072']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.33', '999.84', '11072']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.33', '999.84', '11073']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.33', '999.84', '11073']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.33', '999.84', '11073']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.33', '999.84', '11073']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.33', '999.84', '11073']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.33', '999.84', '11073']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.33', '999.84', '11073']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.33', '999.84', '11073']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.33', '999.84', '11073']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.33', '999.84', '11073']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.33', '999.84', '11073']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.33', '999.84', '11073']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.33', '999.84', '11073']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.33', '999.84', '11073']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.33', '999.84', '11073']
['0.00', '0.000000', '0.000000', '75.02', '24.30', '88.71', '27.36', '28.33', '999.84', '11074']
