['0.00', '54.582165', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '577']
['0.00', '54.582165', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '577']
['0.00', '54.582165', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '577']
['0.00', '54.582165', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '577']
['0.00', '54.582169', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '578']
['0.00', '54.582169', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '578']
['0.00', '54.582169', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '578']
['0.00', '54.582169', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '578']
['0.00', '54.582169', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '578']
['0.00', '54.582169', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '578']
['0.00', '54.582169', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '578']
['0.00', '54.582169', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '578']
['0.00', '54.582169', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '578']
['0.00', '54.582169', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '578']
['0.00', '54.582169', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '578']
['0.00', '54.582169', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '578']
['0.00', '54.582169', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '578']
['0.00', '54.582169', '25.042208', '-67.23', '-13.33', '11.71', '25.76', '31.93', '1006.69', '110.71', '579']
['0.00', '54.582169', '25.042208', '-67.23', '-13.33', '11.71', '25.76', '31.93', '1006.69', '110.71', '579']
['0.00', '54.582169', '25.042208', '-67.23', '-13.33', '11.71', '25.76', '31.93', '1006.69', '110.71', '579']
['0.00', '54.582169', '25.042208', '-67.23', '-13.33', '11.71', '25.76', '31.93', '1006.69', '110.71', '579']
['0.00', '54.582169', '25.042208', '-67.23', '-13.33', '11.71', '25.76', '31.93', '1006.69', '110.71', '579']
['0.00', '54.582169', '25.042208', '-67.23', '-13.33', '11.71', '25.76', '31.93', '1006.69', '110.71', '579']
['0.00', '54.582169', '25.042208', '-67.23', '-13.33', '11.71', '25.76', '31.93', '1006.69', '110.71', '579']
['0.00', '54.582169', '25.042208', '-67.23', '-13.33', '11.71', '25.76', '31.93', '1006.69', '110.71', '579']
['0.00', '54.582169', '25.042208', '-67.23', '-13.33', '11.71', '25.76', '31.93', '1006.69', '110.71', '579']
['0.00', '54.582169', '25.042208', '-67.23', '-13.33', '11.71', '25.76', '31.93', '1006.69', '110.71', '579']
['0.00', '54.582169', '25.042208', '-67.23', '-13.33', '11.71', '25.76', '31.93', '1006.69', '110.71', '579']
['0.00', '54.582169', '25.042208', '-67.23', '-13.33', '11.71', '25.76', '31.93', '1006.69', '110.71', '580']
['0.00', '54.582169', '25.042208', '-67.23', '-13.33', '11.71', '25.76', '31.93', '1006.69', '110.71', '580']
['0.00', '54.582169', '25.042208', '-67.23', '-13.33', '11.71', '25.76', '31.93', '1006.69', '110.71', '580']
['0.00', '54.582169', '25.042208', '-67.23', '-13.33', '11.71', '25.76', '31.93', '1006.69', '110.71', '580']
['0.00', '54.582169', '25.042208', '-67.23', '-13.33', '11.71', '25.76', '31.93', '1006.69', '110.71', '580']
['0.00', '54.582169', '25.042208', '-67.23', '-13.33', '11.71', '25.76', '31.93', '1006.69', '110.71', '580']
['0.00', '54.582169', '25.042208', '-67.23', '-13.33', '11.71', '25.76', '31.93', '1006.69', '110.71', '580']
['0.00', '54.582169', '25.042208', '-67.23', '-13.33', '11.71', '25.76', '31.93', '1006.69', '110.71', '580']
['0.00', '54.582169', '25.042208', '-67.23', '-13.33', '11.71', '25.76', '31.93', '1006.69', '110.71', '580']
['0.00', '54.582169', '25.042208', '-67.23', '-13.33', '11.71', '25.76', '31.93', '1006.69', '110.71', '580']
['0.00', '54.582169', '25.042208', '-67.23', '-13.33', '11.71', '25.76', '31.93', '1006.69', '110.71', '581']
['0.00', '54.582169', '25.042208', '-67.23', '-13.33', '11.71', '25.76', '31.93', '1006.69', '110.71', '581']
['0.00', '54.582169', '25.042208', '-67.23', '-13.33', '11.71', '25.76', '31.93', '1006.69', '110.71', '581']
['0.00', '54.582169', '25.042208', '-67.23', '-13.33', '11.71', '25.76', '31.93', '1006.69', '110.71', '581']
['0.00', '54.582169', '25.042208', '-67.23', '-13.33', '11.71', '25.76', '31.93', '1006.69', '110.71', '581']
['0.00', '54.582169', '25.042208', '-67.23', '-13.33', '11.71', '25.76', '31.93', '1006.69', '110.71', '581']
['0.00', '54.582169', '25.042208', '-67.23', '-13.33', '11.71', '25.76', '31.93', '1006.69', '110.71', '581']
['0.00', '54.582169', '25.042208', '-67.23', '-13.33', '11.71', '25.76', '31.93', '1006.69', '110.71', '581']
['0.00', '54.582169', '25.042208', '-67.23', '-13.33', '11.71', '25.76', '31.93', '1006.69', '110.71', '581']
['0.00', '54.582169', '25.042208', '-67.23', '-13.33', '11.71', '25.76', '31.93', '1006.69', '110.71', '581']
['0.00', '54.582169', '25.042208', '-67.23', '-13.33', '11.71', '25.76', '31.93', '1006.69', '110.71', '581']
['0.00', '54.582169', '25.042208', '-66.33', '-23.29', '18.07', '25.79', '32.05', '1006.70', '110.57', '582']
['0.00', '54.582169', '25.042208', '-66.33', '-23.29', '18.07', '25.79', '32.05', '1006.70', '110.57', '582']
['0.00', '54.582169', '25.042208', '-66.33', '-23.29', '18.07', '25.79', '32.05', '1006.70', '110.57', '582']
['0.00', '54.582169', '25.042208', '-66.33', '-23.29', '18.07', '25.79', '32.05', '1006.70', '110.57', '582']
['0.00', '54.582169', '25.042208', '-66.33', '-23.29', '18.07', '25.79', '32.05', '1006.70', '110.57', '582']
['0.00', '54.582169', '25.042208', '-66.33', '-23.29', '18.07', '25.79', '32.05', '1006.70', '110.57', '582']
['0.00', '54.582169', '25.042208', '-66.33', '-23.29', '18.07', '25.79', '32.05', '1006.70', '110.57', '582']
['0.00', '54.582169', '25.042208', '-66.33', '-23.29', '18.07', '25.79', '32.05', '1006.70', '110.57', '582']
['0.00', '54.582169', '25.042208', '-66.33', '-23.29', '18.07', '25.79', '32.05', '1006.70', '110.57', '582']
['0.00', '54.582169', '25.042208', '-66.33', '-23.29', '18.07', '25.79', '32.05', '1006.70', '110.57', '582']
['0.00', '54.582169', '25.042206', '-66.33', '-23.29', '18.07', '25.79', '32.05', '1006.70', '110.57', '583']
['0.00', '54.582169', '25.042206', '-66.33', '-23.29', '18.07', '25.79', '32.05', '1006.70', '110.57', '583']
['0.00', '54.582169', '25.042206', '-66.33', '-23.29', '18.07', '25.79', '32.05', '1006.70', '110.57', '583']
['0.00', '54.582169', '25.042206', '-66.33', '-23.29', '18.07', '25.79', '32.05', '1006.70', '110.57', '583']
['0.00', '54.582169', '25.042206', '-66.33', '-23.29', '18.07', '25.79', '32.05', '1006.70', '110.57', '583']
['0.00', '54.582169', '25.042206', '-66.33', '-23.29', '18.07', '25.79', '32.05', '1006.70', '110.57', '583']
['0.00', '54.582169', '25.042206', '-66.33', '-23.29', '18.07', '25.79', '32.05', '1006.70', '110.57', '583']
['0.00', '54.582169', '25.042206', '-66.33', '-23.29', '18.07', '25.79', '32.05', '1006.70', '110.57', '583']
['0.00', '54.582169', '25.042206', '-66.33', '-23.29', '18.07', '25.79', '32.05', '1006.70', '110.57', '583']
['0.00', '54.582169', '25.042206', '-66.33', '-23.29', '18.07', '25.79', '32.05', '1006.70', '110.57', '583']
['0.00', '54.582169', '25.042206', '-66.33', '-23.29', '18.07', '25.79', '32.05', '1006.70', '110.57', '583']
['0.00', '54.582169', '25.042206', '-66.33', '-23.29', '18.07', '25.79', '32.05', '1006.70', '110.57', '583']
['0.00', '54.582169', '25.042206', '-73.82', '-28.76', '21.17', '25.80', '32.27', '1006.71', '110.47', '584']
['0.00', '54.582169', '25.042206', '-73.82', '-28.76', '21.17', '25.80', '32.27', '1006.71', '110.47', '584']
['0.00', '54.582169', '25.042206', '-73.82', '-28.76', '21.17', '25.80', '32.27', '1006.71', '110.47', '584']
['0.00', '54.582169', '25.042206', '-73.82', '-28.76', '21.17', '25.80', '32.27', '1006.71', '110.47', '584']
['0.00', '54.582169', '25.042206', '-73.82', '-28.76', '21.17', '25.80', '32.27', '1006.71', '110.47', '584']
['0.00', '54.582169', '25.042206', '-73.82', '-28.76', '21.17', '25.80', '32.27', '1006.71', '110.47', '584']
['0.00', '54.582169', '25.042206', '-73.82', '-28.76', '21.17', '25.80', '32.27', '1006.71', '110.47', '584']
['0.00', '54.582169', '25.042206', '-73.82', '-28.76', '21.17', '25.80', '32.27', '1006.71', '110.47', '584']
['0.00', '54.582169', '25.042206', '-73.82', '-28.76', '21.17', '25.80', '32.27', '1006.71', '110.47', '584']
['0.00', '54.582169', '25.042206', '-73.82', '-28.76', '21.17', '25.80', '32.27', '1006.71', '110.47', '584']
['0.00', '54.582169', '25.042206', '-73.82', '-28.76', '21.17', '25.80', '32.27', '1006.71', '110.47', '584']
['0.00', '54.582169', '25.042206', '-73.82', '-28.76', '21.17', '25.80', '32.27', '1006.71', '110.47', '585']
['0.00', '54.582169', '25.042206', '-73.82', '-28.76', '21.17', '25.80', '32.27', '1006.71', '110.47', '585']
['0.00', '54.582169', '25.042206', '-73.82', '-28.76', '21.17', '25.80', '32.27', '1006.71', '110.47', '585']
['0.00', '54.582169', '25.042206', '-73.82', '-28.76', '21.17', '25.80', '32.27', '1006.71', '110.47', '585']
['0.00', '54.582169', '25.042206', '-73.82', '-28.76', '21.17', '25.80', '32.27', '1006.71', '110.47', '585']
['0.00', '54.582169', '25.042206', '-73.82', '-28.76', '21.17', '25.80', '32.27', '1006.71', '110.47', '585']
['0.00', '54.582169', '25.042206', '-73.82', '-28.76', '21.17', '25.80', '32.27', '1006.71', '110.47', '585']
['0.00', '54.582169', '25.042206', '-73.82', '-28.76', '21.17', '25.80', '32.27', '1006.71', '110.47', '585']
['0.00', '54.582169', '25.042206', '-73.82', '-28.76', '21.17', '25.80', '32.27', '1006.71', '110.47', '585']
['0.00', '54.582169', '25.042206', '-73.82', '-28.76', '21.17', '25.80', '32.27', '1006.71', '110.47', '585']
['0.00', '54.582169', '25.042206', '-73.82', '-28.76', '21.17', '25.80', '32.27', '1006.71', '110.47', '585']
['0.00', '54.582169', '25.042206', '-73.82', '-28.76', '21.17', '25.80', '32.27', '1006.71', '110.47', '586']
['0.00', '54.582169', '25.042206', '-73.82', '-28.76', '21.17', '25.80', '32.27', '1006.71', '110.47', '586']
['0.00', '54.582169', '25.042206', '-73.82', '-28.76', '21.17', '25.80', '32.27', '1006.71', '110.47', '586']
['0.00', '54.582169', '25.042206', '-73.82', '-28.76', '21.17', '25.80', '32.27', '1006.71', '110.47', '586']
['0.00', '54.582169', '25.042206', '-73.82', '-28.76', '21.17', '25.80', '32.27', '1006.71', '110.47', '586']
['0.00', '54.582169', '25.042206', '-73.82', '-28.76', '21.17', '25.80', '32.27', '1006.71', '110.47', '586']
['0.00', '54.582169', '25.042206', '-73.82', '-28.76', '21.17', '25.80', '32.27', '1006.71', '110.47', '586']
['0.00', '54.582169', '25.042206', '-73.82', '-28.76', '21.17', '25.80', '32.27', '1006.71', '110.47', '586']
['0.00', '54.582169', '25.042206', '-73.82', '-28.76', '21.17', '25.80', '32.27', '1006.71', '110.47', '586']
['0.00', '54.582169', '25.042206', '-73.82', '-28.76', '21.17', '25.80', '32.27', '1006.71', '110.47', '586']
['0.00', '54.582169', '25.042206', '-77.88', '-28.80', '23.11', '25.80', '32.47', '1006.69', '110.68', '587']
['0.00', '54.582169', '25.042206', '-77.88', '-28.80', '23.11', '25.80', '32.47', '1006.69', '110.68', '587']
['0.00', '54.582169', '25.042206', '-77.88', '-28.80', '23.11', '25.80', '32.47', '1006.69', '110.68', '587']
['0.00', '54.582169', '25.042206', '-77.88', '-28.80', '23.11', '25.80', '32.47', '1006.69', '110.68', '587']
['0.00', '54.582169', '25.042206', '-77.88', '-28.80', '23.11', '25.80', '32.47', '1006.69', '110.68', '587']
['0.00', '54.582169', '25.042206', '-77.88', '-28.80', '23.11', '25.80', '32.47', '1006.69', '110.68', '587']
['0.00', '54.582169', '25.042206', '-77.88', '-28.80', '23.11', '25.80', '32.47', '1006.69', '110.68', '587']
['0.00', '54.582169', '25.042206', '-77.88', '-28.80', '23.11', '25.80', '32.47', '1006.69', '110.68', '587']
['0.00', '54.582169', '25.042206', '-77.88', '-28.80', '23.11', '25.80', '32.47', '1006.69', '110.68', '587']
['0.00', '54.582169', '25.042206', '-77.88', '-28.80', '23.11', '25.80', '32.47', '1006.69', '110.68', '587']
['0.00', '54.582169', '25.042206', '-77.88', '-28.80', '23.11', '25.80', '32.47', '1006.69', '110.68', '587']
['0.00', '54.582169', '25.042204', '-77.88', '-28.80', '23.11', '25.80', '32.47', '1006.69', '110.68', '588']
['0.00', '54.582169', '25.042204', '-77.88', '-28.80', '23.11', '25.80', '32.47', '1006.69', '110.68', '588']
['0.00', '54.582169', '25.042204', '-77.88', '-28.80', '23.11', '25.80', '32.47', '1006.69', '110.68', '588']
['0.00', '54.582169', '25.042204', '-77.88', '-28.80', '23.11', '25.80', '32.47', '1006.69', '110.68', '588']
['0.00', '54.582169', '25.042204', '-77.88', '-28.80', '23.11', '25.80', '32.47', '1006.69', '110.68', '588']
['0.00', '54.582169', '25.042204', '-77.88', '-28.80', '23.11', '25.80', '32.47', '1006.69', '110.68', '588']
['0.00', '54.582169', '25.042204', '-77.88', '-28.80', '23.11', '25.80', '32.47', '1006.69', '110.68', '588']
['0.00', '54.582169', '25.042204', '-77.88', '-28.80', '23.11', '25.80', '32.47', '1006.69', '110.68', '588']
['0.00', '54.582169', '25.042204', '-77.88', '-28.80', '23.11', '25.80', '32.47', '1006.69', '110.68', '588']
['0.00', '54.582169', '25.042204', '-77.88', '-28.80', '23.11', '25.80', '32.47', '1006.69', '110.68', '588']
['0.00', '54.582169', '25.042204', '-77.88', '-28.80', '23.11', '25.80', '32.47', '1006.69', '110.68', '588']
['0.00', '54.582169', '25.042204', '-77.88', '-28.80', '23.11', '25.80', '32.47', '1006.69', '110.68', '588']
['0.00', '54.582169', '25.042202', '-81.02', '-29.37', '23.42', '25.82', '32.63', '1006.69', '110.68', '589']
['0.00', '54.582169', '25.042202', '-81.02', '-29.37', '23.42', '25.82', '32.63', '1006.69', '110.68', '589']
['0.00', '54.582169', '25.042202', '-81.02', '-29.37', '23.42', '25.82', '32.63', '1006.69', '110.68', '589']
['0.00', '54.582169', '25.042202', '-81.02', '-29.37', '23.42', '25.82', '32.63', '1006.69', '110.68', '589']
['0.00', '54.582169', '25.042202', '-81.02', '-29.37', '23.42', '25.82', '32.63', '1006.69', '110.68', '589']
['0.00', '54.582169', '25.042202', '-81.02', '-29.37', '23.42', '25.82', '32.63', '1006.69', '110.68', '589']
['0.00', '54.582169', '25.042202', '-81.02', '-29.37', '23.42', '25.82', '32.63', '1006.69', '110.68', '589']
['0.00', '54.582169', '25.042202', '-81.02', '-29.37', '23.42', '25.82', '32.63', '1006.69', '110.68', '589']
['0.00', '54.582169', '25.042202', '-81.02', '-29.37', '23.42', '25.82', '32.63', '1006.69', '110.68', '589']
['0.00', '54.582169', '25.042202', '-81.02', '-29.37', '23.42', '25.82', '32.63', '1006.69', '110.68', '589']
['0.00', '54.582169', '25.042202', '-81.02', '-29.37', '23.42', '25.82', '32.63', '1006.69', '110.68', '589']
['0.00', '54.582169', '25.042202', '-81.02', '-29.37', '23.42', '25.82', '32.63', '1006.69', '110.68', '590']
['0.00', '54.582169', '25.042202', '-81.02', '-29.37', '23.42', '25.82', '32.63', '1006.69', '110.68', '590']
['0.00', '54.582169', '25.042202', '-81.02', '-29.37', '23.42', '25.82', '32.63', '1006.69', '110.68', '590']
['0.00', '54.582169', '25.042202', '-81.02', '-29.37', '23.42', '25.82', '32.63', '1006.69', '110.68', '590']
['0.00', '54.582169', '25.042202', '-81.02', '-29.37', '23.42', '25.82', '32.63', '1006.69', '110.68', '590']
['0.00', '54.582169', '25.042202', '-81.02', '-29.37', '23.42', '25.82', '32.63', '1006.69', '110.68', '590']
['0.00', '54.582169', '25.042202', '-81.02', '-29.37', '23.42', '25.82', '32.63', '1006.69', '110.68', '590']
['0.00', '54.582169', '25.042202', '-81.02', '-29.37', '23.42', '25.82', '32.63', '1006.69', '110.68', '590']
['0.00', '54.582169', '25.042202', '-81.02', '-29.37', '23.42', '25.82', '32.63', '1006.69', '110.68', '590']
['0.00', '54.582169', '25.042202', '-81.02', '-29.37', '23.42', '25.82', '32.63', '1006.69', '110.68', '590']
['0.00', '54.582169', '25.042202', '-81.02', '-29.37', '23.42', '25.82', '32.63', '1006.69', '110.68', '590']
['0.00', '54.582169', '25.042202', '-81.02', '-29.37', '23.42', '25.82', '32.63', '1006.69', '110.68', '591']
['0.00', '54.582169', '25.042202', '-81.02', '-29.37', '23.42', '25.82', '32.63', '1006.69', '110.68', '591']
['0.00', '54.582169', '25.042202', '-81.02', '-29.37', '23.42', '25.82', '32.63', '1006.69', '110.68', '591']
['0.00', '54.582169', '25.042202', '-81.02', '-29.37', '23.42', '25.82', '32.63', '1006.69', '110.68', '591']
['0.00', '54.582169', '25.042202', '-81.02', '-29.37', '23.42', '25.82', '32.63', '1006.69', '110.68', '591']
['0.00', '54.582169', '25.042202', '-81.02', '-29.37', '23.42', '25.82', '32.63', '1006.69', '110.68', '591']
['0.00', '54.582169', '25.042202', '-81.02', '-29.37', '23.42', '25.82', '32.63', '1006.69', '110.68', '591']
['0.00', '54.582169', '25.042202', '-81.02', '-29.37', '23.42', '25.82', '32.63', '1006.69', '110.68', '591']
['0.00', '54.582169', '25.042202', '-81.02', '-29.37', '23.42', '25.82', '32.63', '1006.69', '110.68', '591']
['0.00', '54.582169', '25.042202', '-81.02', '-29.37', '23.42', '25.82', '32.63', '1006.69', '110.68', '591']
['0.00', '54.582169', '25.042202', '-78.04', '-37.76', '21.54', '25.81', '32.90', '1006.69', '110.66', '592']
['0.00', '54.582169', '25.042202', '-78.04', '-37.76', '21.54', '25.81', '32.90', '1006.69', '110.66', '592']
['0.00', '54.582169', '25.042202', '-78.04', '-37.76', '21.54', '25.81', '32.90', '1006.69', '110.66', '592']
['0.00', '54.582169', '25.042202', '-78.04', '-37.76', '21.54', '25.81', '32.90', '1006.69', '110.66', '592']
['0.00', '54.582169', '25.042202', '-78.04', '-37.76', '21.54', '25.81', '32.90', '1006.69', '110.66', '592']
['0.00', '54.582169', '25.042202', '-78.04', '-37.76', '21.54', '25.81', '32.90', '1006.69', '110.66', '592']
['0.00', '54.582169', '25.042202', '-78.04', '-37.76', '21.54', '25.81', '32.90', '1006.69', '110.66', '592']
['0.00', '54.582169', '25.042202', '-78.04', '-37.76', '21.54', '25.81', '32.90', '1006.69', '110.66', '592']
['0.00', '54.582169', '25.042202', '-78.04', '-37.76', '21.54', '25.81', '32.90', '1006.69', '110.66', '592']
['0.00', '54.582169', '25.042202', '-78.04', '-37.76', '21.54', '25.81', '32.90', '1006.69', '110.66', '592']
['0.00', '54.582169', '25.042202', '-78.04', '-37.76', '21.54', '25.81', '32.90', '1006.69', '110.66', '592']
['0.00', '54.582169', '25.042200', '-78.04', '-37.76', '21.54', '25.81', '32.90', '1006.69', '110.66', '593']
['0.00', '54.582169', '25.042200', '-78.04', '-37.76', '21.54', '25.81', '32.90', '1006.69', '110.66', '593']
['0.00', '54.582169', '25.042200', '-78.04', '-37.76', '21.54', '25.81', '32.90', '1006.69', '110.66', '593']
['0.00', '54.582169', '25.042200', '-78.04', '-37.76', '21.54', '25.81', '32.90', '1006.69', '110.66', '593']
['0.00', '54.582169', '25.042200', '-78.04', '-37.76', '21.54', '25.81', '32.90', '1006.69', '110.66', '593']
['0.00', '54.582169', '25.042200', '-78.04', '-37.76', '21.54', '25.81', '32.90', '1006.69', '110.66', '593']
