['0.00', '0.000000', '0.000000', '-50.31', '44.43', '9.28', '29.99', '28.00', '1000.18', '6']
['0.00', '0.000000', '0.000000', '-50.31', '44.43', '9.28', '29.99', '28.00', '1000.18', '6']
['0.00', '0.000000', '0.000000', '-50.31', '44.43', '9.28', '29.99', '28.00', '1000.18', '6']
['0.00', '0.000000', '0.000000', '-50.31', '44.43', '9.28', '29.99', '28.00', '1000.18', '6']
['0.00', '0.000000', '0.000000', '-50.31', '44.43', '9.28', '29.99', '28.00', '1000.18', '7']
['0.00', '0.000000', '0.000000', '-50.31', '44.43', '9.28', '29.99', '28.00', '1000.18', '7']
['0.00', '0.000000', '0.000000', '-50.31', '44.43', '9.28', '29.99', '28.00', '1000.18', '7']
['0.00', '0.000000', '0.000000', '-50.31', '44.43', '9.28', '29.99', '28.00', '1000.18', '7']
['0.00', '0.000000', '0.000000', '-50.31', '44.43', '9.28', '29.99', '28.00', '1000.18', '7']
['0.00', '0.000000', '0.000000', '-50.31', '44.43', '9.28', '29.99', '28.00', '1000.18', '7']
['0.00', '0.000000', '0.000000', '-50.31', '44.43', '9.28', '29.99', '28.00', '1000.18', '7']
['0.00', '0.000000', '0.000000', '-50.31', '44.43', '9.28', '29.99', '28.00', '1000.18', '7']
['0.00', '0.000000', '0.000000', '-50.31', '44.43', '9.28', '29.99', '28.00', '1000.18', '7']
['0.00', '0.000000', '0.000000', '-50.31', '44.43', '9.28', '29.99', '28.00', '1000.18', '7']
['0.00', '0.000000', '0.000000', '-50.31', '44.43', '9.28', '29.99', '28.00', '1000.18', '7']
['0.00', '0.000000', '0.000000', '-50.31', '44.43', '9.28', '29.99', '28.00', '1000.18', '7']
['0.00', '0.000000', '0.000000', '-50.31', '44.43', '9.28', '29.99', '28.00', '1000.18', '7']
['0.00', '0.000000', '0.000000', '-50.31', '44.43', '9.28', '29.99', '28.00', '1000.18', '7']
['0.00', '0.000000', '0.000000', '-50.31', '44.43', '9.28', '29.99', '28.00', '1000.18', '8']
['0.00', '0.000000', '0.000000', '-50.31', '44.43', '9.28', '29.99', '28.00', '1000.18', '8']
['0.00', '0.000000', '0.000000', '-50.31', '44.43', '9.28', '29.99', '28.00', '1000.18', '8']
['0.00', '0.000000', '0.000000', '-50.31', '44.43', '9.28', '29.99', '28.00', '1000.18', '8']
['0.00', '0.000000', '0.000000', '-50.31', '44.43', '9.28', '29.99', '28.00', '1000.18', '8']
['0.00', '0.000000', '0.000000', '-50.31', '44.43', '9.28', '29.99', '28.00', '1000.18', '8']
['0.00', '0.000000', '0.000000', '-50.31', '44.43', '9.28', '29.99', '28.00', '1000.18', '8']
['0.00', '0.000000', '0.000000', '-50.31', '44.43', '9.28', '29.99', '28.00', '1000.18', '8']
['0.00', '0.000000', '0.000000', '-50.31', '44.43', '9.28', '29.99', '28.00', '1000.18', '8']
['0.00', '0.000000', '0.000000', '-50.31', '44.43', '9.28', '29.99', '28.00', '1000.18', '8']
['0.00', '0.000000', '0.000000', '-50.31', '44.43', '9.28', '29.99', '28.00', '1000.18', '8']
['0.00', '0.000000', '0.000000', '-50.31', '44.43', '9.28', '29.99', '28.00', '1000.18', '8']
['0.00', '0.000000', '0.000000', '-50.31', '44.43', '9.28', '29.99', '28.00', '1000.18', '8']
['0.00', '0.000000', '0.000000', '-50.31', '44.43', '9.28', '29.99', '28.00', '1000.18', '8']
['0.00', '0.000000', '0.000000', '-50.31', '44.43', '9.28', '29.99', '28.00', '1000.18', '8']
['0.00', '0.000000', '0.000000', '-50.31', '44.39', '9.28', '29.88', '27.95', '1000.05', '9']
['0.00', '0.000000', '0.000000', '-50.31', '44.39', '9.28', '29.88', '27.95', '1000.05', '9']
['0.00', '0.000000', '0.000000', '-50.31', '44.39', '9.28', '29.88', '27.95', '1000.05', '9']
['0.00', '0.000000', '0.000000', '-50.31', '44.39', '9.28', '29.88', '27.95', '1000.05', '9']
['0.00', '0.000000', '0.000000', '-50.31', '44.39', '9.28', '29.88', '27.95', '1000.05', '9']
['0.00', '0.000000', '0.000000', '-50.31', '44.39', '9.28', '29.88', '27.95', '1000.05', '9']
['0.00', '0.000000', '0.000000', '-50.31', '44.39', '9.28', '29.88', '27.95', '1000.05', '9']
['0.00', '0.000000', '0.000000', '-50.31', '44.39', '9.28', '29.88', '27.95', '1000.05', '9']
['0.00', '0.000000', '0.000000', '-50.31', '44.39', '9.28', '29.88', '27.95', '1000.05', '9']
['0.00', '0.000000', '0.000000', '-50.31', '44.39', '9.28', '29.88', '27.95', '1000.05', '9']
['0.00', '0.000000', '0.000000', '-50.31', '44.39', '9.28', '29.88', '27.95', '1000.05', '9']
['0.00', '0.000000', '0.000000', '-50.31', '44.39', '9.28', '29.88', '27.95', '1000.05', '9']
['0.00', '0.000000', '0.000000', '-50.31', '44.39', '9.28', '29.88', '27.95', '1000.05', '9']
['0.00', '0.000000', '0.000000', '-50.31', '44.39', '9.28', '29.88', '27.95', '1000.05', '9']
['0.00', '0.000000', '0.000000', '-50.31', '44.39', '9.28', '29.88', '27.95', '1000.05', '10']
['0.00', '0.000000', '0.000000', '-50.31', '44.39', '9.28', '29.88', '27.95', '1000.05', '10']
['0.00', '0.000000', '0.000000', '-50.31', '44.39', '9.28', '29.88', '27.95', '1000.05', '10']
['0.00', '0.000000', '0.000000', '-50.31', '44.39', '9.28', '29.88', '27.95', '1000.05', '10']
['0.00', '0.000000', '0.000000', '-50.31', '44.39', '9.28', '29.88', '27.95', '1000.05', '10']
['0.00', '0.000000', '0.000000', '-50.31', '44.39', '9.28', '29.88', '27.95', '1000.05', '10']
['0.00', '0.000000', '0.000000', '-50.31', '44.39', '9.28', '29.88', '27.95', '1000.05', '10']
['0.00', '0.000000', '0.000000', '-50.31', '44.39', '9.28', '29.88', '27.95', '1000.05', '10']
['0.00', '0.000000', '0.000000', '-50.31', '44.39', '9.28', '29.88', '27.95', '1000.05', '10']
['0.00', '0.000000', '0.000000', '-50.31', '44.39', '9.28', '29.88', '27.95', '1000.05', '10']
['0.00', '0.000000', '0.000000', '-50.31', '44.39', '9.28', '29.88', '27.95', '1000.05', '10']
['0.00', '0.000000', '0.000000', '-50.31', '44.39', '9.28', '29.88', '27.95', '1000.05', '10']
['0.00', '0.000000', '0.000000', '-50.31', '44.39', '9.28', '29.88', '27.95', '1000.05', '10']
['0.00', '0.000000', '0.000000', '-50.31', '44.39', '9.28', '29.88', '27.95', '1000.05', '10']
['0.00', '0.000000', '0.000000', '-50.31', '44.39', '9.28', '29.88', '27.95', '1000.05', '10']
['0.00', '0.000000', '0.000000', '-50.31', '44.39', '9.28', '29.88', '27.95', '1000.05', '10']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '11']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '11']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '11']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '11']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '11']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '11']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '11']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '11']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '11']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '11']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '11']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '11']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '11']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '11']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '12']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '12']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '12']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '12']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '12']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '12']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '12']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '12']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '12']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '12']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '12']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '12']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '12']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '12']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '13']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '13']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '13']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '13']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '13']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '13']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '13']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '13']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '13']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '13']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '13']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '13']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '13']
['0.00', '0.000000', '0.000000', '-50.30', '44.39', '9.24', '29.88', '27.82', '1000.04', '13']
