['0.00', '54.678021', '25.263396', '41.32', '-16.49', '66.31', '30.01', '27.72', '996.43', '229.64', '5.59', '0.00', '0.00']
['0.00', '54.678021', '25.263396', '41.32', '-16.49', '66.31', '30.01', '27.72', '996.43', '229.64', '5.59', '0.00', '0.00']
['0.00', '54.678021', '25.263396', '41.32', '-16.49', '66.31', '30.01', '27.72', '996.43', '229.64', '5.59', '0.00', '0.00']
['0.00', '54.678021', '25.263396', '41.32', '-16.49', '66.31', '30.01', '27.72', '996.43', '229.64', '5.59', '0.00', '0.00']
['0.00', '54.678021', '25.263396', '41.32', '-16.49', '66.31', '30.01', '27.72', '996.43', '229.64', '5.59', '0.00', '0.00']
['0.00', '54.678021', '25.263396', '41.32', '-16.49', '66.31', '30.01', '27.72', '996.43', '229.64', '5.59', '0.00', '0.00']
['0.00', '54.678021', '25.263396', '41.32', '-16.49', '66.31', '30.01', '27.72', '996.43', '229.64', '5.59', '0.00', '0.00']
['0.00', '54.678021', '25.263396', '41.32', '-16.49', '66.31', '30.01', '27.72', '996.43', '229.64', '5.59', '0.00', '0.00']
['0.00', '54.678021', '25.263396', '41.32', '-16.49', '66.31', '30.01', '27.72', '996.43', '229.64', '5.59', '0.00', '0.00']
['0.00', '54.678021', '25.263396', '41.32', '-16.49', '66.31', '30.01', '27.72', '996.43', '229.64', '5.59', '0.00', '0.00']
['0.00', '54.678021', '25.263396', '41.32', '-16.49', '66.31', '30.01', '27.72', '996.43', '229.64', '5.59', '0.00', '0.00']
['0.00', '54.678021', '25.263396', '41.32', '-16.49', '66.31', '30.07', '27.69', '996.56', '228.53', '4.48', '0.00', '0.00']
['0.00', '54.678021', '25.263396', '41.32', '-16.49', '66.31', '30.07', '27.69', '996.56', '228.53', '4.48', '0.00', '0.00']
['0.00', '54.678021', '25.263396', '41.32', '-16.49', '66.31', '30.07', '27.69', '996.56', '228.53', '4.48', '0.00', '0.00']
['0.00', '54.678021', '25.263396', '41.32', '-16.49', '66.31', '30.07', '27.69', '996.56', '228.53', '4.48', '0.00', '0.00']
['0.00', '54.678021', '25.263396', '41.32', '-16.49', '66.31', '30.07', '27.69', '996.56', '228.53', '4.48', '0.00', '0.00']
['0.00', '54.678021', '25.263396', '41.32', '-16.49', '66.31', '30.07', '27.69', '996.56', '228.53', '4.48', '0.00', '0.00']
['0.00', '54.678021', '25.263396', '41.32', '-16.49', '66.31', '30.07', '27.69', '996.56', '228.53', '4.48', '0.00', '0.00']
['0.00', '54.678021', '25.263396', '41.32', '-16.49', '66.31', '30.07', '27.69', '996.56', '228.53', '4.48', '0.00', '0.00']
['0.00', '54.678021', '25.263396', '41.32', '-16.49', '66.31', '30.07', '27.69', '996.56', '228.53', '4.48', '0.00', '0.00']
['0.00', '54.678021', '25.263396', '41.32', '-16.49', '66.31', '30.07', '27.69', '996.56', '228.53', '4.48', '0.00', '0.00']
['0.00', '54.678021', '25.263396', '41.32', '-16.49', '66.31', '30.07', '27.69', '996.56', '228.53', '4.48', '0.00', '0.00']
['0.00', '54.678021', '25.263396', '41.32', '-16.49', '66.31', '30.07', '27.69', '996.56', '228.53', '4.48', '0.00', '0.00']
['0.00', '54.678021', '25.263396', '41.32', '-16.49', '66.31', '30.07', '27.69', '996.56', '228.53', '4.48', '0.00', '0.00']
['0.00', '54.678021', '25.263396', '41.32', '-16.49', '66.31', '30.07', '27.69', '996.56', '228.53', '4.48', '0.00', '0.00']
['0.00', '54.678021', '25.263396', '41.32', '-16.49', '66.31', '30.07', '27.69', '996.56', '228.53', '4.48', '0.00', '0.00']
['0.00', '54.678021', '25.263396', '41.32', '-16.49', '66.31', '30.07', '27.69', '996.56', '228.53', '4.48', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.07', '27.69', '996.56', '228.53', '4.48', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.07', '27.69', '996.56', '228.53', '4.48', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.07', '27.69', '996.56', '228.53', '4.48', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.07', '27.69', '996.56', '228.53', '4.48', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.07', '27.69', '996.56', '228.53', '4.48', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.07', '27.69', '996.56', '228.53', '4.48', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.07', '27.69', '996.56', '228.53', '4.48', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.07', '27.69', '996.56', '228.53', '4.48', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.07', '27.69', '996.56', '228.53', '4.48', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.07', '27.69', '996.56', '228.53', '4.48', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.07', '27.69', '996.56', '228.53', '4.48', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.07', '27.69', '996.56', '228.53', '4.48', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.07', '27.69', '996.56', '228.53', '4.48', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.07', '27.69', '996.56', '228.53', '4.48', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.07', '27.69', '996.56', '228.53', '4.48', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.07', '27.69', '996.56', '228.53', '4.48', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.08', '27.72', '996.53', '228.78', '4.73', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.08', '27.72', '996.53', '228.78', '4.73', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.08', '27.72', '996.53', '228.78', '4.73', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.08', '27.72', '996.53', '228.78', '4.73', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.08', '27.72', '996.53', '228.78', '4.73', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.08', '27.72', '996.53', '228.78', '4.73', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.08', '27.72', '996.53', '228.78', '4.73', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.08', '27.72', '996.53', '228.78', '4.73', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.08', '27.72', '996.53', '228.78', '4.73', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.08', '27.72', '996.53', '228.78', '4.73', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.08', '27.72', '996.53', '228.78', '4.73', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.08', '27.72', '996.53', '228.78', '4.73', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.08', '27.72', '996.53', '228.78', '4.73', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.08', '27.72', '996.53', '228.78', '4.73', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.08', '27.72', '996.53', '228.78', '4.73', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.08', '27.72', '996.53', '228.78', '4.73', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.08', '27.72', '996.53', '228.78', '4.73', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.08', '27.72', '996.53', '228.78', '4.73', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.08', '27.72', '996.53', '228.78', '4.73', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.08', '27.72', '996.53', '228.78', '4.73', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.08', '27.72', '996.53', '228.78', '4.73', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.08', '27.72', '996.53', '228.78', '4.73', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.08', '27.72', '996.53', '228.78', '4.73', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.08', '27.72', '996.53', '228.78', '4.73', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.08', '27.72', '996.53', '228.78', '4.73', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.08', '27.72', '996.53', '228.78', '4.73', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.08', '27.72', '996.53', '228.78', '4.73', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.08', '27.72', '996.53', '228.78', '4.73', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.08', '27.72', '996.53', '228.78', '4.73', '0.00', '0.00']
['0.00', '54.678026', '25.263396', '41.32', '-16.49', '66.31', '30.08', '27.72', '996.53', '228.78', '4.73', '0.00', '0.00']
['0.00', '54.678027', '25.263396', '41.32', '-16.49', '66.31', '30.08', '27.72', '996.53', '228.78', '4.73', '0.00', '0.00']
['0.00', '54.678027', '25.263396', '41.32', '-16.49', '66.31', '30.08', '27.72', '996.53', '228.78', '4.73', '0.00', '0.00']
