['0.00', '0.000000', '0.000000', '44.17', '81.79', '101.53', '26.47', '29.69', '999.61', '4292']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4298']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4298']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4298']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4298']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4298']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4298']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4299']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4299']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4299']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4299']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4299']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4299']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4299']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4299']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4299']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4299']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4299']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4299']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4299']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4299']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4300']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4300']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4300']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4300']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4300']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4300']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4300']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4300']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4300']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4300']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4300']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4300']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4300']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4300']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4300']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.42', '29.70', '999.53', '4300']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4301']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4301']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4301']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4301']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4301']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4301']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4301']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4301']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4301']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4301']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4301']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4301']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4301']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4302']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4302']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4302']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4302']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4302']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4302']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4302']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4302']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4302']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4302']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4302']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4302']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4302']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4302']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4303']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4303']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4303']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4303']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4303']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4303']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4303']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4303']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4303']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4303']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4303']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4303']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4303']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4303']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.52', '29.70', '999.66', '4303']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.49', '29.71', '999.62', '4304']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.49', '29.71', '999.62', '4304']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.49', '29.71', '999.62', '4304']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.49', '29.71', '999.62', '4304']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.49', '29.71', '999.62', '4304']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.49', '29.71', '999.62', '4304']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.49', '29.71', '999.62', '4304']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.49', '29.71', '999.62', '4304']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.49', '29.71', '999.62', '4304']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.49', '29.71', '999.62', '4304']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.49', '29.71', '999.62', '4304']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.49', '29.71', '999.62', '4304']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.49', '29.71', '999.62', '4304']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.49', '29.71', '999.62', '4304']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.49', '29.71', '999.62', '4304']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.49', '29.71', '999.62', '4305']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.49', '29.71', '999.62', '4305']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.49', '29.71', '999.62', '4305']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.49', '29.71', '999.62', '4305']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.49', '29.71', '999.62', '4305']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.49', '29.71', '999.62', '4305']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.49', '29.71', '999.62', '4305']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.49', '29.71', '999.62', '4305']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.49', '29.71', '999.62', '4305']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.49', '29.71', '999.62', '4305']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.49', '29.71', '999.62', '4305']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.49', '29.71', '999.62', '4305']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.49', '29.71', '999.62', '4305']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.49', '29.71', '999.62', '4305']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.49', '29.71', '999.62', '4305']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.50', '29.71', '999.71', '4306']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.50', '29.71', '999.71', '4306']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.50', '29.71', '999.71', '4306']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.50', '29.71', '999.71', '4306']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.50', '29.71', '999.71', '4306']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.50', '29.71', '999.71', '4306']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.50', '29.71', '999.71', '4306']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.50', '29.71', '999.71', '4306']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.50', '29.71', '999.71', '4306']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.50', '29.71', '999.71', '4306']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.50', '29.71', '999.71', '4306']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.50', '29.71', '999.71', '4306']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.50', '29.71', '999.71', '4306']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.50', '29.71', '999.71', '4306']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.50', '29.71', '999.71', '4307']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.50', '29.71', '999.71', '4307']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.50', '29.71', '999.71', '4307']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.50', '29.71', '999.71', '4307']
['0.00', '0.000000', '0.000000', '44.18', '81.79', '101.53', '26.50', '29.71', '999.71', '4307']
