['0.00', '0.000000', '0.000000', '-142.47', '-62.44', '-88.16', '25.94', '30.36', '999.47', '1737']
['0.00', '0.000000', '0.000000', '-142.47', '-62.44', '-88.16', '25.94', '30.36', '999.47', '1737']
['0.00', '0.000000', '0.000000', '-142.47', '-62.44', '-88.16', '25.94', '30.36', '999.47', '1737']
['0.00', '0.000000', '0.000000', '-142.47', '-62.44', '-88.16', '25.94', '30.36', '999.47', '1737']
['0.00', '0.000000', '0.000000', '-142.47', '-62.44', '-88.16', '25.94', '30.36', '999.47', '1737']
['0.00', '0.000000', '0.000000', '-142.47', '-62.44', '-88.16', '25.94', '30.36', '999.47', '1737']
['0.00', '0.000000', '0.000000', '-142.47', '-62.44', '-88.16', '25.94', '30.36', '999.47', '1737']
['0.00', '0.000000', '0.000000', '-142.47', '-62.44', '-88.16', '25.94', '30.36', '999.47', '1738']
['0.00', '0.000000', '0.000000', '-142.47', '-62.44', '-88.16', '25.94', '30.36', '999.47', '1738']
['0.00', '0.000000', '0.000000', '-142.47', '-62.44', '-88.16', '25.94', '30.36', '999.47', '1738']
['0.00', '0.000000', '0.000000', '-142.47', '-62.44', '-88.16', '25.94', '30.36', '999.47', '1738']
['0.00', '0.000000', '0.000000', '-142.47', '-62.44', '-88.16', '25.94', '30.36', '999.47', '1738']
['0.00', '0.000000', '0.000000', '-142.47', '-62.44', '-88.16', '25.94', '30.36', '999.47', '1738']
['0.00', '0.000000', '0.000000', '-142.47', '-62.44', '-88.16', '25.94', '30.36', '999.47', '1738']
['0.00', '0.000000', '0.000000', '-142.47', '-62.44', '-88.16', '25.94', '30.36', '999.47', '1738']
['0.00', '0.000000', '0.000000', '-142.47', '-62.44', '-88.16', '25.94', '30.36', '999.47', '1738']
['0.00', '0.000000', '0.000000', '-142.47', '-62.44', '-88.16', '25.94', '30.36', '999.47', '1738']
['0.00', '0.000000', '0.000000', '-142.47', '-62.44', '-88.16', '25.94', '30.36', '999.47', '1738']
['0.00', '0.000000', '0.000000', '-142.47', '-62.44', '-88.16', '25.94', '30.36', '999.47', '1738']
['0.00', '0.000000', '0.000000', '-142.47', '-62.44', '-88.16', '25.94', '30.36', '999.47', '1738']
['0.00', '0.000000', '0.000000', '-142.47', '-62.44', '-88.16', '25.94', '30.36', '999.47', '1738']
['0.00', '0.000000', '0.000000', '-142.47', '-62.44', '-88.16', '25.94', '30.36', '999.47', '1738']
['0.00', '0.000000', '0.000000', '-142.47', '-62.44', '-88.16', '26.00', '30.29', '999.59', '1739']
['0.00', '0.000000', '0.000000', '-142.47', '-62.44', '-88.16', '26.00', '30.29', '999.59', '1739']
['0.00', '0.000000', '0.000000', '-142.47', '-62.44', '-88.16', '26.00', '30.29', '999.59', '1739']
['0.00', '0.000000', '0.000000', '-142.47', '-62.44', '-88.16', '26.00', '30.29', '999.59', '1739']
['0.00', '0.000000', '0.000000', '-142.47', '-62.44', '-88.16', '26.00', '30.29', '999.59', '1739']
['0.00', '0.000000', '0.000000', '-142.47', '-62.44', '-88.16', '26.00', '30.29', '999.59', '1739']
['0.00', '0.000000', '0.000000', '-142.47', '-62.44', '-88.16', '26.00', '30.29', '999.59', '1739']
['0.00', '0.000000', '0.000000', '-142.47', '-62.44', '-88.16', '26.00', '30.29', '999.59', '1739']
['0.00', '0.000000', '0.000000', '-142.47', '-62.44', '-88.16', '26.00', '30.29', '999.59', '1739']
['0.00', '0.000000', '0.000000', '-142.47', '-62.44', '-88.16', '26.00', '30.29', '999.59', '1739']
