['119.53', '54.677277', '25.263149', '-79.18', '70.13', '-23.45', '28.24', '30.90', '1003.38', '3248']
['119.53', '54.677277', '25.263149', '-79.18', '70.13', '-23.45', '28.24', '30.90', '1003.38', '3248']
['119.53', '54.677277', '25.263149', '-79.18', '70.13', '-23.45', '28.24', '30.90', '1003.38', '3249']
['119.53', '54.677277', '25.263149', '-79.18', '70.13', '-23.45', '28.24', '30.90', '1003.38', '3249']
['119.53', '54.677277', '25.263149', '-79.18', '70.13', '-23.45', '28.24', '30.90', '1003.38', '3249']
['119.53', '54.677277', '25.263149', '-79.18', '70.13', '-23.45', '28.24', '30.90', '1003.38', '3249']
['119.53', '54.677277', '25.263149', '-79.18', '70.13', '-23.45', '28.24', '30.90', '1003.38', '3249']
['119.53', '54.677277', '25.263149', '-79.18', '70.13', '-23.45', '28.24', '30.90', '1003.38', '3249']
['119.53', '54.677277', '25.263149', '-79.18', '70.13', '-23.45', '28.24', '30.90', '1003.38', '3249']
['119.53', '54.677277', '25.263149', '-79.18', '70.13', '-23.45', '28.24', '30.90', '1003.38', '3249']
['119.53', '54.677277', '25.263149', '-79.18', '70.13', '-23.45', '28.24', '30.90', '1003.38', '3249']
['119.53', '54.677277', '25.263149', '-79.18', '70.13', '-23.45', '28.24', '30.90', '1003.38', '3249']
['119.53', '54.677277', '25.263149', '-79.18', '70.13', '-23.45', '28.24', '30.90', '1003.38', '3249']
['119.53', '54.677277', '25.263149', '-79.18', '70.13', '-23.45', '28.24', '30.90', '1003.38', '3249']
['119.53', '54.677277', '25.263149', '-79.18', '70.13', '-23.45', '28.24', '30.90', '1003.38', '3249']
['119.53', '54.677277', '25.263149', '-79.18', '70.13', '-23.45', '28.24', '30.90', '1003.38', '3249']
['119.53', '54.677277', '25.263149', '-79.18', '70.13', '-23.45', '28.20', '30.82', '1003.36', '3250']
['119.53', '54.677277', '25.263149', '-79.18', '70.13', '-23.45', '28.20', '30.82', '1003.36', '3250']
['119.53', '54.677277', '25.263149', '-79.18', '70.13', '-23.45', '28.20', '30.82', '1003.36', '3250']
['119.53', '54.677277', '25.263149', '-79.18', '70.13', '-23.45', '28.20', '30.82', '1003.36', '3250']
['119.53', '54.677277', '25.263149', '-79.18', '70.13', '-23.45', '28.20', '30.82', '1003.36', '3250']
['119.53', '54.677277', '25.263149', '-79.18', '70.13', '-23.45', '28.20', '30.82', '1003.36', '3250']
['119.53', '54.677277', '25.263149', '-79.18', '70.13', '-23.45', '28.20', '30.82', '1003.36', '3250']
['119.53', '54.677277', '25.263149', '-79.18', '70.13', '-23.45', '28.20', '30.82', '1003.36', '3250']
['119.53', '54.677277', '25.263149', '-79.18', '70.13', '-23.45', '28.20', '30.82', '1003.36', '3250']
['119.53', '54.677277', '25.263149', '-79.18', '70.13', '-23.45', '28.20', '30.82', '1003.36', '3250']
['119.53', '54.677277', '25.263149', '-79.18', '70.13', '-23.45', '28.20', '30.82', '1003.36', '3250']
['119.53', '54.677277', '25.263149', '-79.18', '70.13', '-23.45', '28.20', '30.82', '1003.36', '3250']
['119.53', '54.677277', '25.263149', '-79.18', '70.13', '-23.45', '28.20', '30.82', '1003.36', '3250']
['119.53', '54.677277', '25.263149', '-79.18', '70.13', '-23.45', '28.20', '30.82', '1003.36', '3250']
['119.53', '54.677277', '25.263149', '-79.18', '70.13', '-23.45', '28.20', '30.82', '1003.36', '3250']
['119.53', '54.677273', '25.263151', '-79.18', '70.13', '-23.45', '28.20', '30.82', '1003.36', '3251']
['119.53', '54.677273', '25.263151', '-79.18', '70.13', '-23.45', '28.20', '30.82', '1003.36', '3251']
['119.53', '54.677273', '25.263151', '-79.18', '70.13', '-23.45', '28.20', '30.82', '1003.36', '3251']
['119.53', '54.677273', '25.263151', '-79.18', '70.13', '-23.45', '28.20', '30.82', '1003.36', '3251']
['119.53', '54.677273', '25.263151', '-79.18', '70.13', '-23.45', '28.20', '30.82', '1003.36', '3251']
['119.53', '54.677273', '25.263151', '-79.18', '70.13', '-23.45', '28.20', '30.82', '1003.36', '3251']
['119.53', '54.677273', '25.263151', '-79.18', '70.13', '-23.45', '28.20', '30.82', '1003.36', '3251']
['119.53', '54.677273', '25.263151', '-79.18', '70.13', '-23.45', '28.20', '30.82', '1003.36', '3251']
['119.53', '54.677273', '25.263151', '-79.18', '70.13', '-23.45', '28.20', '30.82', '1003.36', '3251']
