['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2394']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2394']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2394']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2394']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2394']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2394']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2395']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2395']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2395']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2395']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2395']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2395']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2395']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2395']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2395']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2395']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2395']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2395']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2395']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2395']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2395']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2395']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2395']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2395']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2395']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2395']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2395']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2395']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2395']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2395']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.73', '2397']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.73', '2397']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.73', '2397']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.73', '2397']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.73', '2397']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.73', '2397']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.73', '2397']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.73', '2397']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.73', '2397']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.73', '2397']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.73', '2397']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.73', '2397']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.73', '2398']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.73', '2398']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.73', '2398']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.73', '2398']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.73', '2398']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.73', '2398']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.73', '2398']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.73', '2398']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.73', '2398']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.73', '2398']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.73', '2398']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.73', '2398']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.73', '2398']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2399']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2399']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2399']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2399']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2399']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2399']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2399']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2399']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2399']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2399']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2399']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2399']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2399']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2400']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2400']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2400']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2400']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2400']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2400']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2400']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2400']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2400']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2400']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2400']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2400']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2401']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2401']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2401']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2401']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2401']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2401']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2401']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2401']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2401']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2401']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2401']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.68', '28.31', '1003.63', '136.30', '2401']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.70', '2402']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.70', '2402']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.70', '2402']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.70', '2402']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.70', '2402']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.70', '2402']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.70', '2402']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.70', '2402']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.70', '2402']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.70', '2402']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.70', '2402']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.70', '2402']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.70', '2402']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.70', '2403']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.70', '2403']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.70', '2403']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.70', '2403']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.70', '2403']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.70', '2403']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.70', '2403']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.70', '2403']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.70', '2403']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.70', '2403']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.70', '2403']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.70', '2403']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.70', '2403']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.28', '1003.58', '136.70', '2403']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2404']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2404']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2404']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2404']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2404']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2404']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2404']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2404']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2404']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2404']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2404']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2404']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2404']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2405']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2405']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2405']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2405']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2405']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2405']
