['0.00', '0.000000', '0.000000', '46.66', '57.04', '93.42', '21.86', '42.92', '997.38', '6']
['0.00', '0.000000', '0.000000', '46.66', '57.04', '93.42', '21.86', '42.92', '997.38', '6']
['0.00', '0.000000', '0.000000', '46.66', '57.04', '93.42', '21.86', '42.92', '997.38', '6']
['0.00', '0.000000', '0.000000', '46.66', '57.04', '93.42', '21.86', '42.92', '997.38', '6']
['0.00', '0.000000', '0.000000', '46.68', '57.05', '93.40', '21.86', '42.47', '997.38', '7']
['0.00', '0.000000', '0.000000', '46.68', '57.05', '93.40', '21.86', '42.47', '997.38', '7']
['0.00', '0.000000', '0.000000', '46.68', '57.05', '93.40', '21.86', '42.47', '997.38', '7']
['0.00', '0.000000', '0.000000', '46.68', '57.05', '93.40', '21.86', '42.47', '997.38', '8']
['0.00', '0.000000', '0.000000', '46.68', '57.05', '93.40', '21.86', '42.47', '997.38', '8']
['0.00', '0.000000', '0.000000', '46.68', '57.05', '93.40', '21.86', '42.47', '997.38', '8']
['0.00', '0.000000', '0.000000', '46.68', '57.05', '93.40', '21.86', '42.47', '997.38', '9']
['0.00', '0.000000', '0.000000', '46.68', '57.05', '93.40', '21.86', '42.47', '997.38', '9']
['0.00', '0.000000', '0.000000', '46.68', '57.05', '93.40', '21.86', '42.47', '997.38', '9']
['0.00', '0.000000', '0.000000', '46.67', '57.08', '93.41', '21.91', '42.33', '997.46', '10']
['0.00', '0.000000', '0.000000', '46.67', '57.08', '93.41', '21.91', '42.33', '997.46', '10']
['0.00', '0.000000', '0.000000', '46.67', '57.08', '93.41', '21.91', '42.33', '997.46', '10']
['0.00', '0.000000', '0.000000', '46.67', '57.08', '93.41', '21.91', '42.33', '997.46', '11']
['0.00', '0.000000', '0.000000', '46.67', '57.08', '93.41', '21.91', '42.33', '997.46', '11']
['0.00', '0.000000', '0.000000', '46.67', '57.08', '93.41', '21.91', '42.33', '997.46', '11']
['0.00', '0.000000', '0.000000', '46.67', '57.08', '93.41', '21.91', '42.33', '997.46', '11']
['0.00', '0.000000', '0.000000', '46.67', '57.08', '93.41', '21.91', '42.33', '997.46', '12']
['0.00', '0.000000', '0.000000', '46.67', '57.08', '93.41', '21.91', '42.33', '997.46', '12']
['0.00', '0.000000', '0.000000', '46.67', '57.08', '93.41', '21.91', '42.33', '997.46', '12']
['0.00', '0.000000', '0.000000', '46.69', '57.02', '93.39', '21.91', '42.18', '997.45', '13']
['0.00', '0.000000', '0.000000', '46.69', '57.02', '93.39', '21.91', '42.18', '997.45', '13']
['0.00', '0.000000', '0.000000', '46.69', '57.02', '93.39', '21.91', '42.18', '997.45', '13']
['0.00', '0.000000', '0.000000', '46.69', '57.02', '93.39', '21.91', '42.18', '997.45', '14']
['0.00', '0.000000', '0.000000', '46.69', '57.02', '93.39', '21.91', '42.18', '997.45', '14']
['0.00', '0.000000', '0.000000', '46.69', '57.02', '93.39', '21.91', '42.18', '997.45', '14']
['0.00', '0.000000', '0.000000', '46.59', '57.07', '93.37', '21.56', '42.05', '996.94', '15']
['0.00', '0.000000', '0.000000', '46.59', '57.07', '93.37', '21.56', '42.05', '996.94', '15']
['0.00', '0.000000', '0.000000', '46.59', '57.07', '93.37', '21.56', '42.05', '996.94', '15']
['0.00', '0.000000', '0.000000', '46.59', '57.07', '93.37', '21.56', '42.05', '996.94', '16']
['0.00', '0.000000', '0.000000', '46.59', '57.07', '93.37', '21.56', '42.05', '996.94', '16']
['0.00', '0.000000', '0.000000', '46.59', '57.07', '93.37', '21.56', '42.05', '996.94', '16']
['0.00', '0.000000', '0.000000', '46.59', '57.07', '93.37', '21.56', '42.05', '996.94', '16']
['0.00', '0.000000', '0.000000', '46.59', '57.07', '93.37', '21.56', '42.05', '996.94', '17']
