['0.00', '0.000000', '0.000000', '62.31', '42.61', '90.13', '28.19', '27.24', '999.94', '17162']
['0.00', '0.000000', '0.000000', '62.31', '42.61', '90.13', '28.19', '27.24', '999.94', '17162']
['0.00', '0.000000', '0.000000', '62.31', '42.61', '90.13', '28.19', '27.24', '999.94', '17162']
['0.00', '0.000000', '0.000000', '62.31', '42.61', '90.13', '28.19', '27.24', '999.94', '17162']
['0.00', '0.000000', '0.000000', '62.31', '42.61', '90.13', '28.19', '27.24', '999.94', '17162']
['0.00', '0.000000', '0.000000', '62.31', '42.61', '90.13', '28.19', '27.24', '999.94', '17162']
['0.00', '0.000000', '0.000000', '62.31', '42.61', '90.13', '28.19', '27.24', '999.94', '17162']
['0.00', '0.000000', '0.000000', '62.31', '42.61', '90.13', '28.19', '27.24', '999.94', '17162']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17163']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17163']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17163']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17163']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17163']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17163']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17163']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17163']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17163']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17163']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17163']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17163']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17163']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17163']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17163']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17164']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17164']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17164']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17164']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17164']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17164']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17164']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17164']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17164']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17164']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17164']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17164']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17164']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17164']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17165']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17165']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17165']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17165']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17165']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17165']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17165']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17165']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17165']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17165']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17165']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17165']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17165']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17165']
['0.00', '0.000000', '0.000000', '62.32', '42.77', '90.14', '28.16', '27.17', '999.89', '17165']
