['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '26.79', '32.10', '1004.27', '130.94', '38259']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '27.07', '32.01', '1004.66', '124.14', '38433']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '27.07', '32.01', '1004.66', '124.14', '38433']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '27.41', '32.18', '1005.18', '123.32', '38435']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '27.41', '32.18', '1005.18', '123.32', '38435']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '27.41', '32.18', '1005.18', '123.32', '38435']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '27.41', '32.18', '1005.18', '123.32', '38435']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '27.41', '32.18', '1005.18', '123.32', '38435']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '27.41', '32.18', '1005.18', '123.32', '38435']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '27.41', '32.18', '1005.18', '123.32', '38435']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '27.41', '32.18', '1005.18', '123.32', '38435']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '27.41', '32.18', '1005.18', '123.32', '38435']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '27.41', '32.18', '1005.18', '123.32', '38435']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '27.41', '32.18', '1005.18', '123.32', '38435']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '27.41', '32.18', '1005.18', '123.32', '38435']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '27.41', '32.18', '1005.18', '123.32', '38435']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '27.41', '32.18', '1005.18', '123.32', '38436']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '27.41', '32.18', '1005.18', '123.32', '38436']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '27.41', '32.18', '1005.18', '123.32', '38436']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '27.41', '32.18', '1005.18', '123.32', '38436']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '27.41', '32.18', '1005.18', '123.32', '38436']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '27.41', '32.18', '1005.18', '123.32', '38436']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '27.41', '32.18', '1005.18', '123.32', '38436']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '27.41', '32.18', '1005.18', '123.32', '38436']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '27.41', '32.18', '1005.18', '123.32', '38436']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '27.41', '32.18', '1005.18', '123.32', '38436']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '27.41', '32.18', '1005.18', '123.32', '38436']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '26.81', '32.18', '1004.27', '130.95', '38437']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '26.81', '32.18', '1004.27', '130.95', '38437']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '26.81', '32.18', '1004.27', '130.95', '38437']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '26.81', '32.18', '1004.27', '130.95', '38437']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '26.81', '32.18', '1004.27', '130.95', '38437']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '26.81', '32.18', '1004.27', '130.95', '38437']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '26.81', '32.18', '1004.27', '130.95', '38437']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '26.81', '32.18', '1004.27', '130.95', '38437']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '26.81', '32.18', '1004.27', '130.95', '38437']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '26.81', '32.18', '1004.27', '130.95', '38437']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '26.81', '32.18', '1004.27', '130.95', '38437']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '26.81', '32.18', '1004.27', '130.95', '38437']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '26.81', '32.18', '1004.27', '130.95', '38438']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '26.81', '32.18', '1004.27', '130.95', '38438']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '26.81', '32.18', '1004.27', '130.95', '38438']
['0.00', '54.678902', '25.263592', '21.81', '72.10', '64.59', '26.81', '32.18', '1004.27', '130.95', '38438']
