['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.08', '1005.25', '122.73', '39674']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.08', '1005.25', '122.73', '39675']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.08', '1005.25', '122.73', '39675']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.08', '1005.25', '122.73', '39675']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.08', '1005.25', '122.73', '39675']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.08', '1005.25', '122.73', '39675']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.08', '1005.25', '122.73', '39675']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.08', '1005.25', '122.73', '39675']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.08', '1005.25', '122.73', '39675']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.08', '1005.25', '122.73', '39675']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.08', '1005.25', '122.73', '39675']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.08', '1005.25', '122.73', '39675']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.08', '1005.25', '122.73', '39675']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.08', '1005.25', '122.73', '39675']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.08', '1005.25', '122.73', '39675']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.08', '1005.25', '122.73', '39675']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.08', '1005.25', '122.73', '39675']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.08', '1005.25', '122.73', '39675']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.08', '1005.25', '122.73', '39675']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.08', '1005.25', '122.73', '39675']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39676']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39676']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39676']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39676']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39676']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39676']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39676']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39676']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39676']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39676']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39676']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39676']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39676']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39676']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39677']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39677']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39677']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39677']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39677']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39677']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39677']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39677']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39677']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39677']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39677']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39677']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39677']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39677']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39677']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39678']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39678']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39678']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39678']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39678']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39678']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39678']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39678']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39678']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39678']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39678']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39678']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39678']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39678']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.14', '32.00', '1004.81', '123.50', '39678']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.07', '1005.25', '122.70', '39679']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.07', '1005.25', '122.70', '39679']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.07', '1005.25', '122.70', '39679']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.07', '1005.25', '122.70', '39679']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.07', '1005.25', '122.70', '39679']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.07', '1005.25', '122.70', '39679']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.07', '1005.25', '122.70', '39679']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.07', '1005.25', '122.70', '39679']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.07', '1005.25', '122.70', '39679']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.07', '1005.25', '122.70', '39679']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.07', '1005.25', '122.70', '39679']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.07', '1005.25', '122.70', '39679']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.07', '1005.25', '122.70', '39679']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.07', '1005.25', '122.70', '39679']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.07', '1005.25', '122.70', '39679']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.07', '1005.25', '122.70', '39680']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.07', '1005.25', '122.70', '39680']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.07', '1005.25', '122.70', '39680']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.07', '1005.25', '122.70', '39680']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.07', '1005.25', '122.70', '39680']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.07', '1005.25', '122.70', '39680']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.07', '1005.25', '122.70', '39680']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.07', '1005.25', '122.70', '39680']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.07', '1005.25', '122.70', '39680']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.07', '1005.25', '122.70', '39680']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.07', '1005.25', '122.70', '39680']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.07', '1005.25', '122.70', '39680']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.07', '1005.25', '122.70', '39680']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.07', '1005.25', '122.70', '39680']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.07', '1005.25', '122.70', '39680']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '27.47', '32.07', '1005.25', '122.70', '39680']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '26.93', '32.08', '1004.42', '129.66', '39681']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '26.93', '32.08', '1004.42', '129.66', '39681']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '26.93', '32.08', '1004.42', '129.66', '39681']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '26.93', '32.08', '1004.42', '129.66', '39681']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '26.93', '32.08', '1004.42', '129.66', '39681']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '26.93', '32.08', '1004.42', '129.66', '39681']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '26.93', '32.08', '1004.42', '129.66', '39681']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '26.93', '32.08', '1004.42', '129.66', '39681']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '26.93', '32.08', '1004.42', '129.66', '39681']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '26.93', '32.08', '1004.42', '129.66', '39681']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '26.93', '32.08', '1004.42', '129.66', '39681']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '26.93', '32.08', '1004.42', '129.66', '39681']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '26.93', '32.08', '1004.42', '129.66', '39681']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '26.93', '32.08', '1004.42', '129.66', '39681']
['0.00', '54.678902', '25.263592', '21.75', '72.09', '64.63', '26.93', '32.08', '1004.42', '129.66', '39682']
