['0.00', '0.000000', '0.000000', '-28.43', '7.39', '3.33', '26.24', '38.21', '993.87', '1701']
['0.00', '0.000000', '0.000000', '-28.43', '7.39', '3.33', '26.24', '38.21', '993.87', '1701']
['0.00', '0.000000', '0.000000', '-28.43', '7.39', '3.33', '26.24', '38.21', '993.87', '1701']
['0.00', '0.000000', '0.000000', '-28.43', '7.39', '3.33', '26.24', '38.21', '993.87', '1702']
['0.00', '0.000000', '0.000000', '-28.43', '7.39', '3.33', '26.24', '38.21', '993.87', '1702']
['0.00', '0.000000', '0.000000', '-28.43', '7.39', '3.33', '26.24', '38.21', '993.87', '1702']
['0.00', '0.000000', '0.000000', '-28.46', '7.38', '3.48', '26.25', '38.18', '993.89', '1703']
['0.00', '0.000000', '0.000000', '-28.46', '7.38', '3.48', '26.25', '38.18', '993.89', '1703']
['0.00', '0.000000', '0.000000', '-28.46', '7.38', '3.48', '26.25', '38.18', '993.89', '1703']
['0.00', '0.000000', '0.000000', '-28.46', '7.38', '3.48', '26.25', '38.18', '993.89', '1704']
['0.00', '0.000000', '0.000000', '-28.46', '7.38', '3.48', '26.25', '38.18', '993.89', '1704']
['0.00', '0.000000', '0.000000', '-28.46', '7.38', '3.48', '26.25', '38.18', '993.89', '1704']
['0.00', '0.000000', '0.000000', '-28.46', '7.38', '3.48', '26.25', '38.18', '993.89', '1705']
['0.00', '0.000000', '0.000000', '-28.46', '7.38', '3.48', '26.25', '38.18', '993.89', '1705']
['0.00', '0.000000', '0.000000', '-28.46', '7.38', '3.48', '26.25', '38.18', '993.89', '1705']
['0.00', '0.000000', '0.000000', '-28.53', '7.43', '3.57', '26.26', '38.12', '993.95', '1706']
['0.00', '0.000000', '0.000000', '-28.53', '7.43', '3.57', '26.26', '38.12', '993.95', '1706']
['0.00', '0.000000', '0.000000', '-28.53', '7.43', '3.57', '26.26', '38.12', '993.95', '1706']
['0.00', '0.000000', '0.000000', '-28.53', '7.43', '3.57', '26.26', '38.12', '993.95', '1706']
['0.00', '0.000000', '0.000000', '-28.53', '7.43', '3.57', '26.26', '38.12', '993.95', '1707']
['0.00', '0.000000', '0.000000', '-28.53', '7.43', '3.57', '26.26', '38.12', '993.95', '1707']
['0.00', '0.000000', '0.000000', '-28.53', '7.43', '3.57', '26.26', '38.12', '993.95', '1707']
['0.00', '0.000000', '0.000000', '-28.30', '7.23', '9.67', '26.25', '38.07', '993.88', '1708']
['0.00', '0.000000', '0.000000', '-28.30', '7.23', '9.67', '26.25', '38.07', '993.88', '1708']
['0.00', '0.000000', '0.000000', '-28.30', '7.23', '9.67', '26.25', '38.07', '993.88', '1708']
['0.00', '0.000000', '0.000000', '-28.30', '7.23', '9.67', '26.25', '38.07', '993.88', '1709']
['0.00', '0.000000', '0.000000', '-28.30', '7.23', '9.67', '26.25', '38.07', '993.88', '1709']
['0.00', '0.000000', '0.000000', '-28.30', '7.23', '9.67', '26.25', '38.07', '993.88', '1709']
['0.00', '0.000000', '0.000000', '-28.30', '7.23', '9.67', '26.25', '38.07', '993.88', '1710']
['0.00', '0.000000', '0.000000', '-28.30', '7.23', '9.67', '26.25', '38.07', '993.88', '1710']
['0.00', '0.000000', '0.000000', '-28.30', '7.23', '9.67', '26.25', '38.07', '993.88', '1710']
['0.00', '0.000000', '0.000000', '-28.30', '7.23', '9.67', '26.25', '38.07', '993.88', '1710']
['0.00', '0.000000', '0.000000', '-0.94', '8.83', '9.46', '26.29', '38.09', '993.93', '1711']
['0.00', '0.000000', '0.000000', '-0.94', '8.83', '9.46', '26.29', '38.09', '993.93', '1711']
['0.00', '0.000000', '0.000000', '-0.94', '8.83', '9.46', '26.29', '38.09', '993.93', '1711']
['0.00', '0.000000', '0.000000', '-0.94', '8.83', '9.46', '26.29', '38.09', '993.93', '1712']
['0.00', '0.000000', '0.000000', '-0.94', '8.83', '9.46', '26.29', '38.09', '993.93', '1712']
['0.00', '0.000000', '0.000000', '-0.94', '8.83', '9.46', '26.29', '38.09', '993.93', '1712']
['0.00', '0.000000', '0.000000', '-0.94', '8.83', '9.46', '26.29', '38.09', '993.93', '1713']
['0.00', '0.000000', '0.000000', '-0.94', '8.83', '9.46', '26.29', '38.09', '993.93', '1713']
['0.00', '0.000000', '0.000000', '-0.94', '8.83', '9.46', '26.29', '38.09', '993.93', '1713']
['0.00', '0.000000', '0.000000', '12.66', '4.85', '9.62', '26.29', '38.02', '993.92', '1714']
['0.00', '0.000000', '0.000000', '12.66', '4.85', '9.62', '26.29', '38.02', '993.92', '1714']
['0.00', '0.000000', '0.000000', '12.66', '4.85', '9.62', '26.29', '38.02', '993.92', '1714']
['0.00', '0.000000', '0.000000', '12.66', '4.85', '9.62', '26.29', '38.02', '993.92', '1715']
['0.00', '0.000000', '0.000000', '12.66', '4.85', '9.62', '26.29', '38.02', '993.92', '1715']
['0.00', '0.000000', '0.000000', '12.66', '4.85', '9.62', '26.29', '38.02', '993.92', '1715']
['0.00', '0.000000', '0.000000', '12.66', '4.85', '9.62', '26.29', '38.02', '993.92', '1715']
['0.00', '0.000000', '0.000000', '13.71', '5.12', '9.79', '26.22', '38.02', '993.86', '1716']
['0.00', '0.000000', '0.000000', '13.71', '5.12', '9.79', '26.22', '38.02', '993.86', '1716']
['0.00', '0.000000', '0.000000', '13.71', '5.12', '9.79', '26.22', '38.02', '993.86', '1716']
['0.00', '0.000000', '0.000000', '13.71', '5.12', '9.79', '26.22', '38.02', '993.86', '1717']
['0.00', '0.000000', '0.000000', '13.71', '5.12', '9.79', '26.22', '38.02', '993.86', '1717']
['0.00', '0.000000', '0.000000', '13.71', '5.12', '9.79', '26.22', '38.02', '993.86', '1717']
['0.00', '0.000000', '0.000000', '13.71', '5.12', '9.79', '26.22', '38.02', '993.86', '1718']
['0.00', '0.000000', '0.000000', '13.71', '5.12', '9.79', '26.22', '38.02', '993.86', '1718']
['0.00', '0.000000', '0.000000', '13.71', '5.12', '9.79', '26.22', '38.02', '993.86', '1718']
['0.00', '0.000000', '0.000000', '13.27', '5.01', '9.22', '26.29', '37.99', '993.95', '1719']
['0.00', '0.000000', '0.000000', '13.27', '5.01', '9.22', '26.29', '37.99', '993.95', '1719']
['0.00', '0.000000', '0.000000', '13.27', '5.01', '9.22', '26.29', '37.99', '993.95', '1719']
['0.00', '0.000000', '0.000000', '13.27', '5.01', '9.22', '26.29', '37.99', '993.95', '1720']
['0.00', '0.000000', '0.000000', '13.27', '5.01', '9.22', '26.29', '37.99', '993.95', '1720']
['0.00', '0.000000', '0.000000', '13.27', '5.01', '9.22', '26.29', '37.99', '993.95', '1720']
['0.00', '0.000000', '0.000000', '13.27', '5.01', '9.22', '26.29', '37.99', '993.95', '1720']
['0.00', '0.000000', '0.000000', '10.20', '5.10', '9.58', '26.26', '38.05', '993.86', '1721']
['0.00', '0.000000', '0.000000', '10.20', '5.10', '9.58', '26.26', '38.05', '993.86', '1721']
['0.00', '0.000000', '0.000000', '10.20', '5.10', '9.58', '26.26', '38.05', '993.86', '1721']
['0.00', '0.000000', '0.000000', '10.20', '5.10', '9.58', '26.26', '38.05', '993.86', '1722']
['0.00', '0.000000', '0.000000', '10.20', '5.10', '9.58', '26.26', '38.05', '993.86', '1722']
['0.00', '0.000000', '0.000000', '10.20', '5.10', '9.58', '26.26', '38.05', '993.86', '1722']
['0.00', '0.000000', '0.000000', '10.20', '5.10', '9.58', '26.26', '38.05', '993.86', '1723']
['0.00', '0.000000', '0.000000', '10.20', '5.10', '9.58', '26.26', '38.05', '993.86', '1723']
['0.00', '0.000000', '0.000000', '10.20', '5.10', '9.58', '26.26', '38.05', '993.86', '1723']
['0.00', '0.000000', '0.000000', '1.43', '8.16', '8.66', '26.26', '38.03', '993.84', '1724']
['0.00', '0.000000', '0.000000', '1.43', '8.16', '8.66', '26.26', '38.03', '993.84', '1724']
['0.00', '0.000000', '0.000000', '1.43', '8.16', '8.66', '26.26', '38.03', '993.84', '1724']
['0.00', '0.000000', '0.000000', '1.43', '8.16', '8.66', '26.26', '38.03', '993.84', '1724']
['0.00', '0.000000', '0.000000', '1.43', '8.16', '8.66', '26.26', '38.03', '993.84', '1725']
['0.00', '0.000000', '0.000000', '1.43', '8.16', '8.66', '26.26', '38.03', '993.84', '1725']
['0.00', '0.000000', '0.000000', '1.43', '8.16', '8.66', '26.26', '38.03', '993.84', '1725']
['0.00', '0.000000', '0.000000', '1.43', '8.16', '8.66', '26.26', '38.03', '993.84', '1726']
['0.00', '0.000000', '0.000000', '1.43', '8.16', '8.66', '26.26', '38.03', '993.84', '1726']
['0.00', '0.000000', '0.000000', '1.43', '8.16', '8.66', '26.26', '38.03', '993.84', '1726']
['0.00', '0.000000', '0.000000', '-5.26', '8.27', '8.15', '26.29', '37.93', '993.92', '1727']
['0.00', '0.000000', '0.000000', '-5.26', '8.27', '8.15', '26.29', '37.93', '993.92', '1727']
['0.00', '0.000000', '0.000000', '-5.26', '8.27', '8.15', '26.29', '37.93', '993.92', '1727']
['0.00', '0.000000', '0.000000', '-5.26', '8.27', '8.15', '26.29', '37.93', '993.92', '1728']
['0.00', '0.000000', '0.000000', '-5.26', '8.27', '8.15', '26.29', '37.93', '993.92', '1728']
['0.00', '0.000000', '0.000000', '-5.26', '8.27', '8.15', '26.29', '37.93', '993.92', '1728']
['0.00', '0.000000', '0.000000', '-7.18', '7.90', '8.17', '26.26', '37.82', '993.93', '1729']
['0.00', '0.000000', '0.000000', '-7.18', '7.90', '8.17', '26.26', '37.82', '993.93', '1729']
['0.00', '0.000000', '0.000000', '-7.18', '7.90', '8.17', '26.26', '37.82', '993.93', '1729']
['0.00', '0.000000', '0.000000', '-7.18', '7.90', '8.17', '26.26', '37.82', '993.93', '1730']
['0.00', '0.000000', '0.000000', '-7.18', '7.90', '8.17', '26.26', '37.82', '993.93', '1730']
['0.00', '0.000000', '0.000000', '-7.18', '7.90', '8.17', '26.26', '37.82', '993.93', '1730']
['0.00', '0.000000', '0.000000', '-7.18', '7.90', '8.17', '26.26', '37.82', '993.93', '1731']
['0.00', '0.000000', '0.000000', '-7.18', '7.90', '8.17', '26.26', '37.82', '993.93', '1731']
['0.00', '0.000000', '0.000000', '-7.18', '7.90', '8.17', '26.26', '37.82', '993.93', '1731']
['0.00', '0.000000', '0.000000', '-6.66', '7.60', '8.04', '26.25', '37.73', '993.92', '1732']
['0.00', '0.000000', '0.000000', '-6.66', '7.60', '8.04', '26.25', '37.73', '993.92', '1732']
['0.00', '0.000000', '0.000000', '-6.66', '7.60', '8.04', '26.25', '37.73', '993.92', '1732']
['0.00', '0.000000', '0.000000', '-6.66', '7.60', '8.04', '26.25', '37.73', '993.92', '1733']
['0.00', '0.000000', '0.000000', '-6.66', '7.60', '8.04', '26.25', '37.73', '993.92', '1733']
['0.00', '0.000000', '0.000000', '-6.66', '7.60', '8.04', '26.25', '37.73', '993.92', '1733']
['0.00', '0.000000', '0.000000', '-6.66', '7.60', '8.04', '26.25', '37.73', '993.92', '1733']
['0.00', '0.000000', '0.000000', '-6.34', '7.35', '7.90', '26.26', '37.63', '993.85', '1734']
['0.00', '0.000000', '0.000000', '-6.34', '7.35', '7.90', '26.26', '37.63', '993.85', '1734']
['0.00', '0.000000', '0.000000', '-6.34', '7.35', '7.90', '26.26', '37.63', '993.85', '1734']
['0.00', '0.000000', '0.000000', '-6.34', '7.35', '7.90', '26.26', '37.63', '993.85', '1735']
['0.00', '0.000000', '0.000000', '-6.34', '7.35', '7.90', '26.26', '37.63', '993.85', '1735']
['0.00', '0.000000', '0.000000', '-6.34', '7.35', '7.90', '26.26', '37.63', '993.85', '1735']
['0.00', '0.000000', '0.000000', '-6.34', '7.35', '7.90', '26.26', '37.63', '993.85', '1736']
['0.00', '0.000000', '0.000000', '-6.34', '7.35', '7.90', '26.26', '37.63', '993.85', '1736']
['0.00', '0.000000', '0.000000', '-6.34', '7.35', '7.90', '26.26', '37.63', '993.85', '1736']
['0.00', '0.000000', '0.000000', '-5.98', '7.11', '7.66', '26.26', '37.58', '993.86', '1737']
['0.00', '0.000000', '0.000000', '-5.98', '7.11', '7.66', '26.26', '37.58', '993.86', '1737']
['0.00', '0.000000', '0.000000', '-5.98', '7.11', '7.66', '26.26', '37.58', '993.86', '1737']
['0.00', '0.000000', '0.000000', '-5.98', '7.11', '7.66', '26.26', '37.58', '993.86', '1738']
['0.00', '0.000000', '0.000000', '-5.98', '7.11', '7.66', '26.26', '37.58', '993.86', '1738']
['0.00', '0.000000', '0.000000', '-5.98', '7.11', '7.66', '26.26', '37.58', '993.86', '1738']
['0.00', '0.000000', '0.000000', '-5.98', '7.11', '7.66', '26.26', '37.58', '993.86', '1739']
['0.00', '0.000000', '0.000000', '-5.98', '7.11', '7.66', '26.26', '37.58', '993.86', '1739']
['0.00', '0.000000', '0.000000', '-5.98', '7.11', '7.66', '26.26', '37.58', '993.86', '1739']
['0.00', '0.000000', '0.000000', '-5.51', '6.96', '7.70', '26.30', '37.57', '993.91', '1740']
['0.00', '0.000000', '0.000000', '-5.51', '6.96', '7.70', '26.30', '37.57', '993.91', '1740']
['0.00', '0.000000', '0.000000', '-5.51', '6.96', '7.70', '26.30', '37.57', '993.91', '1740']
['0.00', '0.000000', '0.000000', '-5.51', '6.96', '7.70', '26.30', '37.57', '993.91', '1741']
['0.00', '0.000000', '0.000000', '-5.51', '6.96', '7.70', '26.30', '37.57', '993.91', '1741']
['0.00', '0.000000', '0.000000', '-5.51', '6.96', '7.70', '26.30', '37.57', '993.91', '1741']
['0.00', '0.000000', '0.000000', '-6.19', '7.92', '7.79', '26.26', '37.59', '993.89', '1742']
['0.00', '0.000000', '0.000000', '-6.19', '7.92', '7.79', '26.26', '37.59', '993.89', '1742']
['0.00', '0.000000', '0.000000', '-6.19', '7.92', '7.79', '26.26', '37.59', '993.89', '1742']
['0.00', '0.000000', '0.000000', '-6.19', '7.92', '7.79', '26.26', '37.59', '993.89', '1743']
['0.00', '0.000000', '0.000000', '-6.19', '7.92', '7.79', '26.26', '37.59', '993.89', '1743']
['0.00', '0.000000', '0.000000', '-6.19', '7.92', '7.79', '26.26', '37.59', '993.89', '1743']
['0.00', '0.000000', '0.000000', '-6.19', '7.92', '7.79', '26.26', '37.59', '993.89', '1744']
['0.00', '0.000000', '0.000000', '-6.19', '7.92', '7.79', '26.26', '37.59', '993.89', '1744']
['0.00', '0.000000', '0.000000', '-6.19', '7.92', '7.79', '26.26', '37.59', '993.89', '1744']
['0.00', '0.000000', '0.000000', '-7.94', '8.03', '6.44', '26.23', '37.60', '993.86', '1745']
