['0.00', '54.678638', '25.263216', '64.52', '73.32', '88.66', '27.91', '28.66', '998.52', '7330']
['0.00', '54.678638', '25.263216', '64.52', '73.32', '88.66', '27.91', '28.66', '998.52', '7330']
['0.00', '54.678638', '25.263216', '64.52', '73.32', '88.66', '27.91', '28.66', '998.52', '7330']
['0.00', '54.678638', '25.263216', '64.52', '73.32', '88.66', '27.91', '28.66', '998.52', '7331']
['0.00', '54.678638', '25.263216', '64.52', '73.32', '88.66', '27.91', '28.66', '998.52', '7331']
['0.00', '54.678638', '25.263216', '64.52', '73.32', '88.66', '27.91', '28.66', '998.52', '7331']
['0.00', '54.678638', '25.263216', '64.52', '73.32', '88.66', '27.91', '28.66', '998.52', '7331']
['0.00', '54.678638', '25.263216', '64.52', '73.32', '88.66', '27.91', '28.66', '998.52', '7331']
['0.00', '54.678638', '25.263216', '64.52', '73.32', '88.66', '27.91', '28.66', '998.52', '7331']
['0.00', '54.678638', '25.263216', '64.52', '73.32', '88.66', '27.91', '28.66', '998.52', '7331']
['0.00', '54.678638', '25.263216', '64.52', '73.32', '88.66', '27.91', '28.66', '998.52', '7331']
['0.00', '54.678638', '25.263216', '64.52', '73.32', '88.66', '27.91', '28.66', '998.52', '7331']
['0.00', '54.678638', '25.263216', '64.52', '73.32', '88.66', '27.91', '28.66', '998.52', '7331']
['0.00', '54.678638', '25.263216', '64.52', '73.32', '88.66', '27.91', '28.66', '998.52', '7331']
['0.00', '54.678638', '25.263216', '64.52', '73.32', '88.66', '27.91', '28.66', '998.52', '7331']
['0.00', '54.678638', '25.263216', '64.52', '73.32', '88.66', '27.91', '28.66', '998.52', '7331']
['0.00', '54.678638', '25.263216', '64.52', '73.32', '88.66', '27.91', '28.66', '998.52', '7331']
['0.00', '54.678638', '25.263216', '64.52', '73.32', '88.66', '27.91', '28.66', '998.52', '7331']
['0.00', '54.678638', '25.263216', '64.52', '73.32', '88.66', '27.91', '28.66', '998.52', '7331']
['0.00', '54.678638', '25.263216', '64.37', '73.76', '88.46', '27.91', '28.64', '998.49', '7332']
['0.00', '54.678638', '25.263216', '64.37', '73.76', '88.46', '27.91', '28.64', '998.49', '7332']
['0.00', '54.678638', '25.263216', '64.37', '73.76', '88.46', '27.91', '28.64', '998.49', '7332']
['0.00', '54.678638', '25.263216', '64.37', '73.76', '88.46', '27.91', '28.64', '998.49', '7332']
['0.00', '54.678638', '25.263216', '64.37', '73.76', '88.46', '27.91', '28.64', '998.49', '7332']
['0.00', '54.678638', '25.263216', '64.37', '73.76', '88.46', '27.91', '28.64', '998.49', '7332']
['0.00', '54.678638', '25.263216', '64.37', '73.76', '88.46', '27.91', '28.64', '998.49', '7332']
['0.00', '54.678638', '25.263216', '64.37', '73.76', '88.46', '27.91', '28.64', '998.49', '7332']
['0.00', '54.678638', '25.263216', '64.37', '73.76', '88.46', '27.91', '28.64', '998.49', '7332']
['0.00', '54.678638', '25.263216', '64.37', '73.76', '88.46', '27.91', '28.64', '998.49', '7332']
['0.00', '54.678638', '25.263216', '64.37', '73.76', '88.46', '27.91', '28.64', '998.49', '7332']
['0.00', '54.678638', '25.263216', '64.37', '73.76', '88.46', '27.91', '28.64', '998.49', '7332']
['0.00', '54.678638', '25.263216', '64.37', '73.76', '88.46', '27.91', '28.64', '998.49', '7332']
['0.00', '54.678638', '25.263216', '64.37', '73.76', '88.46', '27.91', '28.64', '998.49', '7332']
['0.00', '54.678638', '25.263216', '64.37', '73.76', '88.46', '27.91', '28.64', '998.49', '7333']
['0.00', '54.678638', '25.263216', '64.37', '73.76', '88.46', '27.91', '28.64', '998.49', '7333']
['0.00', '54.678638', '25.263216', '64.37', '73.76', '88.46', '27.91', '28.64', '998.49', '7333']
['0.00', '54.678638', '25.263216', '64.37', '73.76', '88.46', '27.91', '28.64', '998.49', '7333']
['0.00', '54.678638', '25.263216', '64.37', '73.76', '88.46', '27.91', '28.64', '998.49', '7333']
['0.00', '54.678638', '25.263216', '64.37', '73.76', '88.46', '27.91', '28.64', '998.49', '7333']
['0.00', '54.678638', '25.263216', '64.37', '73.76', '88.46', '27.91', '28.64', '998.49', '7333']
['0.00', '54.678638', '25.263216', '64.37', '73.76', '88.46', '27.91', '28.64', '998.49', '7333']
['0.00', '54.678638', '25.263216', '64.37', '73.76', '88.46', '27.91', '28.64', '998.49', '7333']
['0.00', '54.678638', '25.263216', '64.37', '73.76', '88.46', '27.91', '28.64', '998.49', '7333']
['0.00', '54.678638', '25.263216', '64.37', '73.76', '88.46', '27.91', '28.64', '998.49', '7333']
['0.00', '54.678638', '25.263216', '64.37', '73.76', '88.46', '27.91', '28.64', '998.49', '7333']
