['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13354']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13354']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13354']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13354']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13354']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13354']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13354']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13354']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13354']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13354']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13354']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13354']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13355']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13355']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13355']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13355']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13355']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13355']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13355']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13355']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13355']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13355']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13355']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13355']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13355']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13355']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13356']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13356']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13356']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13356']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13356']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13356']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13356']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13356']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13356']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13356']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13356']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13356']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13356']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13356']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.50', '28.04', '999.86', '13356']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.47', '28.09', '999.81', '13357']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.47', '28.09', '999.81', '13357']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.47', '28.09', '999.81', '13357']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.47', '28.09', '999.81', '13357']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.47', '28.09', '999.81', '13357']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.47', '28.09', '999.81', '13357']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.47', '28.09', '999.81', '13357']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.47', '28.09', '999.81', '13357']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.47', '28.09', '999.81', '13357']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.47', '28.09', '999.81', '13357']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.47', '28.09', '999.81', '13357']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.47', '28.09', '999.81', '13357']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.47', '28.09', '999.81', '13357']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.47', '28.09', '999.81', '13357']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.47', '28.09', '999.81', '13358']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.47', '28.09', '999.81', '13358']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.47', '28.09', '999.81', '13358']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.47', '28.09', '999.81', '13358']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.47', '28.09', '999.81', '13358']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.47', '28.09', '999.81', '13358']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.47', '28.09', '999.81', '13358']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.47', '28.09', '999.81', '13358']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.47', '28.09', '999.81', '13358']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.47', '28.09', '999.81', '13358']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.47', '28.09', '999.81', '13358']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.47', '28.09', '999.81', '13358']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.47', '28.09', '999.81', '13358']
['0.00', '0.000000', '0.000000', '44.72', '41.19', '88.45', '27.47', '28.09', '999.81', '13358']
