['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.13', '30.46', '999.58', '2027']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.13', '30.46', '999.58', '2027']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.13', '30.46', '999.58', '2027']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.13', '30.46', '999.58', '2027']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.13', '30.46', '999.58', '2027']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.13', '30.46', '999.58', '2027']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.13', '30.46', '999.58', '2027']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.13', '30.46', '999.58', '2027']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.13', '30.46', '999.58', '2027']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.13', '30.46', '999.58', '2027']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.13', '30.46', '999.58', '2027']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.13', '30.46', '999.58', '2027']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.13', '30.46', '999.58', '2027']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.13', '30.46', '999.58', '2027']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.13', '30.46', '999.58', '2027']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.13', '30.46', '999.58', '2027']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.13', '30.46', '999.58', '2027']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.13', '30.46', '999.58', '2027']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2028']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2028']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2028']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2028']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2028']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2028']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2028']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2028']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2028']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2028']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2028']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2028']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2028']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2028']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2028']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2029']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2029']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2029']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2029']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2029']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2029']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2029']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2029']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2029']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2029']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2029']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2029']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2029']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2029']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2030']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2030']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2030']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2030']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2030']
['0.00', '0.000000', '0.000000', '-138.01', '-6.40', '-88.02', '26.11', '30.58', '999.58', '2030']
