['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.88', '27.60', '999.96', '26746']
['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.88', '27.60', '999.96', '26746']
['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.88', '27.60', '999.96', '26746']
['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.88', '27.60', '999.96', '26746']
['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.88', '27.60', '999.96', '26746']
['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.88', '27.60', '999.96', '26746']
['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.88', '27.60', '999.96', '26746']
['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.88', '27.60', '999.96', '26746']
['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.88', '27.60', '999.96', '26746']
['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.88', '27.60', '999.96', '26746']
['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.91', '27.64', '1000.01', '26747']
['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.91', '27.64', '1000.01', '26747']
['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.91', '27.64', '1000.01', '26747']
['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.91', '27.64', '1000.01', '26747']
['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.91', '27.64', '1000.01', '26747']
['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.91', '27.64', '1000.01', '26747']
['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.91', '27.64', '1000.01', '26747']
['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.91', '27.64', '1000.01', '26747']
['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.91', '27.64', '1000.01', '26747']
['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.91', '27.64', '1000.01', '26747']
['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.91', '27.64', '1000.01', '26747']
['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.91', '27.64', '1000.01', '26747']
['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.91', '27.64', '1000.01', '26747']
['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.91', '27.64', '1000.01', '26747']
['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.91', '27.64', '1000.01', '26747']
['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.91', '27.64', '1000.01', '26748']
['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.91', '27.64', '1000.01', '26748']
['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.91', '27.64', '1000.01', '26748']
['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.91', '27.64', '1000.01', '26748']
['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.91', '27.64', '1000.01', '26748']
['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.91', '27.64', '1000.01', '26748']
['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.91', '27.64', '1000.01', '26748']
['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.91', '27.64', '1000.01', '26748']
['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.91', '27.64', '1000.01', '26748']
['0.00', '0.000000', '0.000000', '51.82', '54.59', '91.50', '28.91', '27.64', '1000.01', '26748']
