['0.00', '54.678062', '25.263465', '41.31', '-16.49', '66.27', '30.22', '27.21', '996.55', '228.61', '4.55', '0.00', '0.00']
['0.00', '54.678062', '25.263465', '41.31', '-16.49', '66.27', '30.22', '27.21', '996.55', '228.61', '4.55', '0.00', '0.00']
['0.00', '54.678062', '25.263465', '41.31', '-16.49', '66.27', '30.22', '27.21', '996.55', '228.61', '4.55', '0.00', '0.00']
['0.00', '54.678062', '25.263465', '41.31', '-16.49', '66.27', '30.22', '27.21', '996.55', '228.61', '4.55', '0.00', '0.00']
['0.00', '54.678062', '25.263465', '41.31', '-16.49', '66.27', '30.22', '27.21', '996.55', '228.61', '4.55', '0.00', '0.00']
['0.00', '54.678062', '25.263465', '41.31', '-16.49', '66.27', '30.22', '27.21', '996.55', '228.61', '4.55', '0.00', '0.00']
['0.00', '54.678062', '25.263465', '41.31', '-16.49', '66.27', '30.22', '27.21', '996.55', '228.61', '4.55', '0.00', '0.00']
['0.00', '54.678062', '25.263465', '41.31', '-16.49', '66.27', '30.22', '27.21', '996.55', '228.61', '4.55', '0.00', '0.00']
['0.00', '54.678062', '25.263465', '41.31', '-16.49', '66.27', '30.22', '27.21', '996.55', '228.61', '4.55', '0.00', '0.00']
['0.00', '54.678062', '25.263465', '41.31', '-16.49', '66.27', '30.22', '27.21', '996.55', '228.61', '4.55', '0.00', '0.00']
['0.00', '54.678062', '25.263465', '41.31', '-16.49', '66.27', '30.22', '27.21', '996.55', '228.61', '4.55', '0.00', '0.00']
['0.00', '54.678062', '25.263465', '41.31', '-16.49', '66.27', '30.22', '27.21', '996.55', '228.61', '4.55', '0.00', '0.00']
['0.00', '54.678062', '25.263465', '41.31', '-16.49', '66.27', '30.22', '27.21', '996.55', '228.61', '4.55', '0.00', '0.00']
['0.00', '54.678062', '25.263465', '41.31', '-16.49', '66.27', '30.22', '27.21', '996.55', '228.61', '4.55', '0.00', '0.00']
['0.00', '54.678062', '25.263465', '41.31', '-16.49', '66.27', '30.22', '27.21', '996.55', '228.61', '4.55', '0.00', '0.00']
['0.00', '54.678062', '25.263465', '41.31', '-16.49', '66.27', '30.22', '27.21', '996.55', '228.61', '4.55', '0.00', '0.00']
['0.00', '54.678062', '25.263465', '41.31', '-16.49', '66.27', '30.22', '27.21', '996.55', '228.61', '4.55', '0.00', '0.00']
['0.00', '54.678062', '25.263465', '41.31', '-16.49', '66.27', '30.22', '27.21', '996.55', '228.61', '4.55', '0.00', '0.00']
['0.00', '54.678062', '25.263465', '41.31', '-16.49', '66.27', '30.22', '27.21', '996.55', '228.61', '4.55', '0.00', '0.00']
['0.00', '54.678062', '25.263465', '41.31', '-16.49', '66.27', '30.22', '27.21', '996.55', '228.61', '4.55', '0.00', '0.00']
['0.00', '54.678062', '25.263465', '41.31', '-16.49', '66.27', '30.22', '27.21', '996.55', '228.61', '4.55', '0.00', '0.00']
['0.00', '54.678051', '25.263473', '41.31', '-16.49', '66.27', '30.22', '27.21', '996.55', '228.61', '4.55', '0.00', '0.00']
['0.00', '54.678051', '25.263473', '41.31', '-16.49', '66.27', '30.22', '27.21', '996.55', '228.61', '4.55', '0.00', '0.00']
['0.00', '54.678051', '25.263473', '41.31', '-16.49', '66.27', '30.22', '27.21', '996.55', '228.61', '4.55', '0.00', '0.00']
['0.00', '54.678051', '25.263473', '41.31', '-16.49', '66.27', '30.22', '27.21', '996.55', '228.61', '4.55', '0.00', '0.00']
['0.00', '54.678051', '25.263473', '41.31', '-16.49', '66.27', '30.22', '27.21', '996.55', '228.61', '4.55', '0.00', '0.00']
['0.00', '54.678051', '25.263473', '41.31', '-16.49', '66.27', '30.22', '27.21', '996.55', '228.61', '4.55', '0.00', '0.00']
['0.00', '54.678051', '25.263473', '41.31', '-16.49', '66.27', '30.22', '27.21', '996.55', '228.61', '4.55', '0.00', '0.00']
['0.00', '54.678051', '25.263473', '41.31', '-16.49', '66.27', '30.22', '27.21', '996.55', '228.61', '4.55', '0.00', '0.00']
['0.00', '54.678051', '25.263473', '41.31', '-16.49', '66.27', '30.22', '27.21', '996.55', '228.61', '4.55', '0.00', '0.00']
