['903.12', '54.582176', '25.042152', '96.97', '34.46', '89.61', '32.15', '20.91', '1006.74', '109.66', '9']
['900.47', '54.582176', '25.042152', '96.97', '34.46', '89.61', '32.15', '20.91', '1006.74', '109.66', '11']
['900.47', '54.582176', '25.042152', '96.97', '34.46', '89.61', '32.15', '20.91', '1006.74', '109.66', '11']
['900.47', '54.582176', '25.042152', '96.97', '34.46', '89.61', '32.15', '20.91', '1006.74', '109.66', '11']
['900.47', '54.582176', '25.042152', '96.97', '34.46', '89.61', '32.15', '20.91', '1006.74', '109.66', '11']
['900.47', '54.582176', '25.042152', '96.97', '34.46', '89.61', '32.15', '20.91', '1006.74', '109.66', '11']
['900.47', '54.582176', '25.042152', '96.97', '34.46', '89.61', '32.15', '20.91', '1006.74', '109.66', '11']
['900.47', '54.582176', '25.042152', '96.97', '34.46', '89.61', '32.15', '20.91', '1006.74', '109.66', '11']
['900.47', '54.582176', '25.042152', '96.97', '34.46', '89.61', '32.15', '20.91', '1006.74', '109.66', '11']
['900.47', '54.582176', '25.042152', '96.97', '34.46', '89.61', '32.15', '20.91', '1006.74', '109.66', '11']
['900.47', '54.582176', '25.042152', '96.97', '34.46', '89.61', '32.15', '20.91', '1006.74', '109.66', '11']
['900.47', '54.582176', '25.042152', '96.97', '34.46', '89.61', '32.15', '20.91', '1006.74', '109.66', '11']
['900.47', '54.582176', '25.042152', '96.97', '34.46', '89.61', '32.15', '20.91', '1006.74', '109.66', '11']
['900.47', '54.582176', '25.042152', '96.97', '34.46', '89.61', '32.15', '20.91', '1006.74', '109.66', '11']
['900.47', '54.582176', '25.042152', '96.97', '34.48', '89.62', '32.24', '20.99', '1006.85', '109.30', '12']
['900.47', '54.582176', '25.042152', '96.97', '34.48', '89.62', '32.24', '20.99', '1006.85', '109.30', '12']
['900.47', '54.582176', '25.042152', '96.97', '34.48', '89.62', '32.24', '20.99', '1006.85', '109.30', '12']
['900.47', '54.582176', '25.042152', '96.97', '34.48', '89.62', '32.24', '20.99', '1006.85', '109.30', '12']
['900.47', '54.582176', '25.042152', '96.97', '34.48', '89.62', '32.24', '20.99', '1006.85', '109.30', '12']
['900.47', '54.582176', '25.042152', '96.97', '34.48', '89.62', '32.24', '20.99', '1006.85', '109.30', '12']
['900.47', '54.582176', '25.042152', '96.97', '34.48', '89.62', '32.24', '20.99', '1006.85', '109.30', '12']
['900.47', '54.582176', '25.042152', '96.97', '34.48', '89.62', '32.24', '20.99', '1006.85', '109.30', '12']
['900.47', '54.582176', '25.042152', '96.97', '34.48', '89.62', '32.24', '20.99', '1006.85', '109.30', '12']
['900.47', '54.582176', '25.042152', '96.97', '34.48', '89.62', '32.24', '20.99', '1006.85', '109.30', '12']
['900.47', '54.582176', '25.042152', '96.97', '34.48', '89.62', '32.24', '20.99', '1006.85', '109.30', '12']
['900.47', '54.582176', '25.042152', '96.97', '34.48', '89.62', '32.24', '20.99', '1006.85', '109.30', '12']
['900.47', '54.582176', '25.042152', '96.97', '34.48', '89.62', '32.24', '20.99', '1006.85', '109.30', '12']
['900.47', '54.582176', '25.042152', '96.97', '34.48', '89.62', '32.24', '20.99', '1006.85', '109.30', '12']
['900.47', '54.582176', '25.042149', '96.97', '34.48', '89.62', '32.24', '20.99', '1006.85', '109.30', '13']
['900.47', '54.582176', '25.042149', '96.97', '34.48', '89.62', '32.24', '20.99', '1006.85', '109.30', '13']
['900.47', '54.582176', '25.042149', '96.97', '34.48', '89.62', '32.24', '20.99', '1006.85', '109.30', '13']
['900.47', '54.582176', '25.042149', '96.97', '34.48', '89.62', '32.24', '20.99', '1006.85', '109.30', '13']
['900.47', '54.582176', '25.042149', '96.97', '34.48', '89.62', '32.24', '20.99', '1006.85', '109.30', '13']
['900.47', '54.582176', '25.042149', '96.97', '34.48', '89.62', '32.24', '20.99', '1006.85', '109.30', '13']
['900.47', '54.582176', '25.042149', '96.97', '34.48', '89.62', '32.24', '20.99', '1006.85', '109.30', '13']
['900.47', '54.582176', '25.042149', '96.97', '34.48', '89.62', '32.24', '20.99', '1006.85', '109.30', '13']
['900.47', '54.582176', '25.042149', '96.97', '34.48', '89.62', '32.24', '20.99', '1006.85', '109.30', '13']
['900.47', '54.582176', '25.042149', '96.97', '34.48', '89.62', '32.24', '20.99', '1006.85', '109.30', '13']
['900.47', '54.582176', '25.042149', '96.97', '34.48', '89.62', '32.24', '20.99', '1006.85', '109.30', '13']
['900.47', '54.582176', '25.042149', '96.97', '34.48', '89.62', '32.24', '20.99', '1006.85', '109.30', '13']
['900.47', '54.582176', '25.042149', '96.97', '34.48', '89.62', '32.24', '20.99', '1006.85', '109.30', '13']
['900.47', '54.582176', '25.042149', '96.97', '34.48', '89.62', '32.24', '20.99', '1006.85', '109.30', '13']
['900.47', '54.582176', '25.042149', '96.97', '34.48', '89.62', '32.24', '20.99', '1006.85', '109.30', '13']
['900.47', '54.582176', '25.042149', '96.97', '34.45', '89.62', '32.20', '20.96', '1006.76', '110.04', '14']
