['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.11', '1005.14', '123.60', '31729']
['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.11', '1005.14', '123.60', '31729']
['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.11', '1005.14', '123.60', '31729']
['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.11', '1005.14', '123.60', '31729']
['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.11', '1005.14', '123.60', '31729']
['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.11', '1005.14', '123.60', '31729']
['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.11', '1005.14', '123.60', '31729']
['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.11', '1005.14', '123.60', '31729']
['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.11', '1005.14', '123.60', '31729']
['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.11', '1005.14', '123.60', '31729']
['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.14', '1005.00', '124.80', '31730']
['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.14', '1005.00', '124.80', '31730']
['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.14', '1005.00', '124.80', '31730']
['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.14', '1005.00', '124.80', '31730']
['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.14', '1005.00', '124.80', '31730']
['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.14', '1005.00', '124.80', '31730']
['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.14', '1005.00', '124.80', '31730']
['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.14', '1005.00', '124.80', '31730']
['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.14', '1005.00', '124.80', '31730']
['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.14', '1005.00', '124.80', '31730']
['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.14', '1005.00', '124.80', '31730']
['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.14', '1005.00', '124.80', '31730']
['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.14', '1005.00', '124.80', '31730']
['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.14', '1005.00', '124.80', '31730']
['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.14', '1005.00', '124.80', '31730']
['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.14', '1005.00', '124.80', '31731']
['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.14', '1005.00', '124.80', '31731']
['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.14', '1005.00', '124.80', '31731']
['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.14', '1005.00', '124.80', '31731']
['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.14', '1005.00', '124.80', '31731']
['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.14', '1005.00', '124.80', '31731']
['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.14', '1005.00', '124.80', '31731']
['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.14', '1005.00', '124.80', '31731']
['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.14', '1005.00', '124.80', '31731']
['0.00', '54.678902', '25.263592', '23.30', '72.15', '64.80', '27.41', '32.14', '1005.00', '124.80', '31731']
