['0.00', '0.000000', '0.000000', '-66.83', '9.81', '0.16', '26.47', '37.44', '993.87', '1965']
['0.00', '0.000000', '0.000000', '-66.83', '9.81', '0.16', '26.47', '37.44', '993.87', '1966']
['0.00', '0.000000', '0.000000', '-66.83', '9.81', '0.16', '26.47', '37.44', '993.87', '1966']
['0.00', '0.000000', '0.000000', '-66.83', '9.81', '0.16', '26.47', '37.44', '993.87', '1966']
['0.00', '0.000000', '0.000000', '-66.83', '9.81', '0.16', '26.47', '37.44', '993.87', '1967']
['0.00', '0.000000', '0.000000', '-66.83', '9.81', '0.16', '26.47', '37.44', '993.87', '1967']
['0.00', '0.000000', '0.000000', '-66.83', '9.81', '0.16', '26.47', '37.44', '993.87', '1967']
['0.00', '0.000000', '0.000000', '-66.95', '9.82', '0.00', '26.44', '37.40', '993.82', '1968']
['0.00', '0.000000', '0.000000', '-66.95', '9.82', '0.00', '26.44', '37.40', '993.82', '1968']
['0.00', '0.000000', '0.000000', '-66.95', '9.82', '0.00', '26.44', '37.40', '993.82', '1968']
['0.00', '0.000000', '0.000000', '-66.95', '9.82', '0.00', '26.44', '37.40', '993.82', '1968']
['0.00', '0.000000', '0.000000', '-66.95', '9.82', '0.00', '26.44', '37.40', '993.82', '1969']
['0.00', '0.000000', '0.000000', '-66.95', '9.82', '0.00', '26.44', '37.40', '993.82', '1969']
['0.00', '0.000000', '0.000000', '-66.95', '9.82', '0.00', '26.44', '37.40', '993.82', '1969']
['0.00', '0.000000', '0.000000', '-66.95', '9.82', '0.00', '26.44', '37.40', '993.82', '1970']
['0.00', '0.000000', '0.000000', '-66.95', '9.82', '0.00', '26.44', '37.40', '993.82', '1970']
['0.00', '0.000000', '0.000000', '-67.11', '9.95', '-0.03', '26.22', '37.39', '993.52', '1971']
['0.00', '0.000000', '0.000000', '-67.11', '9.95', '-0.03', '26.22', '37.39', '993.52', '1971']
['0.00', '0.000000', '0.000000', '-67.11', '9.95', '-0.03', '26.22', '37.39', '993.52', '1971']
['0.00', '0.000000', '0.000000', '-67.11', '9.95', '-0.03', '26.22', '37.39', '993.52', '1972']
['0.00', '0.000000', '0.000000', '-67.11', '9.95', '-0.03', '26.22', '37.39', '993.52', '1972']
['0.00', '0.000000', '0.000000', '-67.11', '9.95', '-0.03', '26.22', '37.39', '993.52', '1972']
['0.00', '0.000000', '0.000000', '-67.29', '9.94', '0.31', '26.20', '37.41', '993.47', '1973']
['0.00', '0.000000', '0.000000', '-67.29', '9.94', '0.31', '26.20', '37.41', '993.47', '1973']
['0.00', '0.000000', '0.000000', '-67.29', '9.94', '0.31', '26.20', '37.41', '993.47', '1973']
['0.00', '0.000000', '0.000000', '-67.29', '9.94', '0.31', '26.20', '37.41', '993.47', '1973']
['0.00', '0.000000', '0.000000', '-67.29', '9.94', '0.31', '26.20', '37.41', '993.47', '1974']
['0.00', '0.000000', '0.000000', '-67.29', '9.94', '0.31', '26.20', '37.41', '993.47', '1974']
['0.00', '0.000000', '0.000000', '-67.29', '9.94', '0.31', '26.20', '37.41', '993.47', '1974']
['0.00', '0.000000', '0.000000', '-67.29', '9.94', '0.31', '26.20', '37.41', '993.47', '1975']
['0.00', '0.000000', '0.000000', '-67.29', '9.94', '0.31', '26.20', '37.41', '993.47', '1975']
['0.00', '0.000000', '0.000000', '-67.29', '9.94', '0.31', '26.20', '37.41', '993.47', '1975']
['0.00', '0.000000', '0.000000', '-66.23', '9.77', '4.96', '26.47', '37.37', '993.88', '1976']
['0.00', '0.000000', '0.000000', '-66.23', '9.77', '4.96', '26.47', '37.37', '993.88', '1976']
['0.00', '0.000000', '0.000000', '-66.23', '9.77', '4.96', '26.47', '37.37', '993.88', '1976']
['0.00', '0.000000', '0.000000', '-66.23', '9.77', '4.96', '26.47', '37.37', '993.88', '1977']
['0.00', '0.000000', '0.000000', '-66.23', '9.77', '4.96', '26.47', '37.37', '993.88', '1977']
['0.00', '0.000000', '0.000000', '-66.23', '9.77', '4.96', '26.47', '37.37', '993.88', '1977']
['0.00', '0.000000', '0.000000', '-66.23', '9.77', '4.96', '26.47', '37.37', '993.88', '1977']
['0.00', '0.000000', '0.000000', '-29.36', '9.78', '5.99', '26.47', '37.34', '993.85', '1978']
['0.00', '0.000000', '0.000000', '-29.36', '9.78', '5.99', '26.47', '37.34', '993.85', '1978']
['0.00', '0.000000', '0.000000', '-29.36', '9.78', '5.99', '26.47', '37.34', '993.85', '1978']
['0.00', '0.000000', '0.000000', '-29.36', '9.78', '5.99', '26.47', '37.34', '993.85', '1979']
['0.00', '0.000000', '0.000000', '-29.36', '9.78', '5.99', '26.47', '37.34', '993.85', '1979']
['0.00', '0.000000', '0.000000', '-29.36', '9.78', '5.99', '26.47', '37.34', '993.85', '1979']
['0.00', '0.000000', '0.000000', '-29.36', '9.78', '5.99', '26.47', '37.34', '993.85', '1980']
['0.00', '0.000000', '0.000000', '-29.36', '9.78', '5.99', '26.47', '37.34', '993.85', '1980']
