['0.00', '0.000000', '0.000000', '50.33', '2.14', '2.88', '27.76', '26.78', '998.29', '1466']
['0.00', '0.000000', '0.000000', '50.33', '2.14', '2.88', '27.76', '26.78', '998.29', '1466']
['0.00', '0.000000', '0.000000', '50.33', '2.14', '2.88', '27.76', '26.78', '998.29', '1466']
['0.00', '0.000000', '0.000000', '50.33', '2.14', '2.88', '27.76', '26.78', '998.29', '1466']
['0.00', '0.000000', '0.000000', '50.33', '2.14', '2.88', '27.76', '26.78', '998.29', '1466']
['0.00', '0.000000', '0.000000', '50.33', '2.14', '2.88', '27.76', '26.78', '998.29', '1466']
['0.00', '0.000000', '0.000000', '50.33', '1.84', '3.14', '27.71', '26.76', '998.14', '1467']
['0.00', '0.000000', '0.000000', '50.33', '1.84', '3.14', '27.71', '26.76', '998.14', '1467']
['0.00', '0.000000', '0.000000', '50.33', '1.84', '3.14', '27.71', '26.76', '998.14', '1467']
['0.00', '0.000000', '0.000000', '50.33', '1.84', '3.14', '27.71', '26.76', '998.14', '1467']
['0.00', '0.000000', '0.000000', '50.33', '1.84', '3.14', '27.71', '26.76', '998.14', '1467']
['0.00', '0.000000', '0.000000', '50.33', '1.84', '3.14', '27.71', '26.76', '998.14', '1467']
['0.00', '0.000000', '0.000000', '50.33', '1.84', '3.14', '27.71', '26.76', '998.14', '1467']
['0.00', '0.000000', '0.000000', '50.33', '1.84', '3.14', '27.71', '26.76', '998.14', '1467']
['0.00', '0.000000', '0.000000', '50.33', '1.84', '3.14', '27.71', '26.76', '998.14', '1467']
['0.00', '0.000000', '0.000000', '50.33', '1.84', '3.14', '27.71', '26.76', '998.14', '1467']
['0.00', '0.000000', '0.000000', '50.33', '1.84', '3.14', '27.71', '26.76', '998.14', '1467']
['0.00', '0.000000', '0.000000', '50.33', '1.84', '3.14', '27.71', '26.76', '998.14', '1467']
['0.00', '0.000000', '0.000000', '50.33', '1.84', '3.14', '27.71', '26.76', '998.14', '1467']
['0.00', '0.000000', '0.000000', '50.33', '1.84', '3.14', '27.71', '26.76', '998.14', '1467']
['0.00', '0.000000', '0.000000', '50.33', '1.84', '3.14', '27.71', '26.76', '998.14', '1467']
['0.00', '0.000000', '0.000000', '50.33', '1.84', '3.14', '27.71', '26.76', '998.14', '1468']
['0.00', '0.000000', '0.000000', '50.33', '1.84', '3.14', '27.71', '26.76', '998.14', '1468']
['0.00', '0.000000', '0.000000', '50.33', '1.84', '3.14', '27.71', '26.76', '998.14', '1468']
['0.00', '0.000000', '0.000000', '50.33', '1.84', '3.14', '27.71', '26.76', '998.14', '1468']
['0.00', '0.000000', '0.000000', '50.33', '1.84', '3.14', '27.71', '26.76', '998.14', '1468']
['0.00', '0.000000', '0.000000', '50.33', '1.84', '3.14', '27.71', '26.76', '998.14', '1468']
['0.00', '0.000000', '0.000000', '50.33', '1.84', '3.14', '27.71', '26.76', '998.14', '1468']
['0.00', '0.000000', '0.000000', '50.33', '1.84', '3.14', '27.71', '26.76', '998.14', '1468']
['0.00', '0.000000', '0.000000', '50.33', '1.84', '3.14', '27.71', '26.76', '998.14', '1468']
['0.00', '0.000000', '0.000000', '50.33', '1.84', '3.14', '27.71', '26.76', '998.14', '1468']
['0.00', '0.000000', '0.000000', '50.33', '1.84', '3.14', '27.71', '26.76', '998.14', '1468']
['0.00', '0.000000', '0.000000', '50.33', '1.84', '3.14', '27.71', '26.76', '998.14', '1468']
['0.00', '0.000000', '0.000000', '50.33', '1.84', '3.14', '27.71', '26.76', '998.14', '1468']
['0.00', '0.000000', '0.000000', '50.33', '1.84', '3.14', '27.71', '26.76', '998.14', '1468']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1469']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1469']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1469']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1469']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1469']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1469']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1469']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1469']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1469']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1469']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1469']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1469']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1469']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1469']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1470']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1470']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1470']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1470']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1470']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1470']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1470']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1470']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1470']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1470']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1470']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1470']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1470']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1470']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1470']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1471']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1471']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1471']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1471']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1471']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1471']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1471']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1471']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1471']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1471']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1471']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1471']
['0.00', '0.000000', '0.000000', '50.14', '1.86', '3.23', '27.75', '26.69', '998.21', '1471']
['0.00', '0.000000', '0.000000', '49.91', '1.89', '3.42', '27.76', '26.75', '998.22', '1472']
['0.00', '0.000000', '0.000000', '49.91', '1.89', '3.42', '27.76', '26.75', '998.22', '1472']
['0.00', '0.000000', '0.000000', '49.91', '1.89', '3.42', '27.76', '26.75', '998.22', '1472']
['0.00', '0.000000', '0.000000', '49.91', '1.89', '3.42', '27.76', '26.75', '998.22', '1472']
['0.00', '0.000000', '0.000000', '49.91', '1.89', '3.42', '27.76', '26.75', '998.22', '1472']
['0.00', '0.000000', '0.000000', '49.91', '1.89', '3.42', '27.76', '26.75', '998.22', '1472']
['0.00', '0.000000', '0.000000', '49.91', '1.89', '3.42', '27.76', '26.75', '998.22', '1472']
['0.00', '0.000000', '0.000000', '49.91', '1.89', '3.42', '27.76', '26.75', '998.22', '1472']
['0.00', '0.000000', '0.000000', '49.91', '1.89', '3.42', '27.76', '26.75', '998.22', '1472']
['0.00', '0.000000', '0.000000', '49.91', '1.89', '3.42', '27.76', '26.75', '998.22', '1472']
['0.00', '0.000000', '0.000000', '49.91', '1.89', '3.42', '27.76', '26.75', '998.22', '1472']
['0.00', '0.000000', '0.000000', '49.91', '1.89', '3.42', '27.76', '26.75', '998.22', '1472']
