['0.00', '54.678902', '25.263592', '22.50', '72.24', '64.37', '27.43', '32.08', '1005.13', '123.74', '34591']
['0.00', '54.678902', '25.263592', '22.50', '72.24', '64.37', '27.43', '32.08', '1005.13', '123.74', '34591']
['0.00', '54.678902', '25.263592', '22.50', '72.24', '64.37', '27.43', '32.08', '1005.13', '123.74', '34591']
['0.00', '54.678902', '25.263592', '22.50', '72.24', '64.37', '27.43', '32.08', '1005.13', '123.74', '34591']
['0.00', '54.678902', '25.263592', '22.50', '72.24', '64.37', '27.43', '32.08', '1005.13', '123.74', '34591']
['0.00', '54.678902', '25.263592', '22.50', '72.24', '64.37', '27.43', '32.08', '1005.13', '123.74', '34591']
['0.00', '54.678902', '25.263592', '22.50', '72.24', '64.37', '27.43', '32.08', '1005.13', '123.74', '34591']
['0.00', '54.678902', '25.263592', '22.50', '72.24', '64.37', '27.43', '32.08', '1005.13', '123.74', '34592']
['0.00', '54.678902', '25.263592', '22.50', '72.24', '64.37', '27.43', '32.08', '1005.13', '123.74', '34592']
['0.00', '54.678902', '25.263592', '22.50', '72.24', '64.37', '27.43', '32.08', '1005.13', '123.74', '34592']
['0.00', '54.678902', '25.263592', '22.50', '72.24', '64.37', '27.43', '32.08', '1005.13', '123.74', '34592']
['0.00', '54.678902', '25.263592', '22.50', '72.24', '64.37', '27.43', '32.08', '1005.13', '123.74', '34592']
['0.00', '54.678902', '25.263592', '22.50', '72.24', '64.37', '27.43', '32.08', '1005.13', '123.74', '34592']
['0.00', '54.678902', '25.263592', '22.50', '72.24', '64.37', '27.43', '32.08', '1005.13', '123.74', '34592']
['0.00', '54.678902', '25.263592', '22.50', '72.24', '64.37', '27.43', '32.08', '1005.13', '123.74', '34592']
['0.00', '54.678902', '25.263592', '22.50', '72.24', '64.37', '27.43', '32.08', '1005.13', '123.74', '34592']
['0.00', '54.678902', '25.263592', '22.50', '72.24', '64.37', '27.43', '32.08', '1005.13', '123.74', '34592']
['0.00', '54.678902', '25.263592', '22.50', '72.24', '64.37', '27.43', '32.08', '1005.13', '123.74', '34592']
['0.00', '54.678902', '25.263592', '22.50', '72.24', '64.37', '27.43', '32.08', '1005.13', '123.74', '34592']
['0.00', '54.678902', '25.263592', '22.50', '72.24', '64.37', '27.43', '32.08', '1005.13', '123.74', '34592']
['0.00', '54.678902', '25.263592', '22.50', '72.24', '64.37', '27.43', '32.08', '1005.13', '123.74', '34592']
['0.00', '54.678902', '25.263592', '22.50', '72.24', '64.37', '27.43', '32.08', '1005.13', '123.74', '34592']
