['0.00', '0.000000', '0.000000', '-26.17', '9.44', '5.28', '27.86', '36.38', '993.84', '3583']
['0.00', '0.000000', '0.000000', '-26.17', '9.44', '5.28', '27.86', '36.38', '993.84', '3583']
['0.00', '0.000000', '0.000000', '-26.17', '9.44', '5.28', '27.86', '36.38', '993.84', '3583']
['0.00', '0.000000', '0.000000', '-26.32', '9.17', '5.14', '27.87', '36.30', '993.82', '3584']
['0.00', '0.000000', '0.000000', '-26.32', '9.17', '5.14', '27.87', '36.30', '993.82', '3584']
['0.00', '0.000000', '0.000000', '-26.32', '9.17', '5.14', '27.87', '36.30', '993.82', '3584']
['0.00', '0.000000', '0.000000', '-26.32', '9.17', '5.14', '27.87', '36.30', '993.82', '3585']
['0.00', '0.000000', '0.000000', '-26.32', '9.17', '5.14', '27.87', '36.30', '993.82', '3585']
['0.00', '0.000000', '0.000000', '-26.32', '9.17', '5.14', '27.87', '36.30', '993.82', '3585']
['0.00', '0.000000', '0.000000', '-26.32', '9.17', '5.14', '27.87', '36.30', '993.82', '3586']
['0.00', '0.000000', '0.000000', '-26.32', '9.17', '5.14', '27.87', '36.30', '993.82', '3586']
['0.00', '0.000000', '0.000000', '-26.32', '9.17', '5.14', '27.87', '36.30', '993.82', '3586']
['0.00', '0.000000', '0.000000', '-26.32', '8.97', '4.97', '27.87', '36.24', '993.87', '3587']
['0.00', '0.000000', '0.000000', '-26.32', '8.97', '4.97', '27.87', '36.24', '993.87', '3587']
['0.00', '0.000000', '0.000000', '-26.32', '8.97', '4.97', '27.87', '36.24', '993.87', '3587']
['0.00', '0.000000', '0.000000', '-26.32', '8.97', '4.97', '27.87', '36.24', '993.87', '3588']
['0.00', '0.000000', '0.000000', '-26.32', '8.97', '4.97', '27.87', '36.24', '993.87', '3588']
['0.00', '0.000000', '0.000000', '-26.32', '8.97', '4.97', '27.87', '36.24', '993.87', '3588']
['0.00', '0.000000', '0.000000', '-26.32', '8.97', '4.97', '27.87', '36.24', '993.87', '3588']
['0.00', '0.000000', '0.000000', '-26.95', '8.79', '5.04', '27.45', '36.19', '993.21', '3589']
['0.00', '0.000000', '0.000000', '-26.95', '8.79', '5.04', '27.45', '36.19', '993.21', '3589']
['0.00', '0.000000', '0.000000', '-26.95', '8.79', '5.04', '27.45', '36.19', '993.21', '3589']
['0.00', '0.000000', '0.000000', '-26.95', '8.79', '5.04', '27.45', '36.19', '993.21', '3590']
['0.00', '0.000000', '0.000000', '-26.95', '8.79', '5.04', '27.45', '36.19', '993.21', '3590']
['0.00', '0.000000', '0.000000', '-26.95', '8.79', '5.04', '27.45', '36.19', '993.21', '3590']
['0.00', '0.000000', '0.000000', '-26.95', '8.79', '5.04', '27.45', '36.19', '993.21', '3591']
['0.00', '0.000000', '0.000000', '-26.95', '8.79', '5.04', '27.45', '36.19', '993.21', '3591']
['0.00', '0.000000', '0.000000', '-26.95', '8.79', '5.04', '27.45', '36.19', '993.21', '3591']
['0.00', '0.000000', '0.000000', '-27.89', '8.90', '5.87', '27.87', '36.02', '993.94', '3592']
['0.00', '0.000000', '0.000000', '-27.89', '8.90', '5.87', '27.87', '36.02', '993.94', '3592']
['0.00', '0.000000', '0.000000', '-27.89', '8.90', '5.87', '27.87', '36.02', '993.94', '3592']
['0.00', '0.000000', '0.000000', '-27.89', '8.90', '5.87', '27.87', '36.02', '993.94', '3593']
['0.00', '0.000000', '0.000000', '-27.89', '8.90', '5.87', '27.87', '36.02', '993.94', '3593']
['0.00', '0.000000', '0.000000', '-27.89', '8.90', '5.87', '27.87', '36.02', '993.94', '3593']
['0.00', '0.000000', '0.000000', '-27.89', '8.90', '5.87', '27.87', '36.02', '993.94', '3594']
['0.00', '0.000000', '0.000000', '-27.89', '8.90', '5.87', '27.87', '36.02', '993.94', '3594']
['0.00', '0.000000', '0.000000', '-27.89', '8.90', '5.87', '27.87', '36.02', '993.94', '3594']
['0.00', '0.000000', '0.000000', '-27.89', '8.90', '5.87', '27.87', '36.02', '993.94', '3594']
['0.00', '0.000000', '0.000000', '-25.72', '17.04', '4.36', '27.88', '35.91', '993.84', '3595']
['0.00', '0.000000', '0.000000', '-25.72', '17.04', '4.36', '27.88', '35.91', '993.84', '3595']
['0.00', '0.000000', '0.000000', '-25.72', '17.04', '4.36', '27.88', '35.91', '993.84', '3595']
['0.00', '0.000000', '0.000000', '-25.72', '17.04', '4.36', '27.88', '35.91', '993.84', '3596']
['0.00', '0.000000', '0.000000', '-25.72', '17.04', '4.36', '27.88', '35.91', '993.84', '3596']
['0.00', '0.000000', '0.000000', '-25.72', '17.04', '4.36', '27.88', '35.91', '993.84', '3596']
['0.00', '0.000000', '0.000000', '-22.28', '25.33', '3.94', '27.82', '35.95', '993.75', '3597']
['0.00', '0.000000', '0.000000', '-22.28', '25.33', '3.94', '27.82', '35.95', '993.75', '3597']
['0.00', '0.000000', '0.000000', '-22.28', '25.33', '3.94', '27.82', '35.95', '993.75', '3597']
['0.00', '0.000000', '0.000000', '-22.28', '25.33', '3.94', '27.82', '35.95', '993.75', '3598']
['0.00', '0.000000', '0.000000', '-22.28', '25.33', '3.94', '27.82', '35.95', '993.75', '3598']
['0.00', '0.000000', '0.000000', '-22.28', '25.33', '3.94', '27.82', '35.95', '993.75', '3598']
['0.00', '0.000000', '0.000000', '-22.28', '25.33', '3.94', '27.82', '35.95', '993.75', '3599']
['0.00', '0.000000', '0.000000', '-22.28', '25.33', '3.94', '27.82', '35.95', '993.75', '3599']
['0.00', '0.000000', '0.000000', '-22.28', '25.33', '3.94', '27.82', '35.95', '993.75', '3599']
['0.00', '0.000000', '0.000000', '-22.28', '25.33', '3.94', '27.82', '35.95', '993.75', '3599']
['0.00', '0.000000', '0.000000', '-18.59', '30.56', '3.72', '27.94', '36.09', '993.92', '3600']
['0.00', '0.000000', '0.000000', '-18.59', '30.56', '3.72', '27.94', '36.09', '993.92', '3600']
['0.00', '0.000000', '0.000000', '-18.59', '30.56', '3.72', '27.94', '36.09', '993.92', '3600']
['0.00', '0.000000', '0.000000', '-18.59', '30.56', '3.72', '27.94', '36.09', '993.92', '3601']
['0.00', '0.000000', '0.000000', '-18.59', '30.56', '3.72', '27.94', '36.09', '993.92', '3601']
['0.00', '0.000000', '0.000000', '-18.59', '30.56', '3.72', '27.94', '36.09', '993.92', '3601']
['0.00', '0.000000', '0.000000', '-17.31', '37.44', '5.35', '27.50', '36.47', '993.25', '3602']
['0.00', '0.000000', '0.000000', '-17.31', '37.44', '5.35', '27.50', '36.47', '993.25', '3602']
['0.00', '0.000000', '0.000000', '-17.31', '37.44', '5.35', '27.50', '36.47', '993.25', '3602']
['0.00', '0.000000', '0.000000', '-17.31', '37.44', '5.35', '27.50', '36.47', '993.25', '3602']
['0.00', '0.000000', '0.000000', '-17.31', '37.44', '5.35', '27.50', '36.47', '993.25', '3603']
['0.00', '0.000000', '0.000000', '-17.31', '37.44', '5.35', '27.50', '36.47', '993.25', '3603']
['0.00', '0.000000', '0.000000', '-17.31', '37.44', '5.35', '27.50', '36.47', '993.25', '3603']
['0.00', '0.000000', '0.000000', '-17.31', '37.44', '5.35', '27.50', '36.47', '993.25', '3604']
['0.00', '0.000000', '0.000000', '-17.31', '37.44', '5.35', '27.50', '36.47', '993.25', '3604']
['0.00', '0.000000', '0.000000', '-17.31', '37.44', '5.35', '27.50', '36.47', '993.25', '3604']
['0.00', '0.000000', '0.000000', '-13.66', '42.77', '7.46', '27.86', '37.08', '993.86', '3605']
['0.00', '0.000000', '0.000000', '-13.66', '42.77', '7.46', '27.86', '37.08', '993.86', '3605']
['0.00', '0.000000', '0.000000', '-13.66', '42.77', '7.46', '27.86', '37.08', '993.86', '3605']
['0.00', '0.000000', '0.000000', '-13.66', '42.77', '7.46', '27.86', '37.08', '993.86', '3606']
['0.00', '0.000000', '0.000000', '-13.66', '42.77', '7.46', '27.86', '37.08', '993.86', '3606']
['0.00', '0.000000', '0.000000', '-13.66', '42.77', '7.46', '27.86', '37.08', '993.86', '3606']
['0.00', '0.000000', '0.000000', '-13.66', '42.77', '7.46', '27.86', '37.08', '993.86', '3607']
['0.00', '0.000000', '0.000000', '-13.66', '42.77', '7.46', '27.86', '37.08', '993.86', '3607']
['0.00', '0.000000', '0.000000', '-13.66', '42.77', '7.46', '27.86', '37.08', '993.86', '3607']
['0.00', '0.000000', '0.000000', '-10.24', '44.81', '1.06', '27.91', '37.44', '993.87', '3608']
['0.00', '0.000000', '0.000000', '-10.24', '44.81', '1.06', '27.91', '37.44', '993.87', '3608']
['0.00', '0.000000', '0.000000', '-10.24', '44.81', '1.06', '27.91', '37.44', '993.87', '3608']
['0.00', '0.000000', '0.000000', '-10.24', '44.81', '1.06', '27.91', '37.44', '993.87', '3608']
['0.00', '0.000000', '0.000000', '-10.24', '44.81', '1.06', '27.91', '37.44', '993.87', '3609']
['0.00', '0.000000', '0.000000', '-10.24', '44.81', '1.06', '27.91', '37.44', '993.87', '3609']
['0.00', '0.000000', '0.000000', '-10.24', '44.81', '1.06', '27.91', '37.44', '993.87', '3609']
['0.00', '0.000000', '0.000000', '-11.71', '40.28', '-10.10', '27.91', '37.68', '993.85', '3610']
['0.00', '0.000000', '0.000000', '-11.71', '40.28', '-10.10', '27.91', '37.68', '993.85', '3610']
['0.00', '0.000000', '0.000000', '-11.71', '40.28', '-10.10', '27.91', '37.68', '993.85', '3610']
['0.00', '0.000000', '0.000000', '-11.71', '40.28', '-10.10', '27.91', '37.68', '993.85', '3611']
['0.00', '0.000000', '0.000000', '-11.71', '40.28', '-10.10', '27.91', '37.68', '993.85', '3611']
['0.00', '0.000000', '0.000000', '-11.71', '40.28', '-10.10', '27.91', '37.68', '993.85', '3611']
['0.00', '0.000000', '0.000000', '-11.71', '40.28', '-10.10', '27.91', '37.68', '993.85', '3612']
['0.00', '0.000000', '0.000000', '-11.71', '40.28', '-10.10', '27.91', '37.68', '993.85', '3612']
['0.00', '0.000000', '0.000000', '-11.71', '40.28', '-10.10', '27.91', '37.68', '993.85', '3612']
['0.00', '0.000000', '0.000000', '-12.23', '33.21', '-12.27', '27.97', '37.97', '993.95', '3613']
['0.00', '0.000000', '0.000000', '-12.23', '33.21', '-12.27', '27.97', '37.97', '993.95', '3613']
['0.00', '0.000000', '0.000000', '-12.23', '33.21', '-12.27', '27.97', '37.97', '993.95', '3613']
['0.00', '0.000000', '0.000000', '-12.23', '33.21', '-12.27', '27.97', '37.97', '993.95', '3614']
['0.00', '0.000000', '0.000000', '-12.23', '33.21', '-12.27', '27.97', '37.97', '993.95', '3614']
['0.00', '0.000000', '0.000000', '-12.23', '33.21', '-12.27', '27.97', '37.97', '993.95', '3614']
['0.00', '0.000000', '0.000000', '-10.33', '33.66', '2.03', '27.50', '38.37', '993.22', '3615']
['0.00', '0.000000', '0.000000', '-10.33', '33.66', '2.03', '27.50', '38.37', '993.22', '3615']
['0.00', '0.000000', '0.000000', '-10.33', '33.66', '2.03', '27.50', '38.37', '993.22', '3615']
['0.00', '0.000000', '0.000000', '-10.33', '33.66', '2.03', '27.50', '38.37', '993.22', '3616']
['0.00', '0.000000', '0.000000', '-10.33', '33.66', '2.03', '27.50', '38.37', '993.22', '3616']
['0.00', '0.000000', '0.000000', '-10.33', '33.66', '2.03', '27.50', '38.37', '993.22', '3616']
['0.00', '0.000000', '0.000000', '-10.33', '33.66', '2.03', '27.50', '38.37', '993.22', '3617']
['0.00', '0.000000', '0.000000', '-10.33', '33.66', '2.03', '27.50', '38.37', '993.22', '3617']
['0.00', '0.000000', '0.000000', '-10.33', '33.66', '2.03', '27.50', '38.37', '993.22', '3617']
['0.00', '0.000000', '0.000000', '2.01', '41.89', '24.07', '27.93', '38.70', '993.91', '3618']
['0.00', '0.000000', '0.000000', '2.01', '41.89', '24.07', '27.93', '38.70', '993.91', '3618']
['0.00', '0.000000', '0.000000', '2.01', '41.89', '24.07', '27.93', '38.70', '993.91', '3618']
['0.00', '0.000000', '0.000000', '2.01', '41.89', '24.07', '27.93', '38.70', '993.91', '3619']
['0.00', '0.000000', '0.000000', '2.01', '41.89', '24.07', '27.93', '38.70', '993.91', '3619']
['0.00', '0.000000', '0.000000', '2.01', '41.89', '24.07', '27.93', '38.70', '993.91', '3619']
['0.00', '0.000000', '0.000000', '2.01', '41.89', '24.07', '27.93', '38.70', '993.91', '3620']
['0.00', '0.000000', '0.000000', '2.01', '41.89', '24.07', '27.93', '38.70', '993.91', '3620']
['0.00', '0.000000', '0.000000', '2.01', '41.89', '24.07', '27.93', '38.70', '993.91', '3620']
['0.00', '0.000000', '0.000000', '17.36', '40.00', '36.67', '27.88', '39.07', '993.78', '3621']
['0.00', '0.000000', '0.000000', '17.36', '40.00', '36.67', '27.88', '39.07', '993.78', '3621']
['0.00', '0.000000', '0.000000', '17.36', '40.00', '36.67', '27.88', '39.07', '993.78', '3621']
['0.00', '0.000000', '0.000000', '17.36', '40.00', '36.67', '27.88', '39.07', '993.78', '3622']
['0.00', '0.000000', '0.000000', '17.36', '40.00', '36.67', '27.88', '39.07', '993.78', '3622']
['0.00', '0.000000', '0.000000', '17.36', '40.00', '36.67', '27.88', '39.07', '993.78', '3622']
['0.00', '0.000000', '0.000000', '27.86', '38.57', '43.07', '27.99', '39.28', '993.93', '3623']
['0.00', '0.000000', '0.000000', '27.86', '38.57', '43.07', '27.99', '39.28', '993.93', '3623']
['0.00', '0.000000', '0.000000', '27.86', '38.57', '43.07', '27.99', '39.28', '993.93', '3623']
['0.00', '0.000000', '0.000000', '27.86', '38.57', '43.07', '27.99', '39.28', '993.93', '3624']
['0.00', '0.000000', '0.000000', '27.86', '38.57', '43.07', '27.99', '39.28', '993.93', '3624']
['0.00', '0.000000', '0.000000', '27.86', '38.57', '43.07', '27.99', '39.28', '993.93', '3624']
['0.00', '0.000000', '0.000000', '27.86', '38.57', '43.07', '27.99', '39.28', '993.93', '3625']
['0.00', '0.000000', '0.000000', '27.86', '38.57', '43.07', '27.99', '39.28', '993.93', '3625']
['0.00', '0.000000', '0.000000', '27.86', '38.57', '43.07', '27.99', '39.28', '993.93', '3625']
['0.00', '0.000000', '0.000000', '34.46', '37.33', '47.33', '27.94', '39.28', '993.84', '3626']
['0.00', '0.000000', '0.000000', '34.46', '37.33', '47.33', '27.94', '39.28', '993.84', '3626']
['0.00', '0.000000', '0.000000', '34.46', '37.33', '47.33', '27.94', '39.28', '993.84', '3626']
['0.00', '0.000000', '0.000000', '34.46', '37.33', '47.33', '27.94', '39.28', '993.84', '3627']
['0.00', '0.000000', '0.000000', '34.46', '37.33', '47.33', '27.94', '39.28', '993.84', '3627']
['0.00', '0.000000', '0.000000', '34.46', '37.33', '47.33', '27.94', '39.28', '993.84', '3627']
['0.00', '0.000000', '0.000000', '34.46', '37.33', '47.33', '27.94', '39.28', '993.84', '3627']
['0.00', '0.000000', '0.000000', '38.34', '36.11', '52.06', '27.56', '39.28', '993.26', '3628']
['0.00', '0.000000', '0.000000', '38.34', '36.11', '52.06', '27.56', '39.28', '993.26', '3628']
['0.00', '0.000000', '0.000000', '38.34', '36.11', '52.06', '27.56', '39.28', '993.26', '3628']
['0.00', '0.000000', '0.000000', '38.34', '36.11', '52.06', '27.56', '39.28', '993.26', '3629']
['0.00', '0.000000', '0.000000', '38.34', '36.11', '52.06', '27.56', '39.28', '993.26', '3629']
['0.00', '0.000000', '0.000000', '38.34', '36.11', '52.06', '27.56', '39.28', '993.26', '3629']
['0.00', '0.000000', '0.000000', '38.34', '36.11', '52.06', '27.56', '39.28', '993.26', '3630']
['0.00', '0.000000', '0.000000', '38.34', '36.11', '52.06', '27.56', '39.28', '993.26', '3630']
['0.00', '0.000000', '0.000000', '38.34', '36.11', '52.06', '27.56', '39.28', '993.26', '3630']
['0.00', '0.000000', '0.000000', '43.18', '35.06', '55.09', '27.86', '39.12', '993.79', '3631']
['0.00', '0.000000', '0.000000', '43.18', '35.06', '55.09', '27.86', '39.12', '993.79', '3631']
['0.00', '0.000000', '0.000000', '43.18', '35.06', '55.09', '27.86', '39.12', '993.79', '3631']
['0.00', '0.000000', '0.000000', '43.18', '35.06', '55.09', '27.86', '39.12', '993.79', '3632']
['0.00', '0.000000', '0.000000', '43.18', '35.06', '55.09', '27.86', '39.12', '993.79', '3632']
['0.00', '0.000000', '0.000000', '43.18', '35.06', '55.09', '27.86', '39.12', '993.79', '3632']
['0.00', '0.000000', '0.000000', '43.18', '35.06', '55.09', '27.86', '39.12', '993.79', '3633']
['0.00', '0.000000', '0.000000', '43.18', '35.06', '55.09', '27.86', '39.12', '993.79', '3633']
['0.00', '0.000000', '0.000000', '43.18', '35.06', '55.09', '27.86', '39.12', '993.79', '3633']
['0.00', '0.000000', '0.000000', '46.88', '36.88', '61.36', '28.00', '38.88', '993.93', '3634']
['0.00', '0.000000', '0.000000', '46.88', '36.88', '61.36', '28.00', '38.88', '993.93', '3634']
['0.00', '0.000000', '0.000000', '46.88', '36.88', '61.36', '28.00', '38.88', '993.93', '3634']
['0.00', '0.000000', '0.000000', '46.88', '36.88', '61.36', '28.00', '38.88', '993.93', '3635']
['0.00', '0.000000', '0.000000', '46.88', '36.88', '61.36', '28.00', '38.88', '993.93', '3635']
['0.00', '0.000000', '0.000000', '46.88', '36.88', '61.36', '28.00', '38.88', '993.93', '3635']
['0.00', '0.000000', '0.000000', '50.69', '49.71', '65.80', '27.99', '39.08', '993.90', '3636']
['0.00', '0.000000', '0.000000', '50.69', '49.71', '65.80', '27.99', '39.08', '993.90', '3636']
['0.00', '0.000000', '0.000000', '50.69', '49.71', '65.80', '27.99', '39.08', '993.90', '3636']
['0.00', '0.000000', '0.000000', '50.69', '49.71', '65.80', '27.99', '39.08', '993.90', '3637']
['0.00', '0.000000', '0.000000', '50.69', '49.71', '65.80', '27.99', '39.08', '993.90', '3637']
['0.00', '0.000000', '0.000000', '50.69', '49.71', '65.80', '27.99', '39.08', '993.90', '3637']
['0.00', '0.000000', '0.000000', '50.69', '49.71', '65.80', '27.99', '39.08', '993.90', '3638']
['0.00', '0.000000', '0.000000', '50.69', '49.71', '65.80', '27.99', '39.08', '993.90', '3638']
['0.00', '0.000000', '0.000000', '50.69', '49.71', '65.80', '27.99', '39.08', '993.90', '3638']
['0.00', '0.000000', '0.000000', '54.15', '54.79', '66.07', '28.00', '39.37', '993.92', '3639']
['0.00', '0.000000', '0.000000', '54.15', '54.79', '66.07', '28.00', '39.37', '993.92', '3639']
['0.00', '0.000000', '0.000000', '54.15', '54.79', '66.07', '28.00', '39.37', '993.92', '3639']
['0.00', '0.000000', '0.000000', '54.15', '54.79', '66.07', '28.00', '39.37', '993.92', '3640']
['0.00', '0.000000', '0.000000', '54.15', '54.79', '66.07', '28.00', '39.37', '993.92', '3640']
['0.00', '0.000000', '0.000000', '54.15', '54.79', '66.07', '28.00', '39.37', '993.92', '3640']
['0.00', '0.000000', '0.000000', '54.47', '55.13', '65.47', '27.53', '39.50', '993.22', '3641']
['0.00', '0.000000', '0.000000', '54.47', '55.13', '65.47', '27.53', '39.50', '993.22', '3641']
['0.00', '0.000000', '0.000000', '54.47', '55.13', '65.47', '27.53', '39.50', '993.22', '3641']
['0.00', '0.000000', '0.000000', '54.47', '55.13', '65.47', '27.53', '39.50', '993.22', '3642']
['0.00', '0.000000', '0.000000', '54.47', '55.13', '65.47', '27.53', '39.50', '993.22', '3642']
['0.00', '0.000000', '0.000000', '54.47', '55.13', '65.47', '27.53', '39.50', '993.22', '3642']
['0.00', '0.000000', '0.000000', '54.47', '55.13', '65.47', '27.53', '39.50', '993.22', '3643']
['0.00', '0.000000', '0.000000', '54.47', '55.13', '65.47', '27.53', '39.50', '993.22', '3643']
['0.00', '0.000000', '0.000000', '54.47', '55.13', '65.47', '27.53', '39.50', '993.22', '3643']
['0.00', '0.000000', '0.000000', '53.95', '58.45', '64.81', '27.69', '40.15', '993.46', '3644']
['0.00', '0.000000', '0.000000', '53.95', '58.45', '64.81', '27.69', '40.15', '993.46', '3644']
