['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.09', '28.65', '999.70', '6442']
['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.08', '28.61', '999.75', '6452']
['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.08', '28.61', '999.75', '6452']
['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.08', '28.61', '999.75', '6452']
['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.08', '28.61', '999.75', '6452']
['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.08', '28.61', '999.75', '6452']
['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.08', '28.61', '999.75', '6452']
['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.08', '28.61', '999.75', '6452']
['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.08', '28.61', '999.75', '6452']
['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.08', '28.61', '999.75', '6452']
['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.08', '28.61', '999.75', '6452']
['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.08', '28.61', '999.75', '6452']
['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.08', '28.61', '999.75', '6452']
['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.08', '28.61', '999.75', '6453']
['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.08', '28.61', '999.75', '6453']
['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.08', '28.61', '999.75', '6453']
['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.08', '28.61', '999.75', '6453']
['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.08', '28.61', '999.75', '6453']
['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.08', '28.61', '999.75', '6453']
['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.08', '28.61', '999.75', '6453']
['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.08', '28.61', '999.75', '6453']
['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.08', '28.61', '999.75', '6453']
['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.08', '28.61', '999.75', '6453']
['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.08', '28.61', '999.75', '6453']
['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.08', '28.61', '999.75', '6453']
['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.08', '28.61', '999.75', '6453']
['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.08', '28.61', '999.75', '6453']
['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.08', '28.61', '999.75', '6453']
['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.04', '28.60', '999.68', '6454']
['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.04', '28.60', '999.68', '6454']
['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.04', '28.60', '999.68', '6454']
['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.04', '28.60', '999.68', '6454']
['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.04', '28.60', '999.68', '6454']
['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.04', '28.60', '999.68', '6454']
['0.00', '0.000000', '0.000000', '34.94', '77.02', '90.98', '27.04', '28.60', '999.68', '6454']
