['0.00', '0.000000', '0.000000', '-41.94', '12.21', '5.02', '27.00', '38.10', '993.48', '2851']
['0.00', '0.000000', '0.000000', '-41.94', '12.21', '5.02', '27.00', '38.10', '993.48', '2851']
['0.00', '0.000000', '0.000000', '-41.94', '12.21', '5.02', '27.00', '38.10', '993.48', '2852']
['0.00', '0.000000', '0.000000', '-41.94', '12.21', '5.02', '27.00', '38.10', '993.48', '2852']
['0.00', '0.000000', '0.000000', '-41.94', '12.21', '5.02', '27.00', '38.10', '993.48', '2852']
['0.00', '0.000000', '0.000000', '-41.94', '12.21', '5.02', '27.00', '38.10', '993.48', '2852']
['0.00', '0.000000', '0.000000', '-41.94', '12.16', '5.02', '27.26', '38.22', '993.83', '2853']
['0.00', '0.000000', '0.000000', '-41.94', '12.16', '5.02', '27.26', '38.22', '993.83', '2853']
['0.00', '0.000000', '0.000000', '-41.94', '12.16', '5.02', '27.26', '38.22', '993.83', '2853']
['0.00', '0.000000', '0.000000', '-41.94', '12.16', '5.02', '27.26', '38.22', '993.83', '2854']
['0.00', '0.000000', '0.000000', '-41.94', '12.16', '5.02', '27.26', '38.22', '993.83', '2854']
['0.00', '0.000000', '0.000000', '-41.94', '12.16', '5.02', '27.26', '38.22', '993.83', '2854']
['0.00', '0.000000', '0.000000', '-41.99', '12.15', '5.07', '27.30', '38.37', '993.89', '2855']
['0.00', '0.000000', '0.000000', '-41.99', '12.15', '5.07', '27.30', '38.37', '993.89', '2855']
['0.00', '0.000000', '0.000000', '-41.99', '12.15', '5.07', '27.30', '38.37', '993.89', '2855']
['0.00', '0.000000', '0.000000', '-41.99', '12.15', '5.07', '27.30', '38.37', '993.89', '2856']
['0.00', '0.000000', '0.000000', '-41.99', '12.15', '5.07', '27.30', '38.37', '993.89', '2856']
['0.00', '0.000000', '0.000000', '-41.99', '12.15', '5.07', '27.30', '38.37', '993.89', '2856']
['0.00', '0.000000', '0.000000', '-41.99', '12.15', '5.07', '27.30', '38.37', '993.89', '2857']
['0.00', '0.000000', '0.000000', '-41.99', '12.15', '5.07', '27.30', '38.37', '993.89', '2857']
['0.00', '0.000000', '0.000000', '-41.99', '12.15', '5.07', '27.30', '38.37', '993.89', '2857']
['0.00', '0.000000', '0.000000', '-41.98', '11.97', '5.13', '27.30', '38.38', '993.86', '2858']
['0.00', '0.000000', '0.000000', '-41.98', '11.97', '5.13', '27.30', '38.38', '993.86', '2858']
['0.00', '0.000000', '0.000000', '-41.98', '11.97', '5.13', '27.30', '38.38', '993.86', '2858']
['0.00', '0.000000', '0.000000', '-41.98', '11.97', '5.13', '27.30', '38.38', '993.86', '2858']
['0.00', '0.000000', '0.000000', '-41.98', '11.97', '5.13', '27.30', '38.38', '993.86', '2859']
['0.00', '0.000000', '0.000000', '-41.98', '11.97', '5.13', '27.30', '38.38', '993.86', '2859']
['0.00', '0.000000', '0.000000', '-41.98', '11.97', '5.13', '27.30', '38.38', '993.86', '2859']
['0.00', '0.000000', '0.000000', '-41.98', '11.97', '5.13', '27.30', '38.38', '993.86', '2860']
['0.00', '0.000000', '0.000000', '-41.98', '11.97', '5.13', '27.30', '38.38', '993.86', '2860']
['0.00', '0.000000', '0.000000', '-41.98', '11.97', '5.13', '27.30', '38.38', '993.86', '2860']
['0.00', '0.000000', '0.000000', '-42.08', '11.91', '5.32', '27.03', '38.23', '993.91', '2861']
['0.00', '0.000000', '0.000000', '-42.08', '11.91', '5.32', '27.03', '38.23', '993.91', '2861']
['0.00', '0.000000', '0.000000', '-42.08', '11.91', '5.32', '27.03', '38.23', '993.91', '2861']
['0.00', '0.000000', '0.000000', '-42.08', '11.91', '5.32', '27.03', '38.23', '993.91', '2862']
['0.00', '0.000000', '0.000000', '-42.08', '11.91', '5.32', '27.03', '38.23', '993.91', '2862']
['0.00', '0.000000', '0.000000', '-42.08', '11.91', '5.32', '27.03', '38.23', '993.91', '2862']
['0.00', '0.000000', '0.000000', '-42.04', '11.87', '5.41', '27.03', '38.21', '993.51', '2863']
['0.00', '0.000000', '0.000000', '-42.04', '11.87', '5.41', '27.03', '38.21', '993.51', '2863']
['0.00', '0.000000', '0.000000', '-42.04', '11.87', '5.41', '27.03', '38.21', '993.51', '2863']
['0.00', '0.000000', '0.000000', '-42.04', '11.87', '5.41', '27.03', '38.21', '993.51', '2864']
['0.00', '0.000000', '0.000000', '-42.04', '11.87', '5.41', '27.03', '38.21', '993.51', '2864']
['0.00', '0.000000', '0.000000', '-42.04', '11.87', '5.41', '27.03', '38.21', '993.51', '2864']
['0.00', '0.000000', '0.000000', '-42.04', '11.87', '5.41', '27.03', '38.21', '993.51', '2864']
['0.00', '0.000000', '0.000000', '-42.04', '11.87', '5.41', '27.03', '38.21', '993.51', '2865']
['0.00', '0.000000', '0.000000', '-42.04', '11.87', '5.41', '27.03', '38.21', '993.51', '2865']
['0.00', '0.000000', '0.000000', '-42.04', '11.87', '5.41', '27.03', '38.21', '993.51', '2865']
['0.00', '0.000000', '0.000000', '-41.92', '11.91', '5.53', '27.26', '38.24', '993.82', '2866']
['0.00', '0.000000', '0.000000', '-41.92', '11.91', '5.53', '27.26', '38.24', '993.82', '2866']
['0.00', '0.000000', '0.000000', '-41.92', '11.91', '5.53', '27.26', '38.24', '993.82', '2866']
['0.00', '0.000000', '0.000000', '-41.92', '11.91', '5.53', '27.26', '38.24', '993.82', '2867']
['0.00', '0.000000', '0.000000', '-41.92', '11.91', '5.53', '27.26', '38.24', '993.82', '2867']
['0.00', '0.000000', '0.000000', '-41.92', '11.91', '5.53', '27.26', '38.24', '993.82', '2867']
['0.00', '0.000000', '0.000000', '-41.92', '11.91', '5.53', '27.26', '38.24', '993.82', '2867']
['0.00', '0.000000', '0.000000', '-40.52', '12.73', '3.50', '27.30', '38.38', '993.87', '2868']
['0.00', '0.000000', '0.000000', '-40.52', '12.73', '3.50', '27.30', '38.38', '993.87', '2868']
['0.00', '0.000000', '0.000000', '-40.52', '12.73', '3.50', '27.30', '38.38', '993.87', '2868']
['0.00', '0.000000', '0.000000', '-40.52', '12.73', '3.50', '27.30', '38.38', '993.87', '2869']
['0.00', '0.000000', '0.000000', '-40.52', '12.73', '3.50', '27.30', '38.38', '993.87', '2869']
['0.00', '0.000000', '0.000000', '-40.52', '12.73', '3.50', '27.30', '38.38', '993.87', '2869']
['0.00', '0.000000', '0.000000', '-40.52', '12.73', '3.50', '27.30', '38.38', '993.87', '2870']
['0.00', '0.000000', '0.000000', '-40.52', '12.73', '3.50', '27.30', '38.38', '993.87', '2870']
['0.00', '0.000000', '0.000000', '-40.52', '12.73', '3.50', '27.30', '38.38', '993.87', '2870']
['0.00', '0.000000', '0.000000', '-39.86', '22.17', '1.39', '27.30', '38.44', '993.87', '2871']
['0.00', '0.000000', '0.000000', '-39.86', '22.17', '1.39', '27.30', '38.44', '993.87', '2871']
['0.00', '0.000000', '0.000000', '-39.86', '22.17', '1.39', '27.30', '38.44', '993.87', '2871']
['0.00', '0.000000', '0.000000', '-39.86', '22.17', '1.39', '27.30', '38.44', '993.87', '2872']
['0.00', '0.000000', '0.000000', '-39.86', '22.17', '1.39', '27.30', '38.44', '993.87', '2872']
['0.00', '0.000000', '0.000000', '-39.86', '22.17', '1.39', '27.30', '38.44', '993.87', '2872']
['0.00', '0.000000', '0.000000', '-39.86', '22.17', '1.39', '27.30', '38.44', '993.87', '2872']
['0.00', '0.000000', '0.000000', '-39.21', '28.51', '1.11', '27.03', '38.45', '993.50', '2873']
['0.00', '0.000000', '0.000000', '-39.21', '28.51', '1.11', '27.03', '38.45', '993.50', '2873']
['0.00', '0.000000', '0.000000', '-39.21', '28.51', '1.11', '27.03', '38.45', '993.50', '2873']
['0.00', '0.000000', '0.000000', '-39.21', '28.51', '1.11', '27.03', '38.45', '993.50', '2874']
['0.00', '0.000000', '0.000000', '-39.21', '28.51', '1.11', '27.03', '38.45', '993.50', '2874']
['0.00', '0.000000', '0.000000', '-39.21', '28.51', '1.11', '27.03', '38.45', '993.50', '2874']
['0.00', '0.000000', '0.000000', '-39.21', '28.51', '1.11', '27.03', '38.45', '993.50', '2874']
['0.00', '0.000000', '0.000000', '-39.21', '28.51', '1.11', '27.03', '38.45', '993.50', '2875']
['0.00', '0.000000', '0.000000', '-39.21', '28.51', '1.11', '27.03', '38.45', '993.50', '2875']
['0.00', '0.000000', '0.000000', '-39.21', '28.51', '1.11', '27.03', '38.45', '993.50', '2875']
['0.00', '0.000000', '0.000000', '-38.18', '32.42', '1.20', '27.26', '38.14', '993.86', '2876']
['0.00', '0.000000', '0.000000', '-38.18', '32.42', '1.20', '27.26', '38.14', '993.86', '2876']
['0.00', '0.000000', '0.000000', '-38.18', '32.42', '1.20', '27.26', '38.14', '993.86', '2876']
['0.00', '0.000000', '0.000000', '-38.18', '32.42', '1.20', '27.26', '38.14', '993.86', '2877']
['0.00', '0.000000', '0.000000', '-38.18', '32.42', '1.20', '27.26', '38.14', '993.86', '2877']
['0.00', '0.000000', '0.000000', '-38.18', '32.42', '1.20', '27.26', '38.14', '993.86', '2877']
['0.00', '0.000000', '0.000000', '-38.18', '32.42', '1.20', '27.26', '38.14', '993.86', '2878']
['0.00', '0.000000', '0.000000', '-38.18', '32.42', '1.20', '27.26', '38.14', '993.86', '2878']
['0.00', '0.000000', '0.000000', '-38.18', '32.42', '1.20', '27.26', '38.14', '993.86', '2878']
['0.00', '0.000000', '0.000000', '-37.52', '35.31', '1.46', '27.25', '37.80', '993.85', '2879']
['0.00', '0.000000', '0.000000', '-37.52', '35.31', '1.46', '27.25', '37.80', '993.85', '2879']
['0.00', '0.000000', '0.000000', '-37.52', '35.31', '1.46', '27.25', '37.80', '993.85', '2879']
['0.00', '0.000000', '0.000000', '-37.52', '35.31', '1.46', '27.25', '37.80', '993.85', '2880']
['0.00', '0.000000', '0.000000', '-37.52', '35.31', '1.46', '27.25', '37.80', '993.85', '2880']
['0.00', '0.000000', '0.000000', '-37.52', '35.31', '1.46', '27.25', '37.80', '993.85', '2880']
['0.00', '0.000000', '0.000000', '-37.52', '35.31', '1.46', '27.25', '37.80', '993.85', '2880']
['0.00', '0.000000', '0.000000', '-36.32', '38.40', '1.13', '27.22', '37.47', '993.80', '2881']
['0.00', '0.000000', '0.000000', '-36.32', '38.40', '1.13', '27.22', '37.47', '993.80', '2881']
['0.00', '0.000000', '0.000000', '-36.32', '38.40', '1.13', '27.22', '37.47', '993.80', '2882']
['0.00', '0.000000', '0.000000', '-36.32', '38.40', '1.13', '27.22', '37.47', '993.80', '2882']
['0.00', '0.000000', '0.000000', '-36.32', '38.40', '1.13', '27.22', '37.47', '993.80', '2882']
['0.00', '0.000000', '0.000000', '-36.32', '38.40', '1.13', '27.22', '37.47', '993.80', '2883']
['0.00', '0.000000', '0.000000', '-36.32', '38.40', '1.13', '27.22', '37.47', '993.80', '2883']
['0.00', '0.000000', '0.000000', '-36.32', '38.40', '1.13', '27.22', '37.47', '993.80', '2883']
['0.00', '0.000000', '0.000000', '-36.32', '38.40', '1.13', '27.22', '37.47', '993.80', '2883']
['0.00', '0.000000', '0.000000', '-34.49', '44.57', '3.93', '27.27', '37.23', '993.91', '2884']
['0.00', '0.000000', '0.000000', '-34.49', '44.57', '3.93', '27.27', '37.23', '993.91', '2884']
['0.00', '0.000000', '0.000000', '-34.49', '44.57', '3.93', '27.27', '37.23', '993.91', '2884']
['0.00', '0.000000', '0.000000', '-34.49', '44.57', '3.93', '27.27', '37.23', '993.91', '2885']
['0.00', '0.000000', '0.000000', '-34.49', '44.57', '3.93', '27.27', '37.23', '993.91', '2885']
['0.00', '0.000000', '0.000000', '-34.49', '44.57', '3.93', '27.27', '37.23', '993.91', '2885']
['0.00', '0.000000', '0.000000', '-31.24', '49.50', '4.79', '27.05', '37.13', '993.57', '2886']
['0.00', '0.000000', '0.000000', '-31.24', '49.50', '4.79', '27.05', '37.13', '993.57', '2886']
['0.00', '0.000000', '0.000000', '-31.24', '49.50', '4.79', '27.05', '37.13', '993.57', '2886']
['0.00', '0.000000', '0.000000', '-31.24', '49.50', '4.79', '27.05', '37.13', '993.57', '2887']
['0.00', '0.000000', '0.000000', '-31.24', '49.50', '4.79', '27.05', '37.13', '993.57', '2887']
