['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.21', '31.02', '1004.62', '127.97', '7386']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.21', '31.02', '1004.62', '127.97', '7386']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.21', '31.02', '1004.62', '127.97', '7386']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.21', '31.02', '1004.62', '127.97', '7386']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.21', '31.02', '1004.62', '127.97', '7386']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.21', '31.02', '1004.62', '127.97', '7386']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.21', '31.02', '1004.62', '127.97', '7386']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.21', '31.02', '1004.62', '127.97', '7386']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.21', '31.02', '1004.62', '127.97', '7386']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.21', '31.02', '1004.62', '127.97', '7386']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.21', '31.02', '1004.62', '127.97', '7387']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.21', '31.02', '1004.62', '127.97', '7387']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.21', '31.02', '1004.62', '127.97', '7387']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.21', '31.02', '1004.62', '127.97', '7387']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.21', '31.02', '1004.62', '127.97', '7387']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.21', '31.02', '1004.62', '127.97', '7387']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.21', '31.02', '1004.62', '127.97', '7387']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.21', '31.02', '1004.62', '127.97', '7387']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.21', '31.02', '1004.62', '127.97', '7387']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.21', '31.02', '1004.62', '127.97', '7387']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.21', '31.02', '1004.62', '127.97', '7387']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.21', '31.02', '1004.62', '127.97', '7387']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.21', '31.02', '1004.62', '127.97', '7387']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.21', '31.02', '1004.62', '127.97', '7387']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.21', '31.02', '1004.62', '127.97', '7387']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.21', '31.02', '1004.62', '127.97', '7387']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.21', '31.02', '1004.62', '127.97', '7387']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.21', '31.02', '1004.62', '127.97', '7387']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.21', '31.02', '1004.62', '127.97', '7387']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7388']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7388']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7388']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7388']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7388']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7388']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7388']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7388']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7388']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7388']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7388']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7388']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7388']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7388']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7388']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7389']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7389']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7389']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7389']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7389']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7389']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7389']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7389']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7389']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7389']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7389']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7389']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7389']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7389']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7390']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7390']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7390']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7390']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7390']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7390']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7390']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7390']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7390']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7390']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7390']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7390']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7390']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7390']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7390']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '27.81', '31.04', '1004.02', '132.99', '7390']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '31.03', '1004.67', '127.60', '7391']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '31.03', '1004.67', '127.60', '7391']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '31.03', '1004.67', '127.60', '7391']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '31.03', '1004.67', '127.60', '7391']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '31.03', '1004.67', '127.60', '7391']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '31.03', '1004.67', '127.60', '7391']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '31.03', '1004.67', '127.60', '7391']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '31.03', '1004.67', '127.60', '7391']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '31.03', '1004.67', '127.60', '7391']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '31.03', '1004.67', '127.60', '7391']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '31.03', '1004.67', '127.60', '7391']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '31.03', '1004.67', '127.60', '7391']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '31.03', '1004.67', '127.60', '7391']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '31.03', '1004.67', '127.60', '7391']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '31.03', '1004.67', '127.60', '7392']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '31.03', '1004.67', '127.60', '7392']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '31.03', '1004.67', '127.60', '7392']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '31.03', '1004.67', '127.60', '7392']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '31.03', '1004.67', '127.60', '7392']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '31.03', '1004.67', '127.60', '7392']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '31.03', '1004.67', '127.60', '7392']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '31.03', '1004.67', '127.60', '7392']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '31.03', '1004.67', '127.60', '7392']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '31.03', '1004.67', '127.60', '7392']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '31.03', '1004.67', '127.60', '7392']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '31.03', '1004.67', '127.60', '7392']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '31.03', '1004.67', '127.60', '7392']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '31.03', '1004.67', '127.60', '7392']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '31.03', '1004.67', '127.60', '7392']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '31.03', '1004.67', '127.60', '7392']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7393']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7393']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7393']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7393']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7393']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7393']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7393']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7393']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7393']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7393']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7393']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7393']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7393']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7393']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7393']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7394']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7394']
