['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42593']
['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42593']
['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42593']
['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42593']
['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42593']
['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42593']
['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42594']
['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42594']
['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42594']
['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42594']
['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42594']
['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42594']
['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42594']
['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42594']
['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42594']
['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42594']
['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42594']
['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42594']
['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42594']
['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42594']
['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42594']
['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42595']
['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42595']
['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42595']
['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42595']
['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42595']
['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42595']
['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42595']
['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42595']
['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42595']
['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42595']
['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42595']
['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42595']
['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42595']
['0.00', '54.678478', '25.262907', '32.85', '79.15', '89.76', '28.00', '28.66', '998.79', '42595']
['0.00', '54.678478', '25.262907', '32.87', '79.16', '89.74', '28.32', '28.66', '999.25', '42596']
['0.00', '54.678478', '25.262907', '32.87', '79.16', '89.74', '28.32', '28.66', '999.25', '42596']
['0.00', '54.678478', '25.262907', '32.87', '79.16', '89.74', '28.32', '28.66', '999.25', '42596']
['0.00', '54.678478', '25.262907', '32.87', '79.16', '89.74', '28.32', '28.66', '999.25', '42596']
['0.00', '54.678478', '25.262907', '32.87', '79.16', '89.74', '28.32', '28.66', '999.25', '42596']
['0.00', '54.678478', '25.262907', '32.87', '79.16', '89.74', '28.32', '28.66', '999.25', '42596']
['0.00', '54.678478', '25.262907', '32.87', '79.16', '89.74', '28.32', '28.66', '999.25', '42596']
['0.00', '54.678478', '25.262907', '32.87', '79.16', '89.74', '28.32', '28.66', '999.25', '42596']
['0.00', '54.678478', '25.262907', '32.87', '79.16', '89.74', '28.32', '28.66', '999.25', '42596']
['0.00', '54.678478', '25.262907', '32.87', '79.16', '89.74', '28.32', '28.66', '999.25', '42596']
['0.00', '54.678478', '25.262907', '32.87', '79.16', '89.74', '28.32', '28.66', '999.25', '42596']
['0.00', '54.678478', '25.262907', '32.87', '79.16', '89.74', '28.32', '28.66', '999.25', '42596']
['0.00', '54.678478', '25.262907', '32.87', '79.16', '89.74', '28.32', '28.66', '999.25', '42596']
['0.00', '54.678478', '25.262907', '32.87', '79.16', '89.74', '28.32', '28.66', '999.25', '42596']
['0.00', '54.678478', '25.262907', '32.87', '79.16', '89.74', '28.32', '28.66', '999.25', '42596']
['0.00', '54.678478', '25.262907', '32.87', '79.16', '89.74', '28.32', '28.66', '999.25', '42597']
['0.00', '54.678478', '25.262907', '32.87', '79.16', '89.74', '28.32', '28.66', '999.25', '42597']
['0.00', '54.678478', '25.262907', '32.87', '79.16', '89.74', '28.32', '28.66', '999.25', '42597']
['0.00', '54.678478', '25.262907', '32.87', '79.16', '89.74', '28.32', '28.66', '999.25', '42597']
['0.00', '54.678478', '25.262907', '32.87', '79.16', '89.74', '28.32', '28.66', '999.25', '42597']
['0.00', '54.678478', '25.262907', '32.87', '79.16', '89.74', '28.32', '28.66', '999.25', '42597']
['0.00', '54.678478', '25.262907', '32.87', '79.16', '89.74', '28.32', '28.66', '999.25', '42597']
['0.00', '54.678478', '25.262907', '32.87', '79.16', '89.74', '28.32', '28.66', '999.25', '42597']
['0.00', '54.678478', '25.262907', '32.87', '79.16', '89.74', '28.32', '28.66', '999.25', '42597']
['0.00', '54.678478', '25.262907', '32.87', '79.16', '89.74', '28.32', '28.66', '999.25', '42597']
['0.00', '54.678478', '25.262907', '32.87', '79.16', '89.74', '28.32', '28.66', '999.25', '42597']
['0.00', '54.678478', '25.262907', '32.87', '79.16', '89.74', '28.32', '28.66', '999.25', '42597']
['0.00', '54.678478', '25.262907', '32.87', '79.16', '89.74', '28.32', '28.66', '999.25', '42597']
['0.00', '54.678478', '25.262907', '32.87', '79.16', '89.74', '28.32', '28.66', '999.25', '42597']
['0.00', '54.678478', '25.262907', '32.87', '79.16', '89.74', '28.32', '28.66', '999.25', '42597']
['0.00', '54.678478', '25.262907', '32.87', '79.16', '89.74', '28.32', '28.66', '999.25', '42597']
['0.00', '54.678478', '25.262907', '32.91', '79.14', '89.74', '28.32', '28.81', '999.26', '42598']
['0.00', '54.678478', '25.262907', '32.91', '79.14', '89.74', '28.32', '28.81', '999.26', '42598']
['0.00', '54.678478', '25.262907', '32.91', '79.14', '89.74', '28.32', '28.81', '999.26', '42598']
['0.00', '54.678478', '25.262907', '32.91', '79.14', '89.74', '28.32', '28.81', '999.26', '42598']
['0.00', '54.678478', '25.262907', '32.91', '79.14', '89.74', '28.32', '28.81', '999.26', '42598']
['0.00', '54.678478', '25.262907', '32.91', '79.14', '89.74', '28.32', '28.81', '999.26', '42598']
['0.00', '54.678478', '25.262907', '32.91', '79.14', '89.74', '28.32', '28.81', '999.26', '42598']
['0.00', '54.678478', '25.262907', '32.91', '79.14', '89.74', '28.32', '28.81', '999.26', '42598']
['0.00', '54.678478', '25.262907', '32.91', '79.14', '89.74', '28.32', '28.81', '999.26', '42598']
['0.00', '54.678478', '25.262907', '32.91', '79.14', '89.74', '28.32', '28.81', '999.26', '42598']
['0.00', '54.678478', '25.262907', '32.91', '79.14', '89.74', '28.32', '28.81', '999.26', '42598']
['0.00', '54.678478', '25.262907', '32.91', '79.14', '89.74', '28.32', '28.81', '999.26', '42598']
['0.00', '54.678478', '25.262907', '32.91', '79.14', '89.74', '28.32', '28.81', '999.26', '42598']
