['87.66', '54.677708', '25.262806', '-79.30', '70.09', '-23.61', '29.70', '28.73', '1003.46', '4893']
['87.66', '54.677708', '25.262806', '-79.30', '70.09', '-23.61', '29.70', '28.73', '1003.46', '4893']
['87.66', '54.677708', '25.262806', '-79.30', '70.09', '-23.61', '29.70', '28.73', '1003.46', '4893']
['87.66', '54.677708', '25.262806', '-79.30', '70.09', '-23.61', '29.70', '28.73', '1003.46', '4893']
['87.66', '54.677708', '25.262806', '-79.30', '70.09', '-23.61', '29.70', '28.73', '1003.46', '4893']
['87.66', '54.677708', '25.262806', '-79.30', '70.09', '-23.61', '29.70', '28.73', '1003.46', '4893']
['87.66', '54.677708', '25.262806', '-79.30', '70.09', '-23.61', '29.70', '28.73', '1003.46', '4893']
['87.66', '54.677708', '25.262806', '-79.30', '70.09', '-23.61', '29.70', '28.73', '1003.46', '4893']
['87.66', '54.677708', '25.262806', '-79.30', '70.09', '-23.61', '29.70', '28.73', '1003.46', '4893']
['87.66', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4894']
['87.66', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4894']
['87.66', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4894']
['87.66', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4894']
['87.66', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4894']
['87.66', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4894']
['87.66', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4894']
['87.66', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4894']
['87.66', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4894']
['87.66', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4894']
['87.66', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4894']
['87.66', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4894']
['87.66', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4894']
['87.66', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4894']
['87.66', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4894']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4895']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4895']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4895']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4895']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4895']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4895']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4895']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4895']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4895']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4895']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4895']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4895']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4895']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4895']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4895']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4896']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4896']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4896']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4896']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4896']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4896']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4896']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4896']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4896']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4896']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4896']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4896']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4896']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.74', '1002.90', '4896']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.66', '28.72', '1003.51', '4897']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.66', '28.72', '1003.51', '4897']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.66', '28.72', '1003.51', '4897']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.66', '28.72', '1003.51', '4897']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.66', '28.72', '1003.51', '4897']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.66', '28.72', '1003.51', '4897']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.66', '28.72', '1003.51', '4897']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.66', '28.72', '1003.51', '4897']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.66', '28.72', '1003.51', '4897']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.66', '28.72', '1003.51', '4897']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.66', '28.72', '1003.51', '4897']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.66', '28.72', '1003.51', '4897']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.66', '28.72', '1003.51', '4897']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.66', '28.72', '1003.51', '4897']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.66', '28.72', '1003.51', '4897']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.66', '28.72', '1003.51', '4898']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.66', '28.72', '1003.51', '4898']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.66', '28.72', '1003.51', '4898']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.66', '28.72', '1003.51', '4898']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.66', '28.72', '1003.51', '4898']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.66', '28.72', '1003.51', '4898']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.66', '28.72', '1003.51', '4898']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.66', '28.72', '1003.51', '4898']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.66', '28.72', '1003.51', '4898']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.66', '28.72', '1003.51', '4898']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.66', '28.72', '1003.51', '4898']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.66', '28.72', '1003.51', '4898']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.66', '28.72', '1003.51', '4898']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.66', '28.72', '1003.51', '4898']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.66', '28.72', '1003.51', '4898']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.66', '28.72', '1003.51', '4898']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.66', '28.72', '1003.51', '4898']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4899']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4899']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4899']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4899']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4899']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4899']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4899']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4899']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4899']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4899']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4899']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4899']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4899']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4899']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4899']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4900']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4900']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4900']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4900']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4900']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4900']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4900']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4900']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4900']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4900']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4900']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4900']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4900']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4900']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4901']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4901']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4901']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4901']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4901']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4901']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4901']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4901']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4901']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4901']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4901']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4901']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4901']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4901']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.61', '28.73', '1003.33', '4901']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4902']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4902']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4902']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4902']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4902']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4902']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4902']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4902']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4902']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4902']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4902']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4902']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4902']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4902']
['100.94', '54.677708', '25.262804', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4902']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4903']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4903']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4903']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4903']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4903']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4903']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4903']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4903']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4903']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4903']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4903']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4903']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4903']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4903']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4904']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4904']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4904']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4904']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4904']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4904']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4904']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4904']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4904']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4904']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4904']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4904']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4904']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.29', '28.77', '1002.87', '4904']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.67', '28.72', '1003.40', '4905']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.67', '28.72', '1003.40', '4905']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.67', '28.72', '1003.40', '4905']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.67', '28.72', '1003.40', '4905']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.67', '28.72', '1003.40', '4905']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.67', '28.72', '1003.40', '4905']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.67', '28.72', '1003.40', '4905']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.67', '28.72', '1003.40', '4905']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.67', '28.72', '1003.40', '4905']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.67', '28.72', '1003.40', '4905']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.67', '28.72', '1003.40', '4905']
['100.94', '54.677708', '25.262802', '-79.30', '70.09', '-23.61', '29.67', '28.72', '1003.40', '4905']
