['0.00', '54.678902', '25.263592', '23.65', '72.13', '65.00', '26.91', '32.35', '1004.30', '130.65', '31340']
['0.00', '54.678902', '25.263592', '23.65', '72.13', '65.00', '26.91', '32.35', '1004.30', '130.65', '31340']
['0.00', '54.678902', '25.263592', '23.65', '72.13', '65.00', '26.91', '32.35', '1004.30', '130.65', '31340']
['0.00', '54.678902', '25.263592', '23.65', '72.13', '65.00', '26.91', '32.35', '1004.30', '130.65', '31340']
['0.00', '54.678902', '25.263592', '23.65', '72.13', '65.00', '26.91', '32.35', '1004.30', '130.65', '31340']
['0.00', '54.678902', '25.263592', '23.65', '72.13', '65.00', '26.91', '32.35', '1004.30', '130.65', '31340']
['0.00', '54.678902', '25.263592', '23.65', '72.13', '65.00', '26.91', '32.35', '1004.30', '130.65', '31340']
['0.00', '54.678902', '25.263592', '23.65', '72.13', '65.00', '26.91', '32.35', '1004.30', '130.65', '31340']
['0.00', '54.678902', '25.263592', '23.65', '72.13', '65.00', '26.91', '32.35', '1004.30', '130.65', '31340']
['0.00', '54.678902', '25.263592', '23.65', '72.13', '65.00', '26.91', '32.35', '1004.30', '130.65', '31340']
['0.00', '54.678902', '25.263592', '23.65', '72.13', '65.00', '26.91', '32.35', '1004.30', '130.65', '31340']
['0.00', '54.678902', '25.263592', '23.65', '72.13', '65.00', '26.91', '32.35', '1004.30', '130.65', '31340']
['0.00', '54.678902', '25.263592', '23.65', '72.13', '65.00', '26.91', '32.35', '1004.30', '130.65', '31340']
['0.00', '54.678902', '25.263592', '23.65', '72.13', '65.00', '26.91', '32.35', '1004.30', '130.65', '31340']
['0.00', '54.678902', '25.263592', '23.65', '72.13', '65.00', '26.91', '32.35', '1004.30', '130.65', '31340']
['0.00', '54.678902', '25.263592', '23.65', '72.13', '65.00', '26.91', '32.35', '1004.30', '130.65', '31340']
['0.00', '54.678902', '25.263592', '23.65', '72.13', '65.00', '26.91', '32.35', '1004.30', '130.65', '31340']
['0.00', '54.678902', '25.263592', '23.65', '72.13', '65.00', '26.91', '32.35', '1004.30', '130.65', '31340']
['0.00', '54.678902', '25.263592', '23.65', '72.13', '65.00', '26.91', '32.35', '1004.30', '130.65', '31340']
