['7.97', '54.677975', '25.263493', '-40.39', '76.48', '-16.93', '26.62', '34.31', '992.16', '2974']
['7.97', '54.677975', '25.263493', '-40.39', '76.48', '-16.93', '26.62', '34.31', '992.16', '2975']
['7.97', '54.677979', '25.263493', '-40.39', '76.48', '-16.93', '26.62', '34.20', '991.48', '2976']
['7.97', '54.677979', '25.263493', '-40.39', '76.48', '-16.93', '26.62', '34.20', '991.48', '2976']
['7.97', '54.677979', '25.263493', '-40.39', '76.48', '-16.93', '26.62', '34.20', '991.48', '2977']
['7.97', '54.677979', '25.263493', '-40.39', '76.48', '-16.93', '26.62', '34.20', '991.48', '2977']
['7.97', '54.677979', '25.263493', '-40.39', '76.48', '-16.93', '26.62', '34.20', '991.48', '2978']
['7.97', '54.677979', '25.263494', '-40.39', '76.48', '-16.93', '26.62', '34.31', '992.13', '2979']
['7.97', '54.677979', '25.263494', '-40.39', '76.48', '-16.93', '26.62', '34.31', '992.13', '2979']
['7.97', '54.677979', '25.263494', '-40.39', '76.48', '-16.93', '26.62', '34.31', '992.13', '2980']
['7.97', '54.677979', '25.263494', '-40.39', '76.48', '-16.93', '26.67', '34.33', '992.32', '2981']
['7.97', '54.677979', '25.263494', '-40.39', '76.48', '-16.93', '26.67', '34.33', '992.32', '2981']
['7.97', '54.677979', '25.263494', '-40.39', '76.48', '-16.93', '26.67', '34.33', '992.32', '2982']
['7.97', '54.677982', '25.263494', '-40.39', '76.48', '-16.93', '26.67', '34.33', '992.32', '2983']
['7.97', '54.677982', '25.263494', '-40.39', '76.48', '-16.93', '26.67', '34.33', '992.32', '2983']
['7.97', '54.677982', '25.263494', '-40.39', '76.48', '-16.94', '26.67', '34.34', '992.24', '2984']
['7.97', '54.677982', '25.263494', '-40.39', '76.48', '-16.94', '26.67', '34.34', '992.24', '2984']
['7.97', '54.677982', '25.263494', '-40.39', '76.48', '-16.94', '26.67', '34.34', '992.24', '2985']
['7.97', '54.677982', '25.263494', '-40.41', '76.49', '-16.93', '26.18', '34.35', '991.49', '2986']
['7.97', '54.677982', '25.263494', '-40.41', '76.49', '-16.93', '26.18', '34.35', '991.49', '2986']
['7.97', '54.677982', '25.263494', '-40.41', '76.49', '-16.93', '26.18', '34.35', '991.49', '2987']
['7.97', '54.677982', '25.263494', '-40.41', '76.49', '-16.93', '26.18', '34.35', '991.49', '2987']
['7.97', '54.677986', '25.263494', '-40.41', '76.49', '-16.93', '26.18', '34.35', '991.49', '2988']
['7.97', '54.677986', '25.263494', '-40.42', '76.48', '-16.89', '26.18', '34.35', '991.49', '2989']
['7.97', '54.677986', '25.263494', '-40.42', '76.48', '-16.89', '26.18', '34.35', '991.49', '2989']
['7.97', '54.677986', '25.263494', '-40.42', '76.48', '-16.89', '26.18', '34.35', '991.49', '2990']
['7.97', '54.677986', '25.263494', '-40.42', '76.48', '-16.89', '26.18', '34.35', '991.49', '2990']
['7.97', '54.677986', '25.263494', '-40.39', '76.48', '-16.89', '26.62', '34.35', '992.15', '2991']
['7.97', '54.677986', '25.263494', '-40.39', '76.48', '-16.89', '26.62', '34.35', '992.15', '2992']
['7.97', '54.677986', '25.263494', '-40.39', '76.48', '-16.89', '26.62', '34.35', '992.15', '2992']
['7.97', '54.677986', '25.263494', '-40.39', '76.48', '-16.89', '26.62', '34.35', '992.15', '2993']
['7.97', '54.677986', '25.263494', '-40.39', '76.48', '-16.89', '26.62', '34.35', '992.15', '2993']
['7.97', '54.677990', '25.263496', '-40.39', '76.48', '-16.89', '26.62', '34.35', '992.12', '2994']
['7.97', '54.677990', '25.263494', '-40.39', '76.48', '-16.89', '26.62', '34.35', '992.12', '2995']
['7.97', '54.677990', '25.263494', '-40.39', '76.48', '-16.89', '26.62', '34.35', '992.12', '2995']
['7.97', '54.677990', '25.263494', '-40.39', '76.48', '-16.89', '26.62', '34.35', '992.12', '2996']
['7.97', '54.677990', '25.263494', '-40.39', '76.48', '-16.89', '26.62', '34.35', '992.12', '2996']
['7.97', '54.677990', '25.263494', '-40.39', '76.48', '-16.89', '26.67', '34.35', '992.21', '2997']
['7.97', '54.677990', '25.263494', '-40.39', '76.48', '-16.89', '26.67', '34.35', '992.21', '2998']
['7.97', '54.677990', '25.263494', '-40.39', '76.48', '-16.89', '26.67', '34.35', '992.21', '2998']
['7.97', '54.677990', '25.263494', '-40.39', '76.48', '-16.89', '26.62', '34.36', '992.21', '2999']
['7.97', '54.677990', '25.263494', '-40.39', '76.48', '-16.89', '26.62', '34.36', '992.21', '3000']
['7.97', '54.677990', '25.263494', '-40.39', '76.48', '-16.89', '26.62', '34.36', '992.21', '3000']
['7.97', '54.677994', '25.263496', '-40.39', '76.48', '-16.89', '26.62', '34.36', '992.21', '3001']
['7.97', '54.677994', '25.263496', '-40.39', '76.48', '-16.89', '26.62', '34.36', '992.21', '3001']
['7.97', '54.677994', '25.263496', '-40.39', '76.48', '-16.89', '26.56', '34.33', '992.14', '3002']
['7.97', '54.677994', '25.263496', '-40.39', '76.48', '-16.89', '26.56', '34.33', '992.14', '3003']
['7.97', '54.677994', '25.263496', '-40.39', '76.48', '-16.89', '26.56', '34.33', '992.14', '3003']
['7.97', '54.677994', '25.263496', '-40.39', '76.48', '-16.89', '26.62', '34.36', '992.17', '3004']
['7.97', '54.677994', '25.263496', '-40.39', '76.48', '-16.89', '26.62', '34.36', '992.17', '3005']
['7.97', '54.677994', '25.263496', '-40.39', '76.48', '-16.89', '26.62', '34.36', '992.17', '3005']
['7.97', '54.677994', '25.263496', '-40.39', '76.48', '-16.89', '26.62', '34.36', '992.17', '3006']
['7.97', '54.677994', '25.263496', '-40.39', '76.48', '-16.89', '26.62', '34.35', '992.15', '3007']
['7.97', '54.677994', '25.263496', '-40.39', '76.48', '-16.89', '26.62', '34.35', '992.15', '3007']
['7.97', '54.677994', '25.263496', '-40.39', '76.48', '-16.89', '26.62', '34.35', '992.15', '3008']
['7.97', '54.677994', '25.263496', '-40.39', '76.48', '-16.89', '26.62', '34.35', '992.15', '3008']
['7.97', '54.677994', '25.263496', '-40.39', '76.48', '-16.89', '26.67', '34.33', '992.23', '3009']
['7.97', '54.677994', '25.263496', '-40.39', '76.48', '-16.89', '26.67', '34.33', '992.23', '3010']
['7.97', '54.677994', '25.263496', '-40.39', '76.48', '-16.89', '26.67', '34.33', '992.23', '3010']
['7.97', '54.677994', '25.263496', '-40.39', '76.48', '-16.89', '26.67', '34.33', '992.23', '3011']
['7.97', '54.677998', '25.263498', '-40.39', '76.48', '-16.89', '26.67', '34.34', '992.22', '3012']
['7.97', '54.677998', '25.263498', '-40.39', '76.48', '-16.89', '26.67', '34.34', '992.22', '3012']
['7.97', '54.677998', '25.263498', '-40.39', '76.48', '-16.89', '26.67', '34.34', '992.22', '3013']
['7.97', '54.677998', '25.263498', '-40.39', '76.48', '-16.89', '26.67', '34.34', '992.22', '3013']
['7.97', '54.677998', '25.263498', '-40.39', '76.48', '-16.86', '26.18', '34.36', '991.48', '3014']
['7.97', '54.677998', '25.263498', '-40.39', '76.48', '-16.86', '26.18', '34.36', '991.48', '3015']
['7.97', '54.677998', '25.263498', '-40.39', '76.48', '-16.86', '26.18', '34.36', '991.48', '3015']
['7.97', '54.677998', '25.263498', '-40.39', '76.48', '-16.86', '26.18', '34.36', '991.48', '3015']
['7.97', '54.677998', '25.263498', '-40.36', '76.48', '-16.85', '26.61', '34.36', '992.21', '3017']
['7.97', '54.677998', '25.263498', '-40.36', '76.48', '-16.85', '26.61', '34.36', '992.21', '3017']
['7.97', '54.677998', '25.263498', '-40.36', '76.48', '-16.85', '26.61', '34.36', '992.21', '3018']
['7.97', '54.677998', '25.263498', '-40.36', '76.48', '-16.85', '26.61', '34.36', '992.21', '3018']
['7.97', '54.677998', '25.263498', '-40.36', '76.48', '-16.85', '26.61', '34.36', '992.21', '3019']
['7.97', '54.677998', '25.263498', '-40.36', '76.49', '-16.86', '26.62', '34.37', '992.15', '3020']
['7.97', '54.677998', '25.263498', '-40.36', '76.49', '-16.86', '26.62', '34.37', '992.15', '3020']
['7.97', '54.677998', '25.263500', '-40.36', '76.49', '-16.86', '26.62', '34.37', '992.15', '3021']
['7.97', '54.678001', '25.263500', '-40.39', '76.49', '-16.86', '26.62', '34.38', '992.14', '3022']
['7.97', '54.678001', '25.263500', '-40.39', '76.49', '-16.86', '26.62', '34.38', '992.14', '3022']
['7.97', '54.678001', '25.263500', '-40.39', '76.49', '-16.86', '26.62', '34.38', '992.14', '3023']
['7.97', '54.678001', '25.263500', '-40.39', '76.49', '-16.86', '26.62', '34.38', '992.14', '3023']
['7.97', '54.678001', '25.263500', '-40.39', '76.49', '-16.86', '26.62', '34.38', '992.14', '3024']
['7.97', '54.678001', '25.263500', '-40.39', '76.49', '-16.86', '26.66', '34.37', '992.20', '3025']
['7.97', '54.678001', '25.263500', '-40.39', '76.49', '-16.86', '26.66', '34.37', '992.20', '3025']
['7.97', '54.678001', '25.263500', '-40.39', '76.49', '-16.86', '26.66', '34.37', '992.20', '3026']
['7.97', '54.678001', '25.263500', '-40.39', '76.49', '-16.86', '26.57', '34.37', '992.14', '3027']
['7.97', '54.678001', '25.263500', '-40.39', '76.49', '-16.86', '26.57', '34.37', '992.14', '3027']
['7.97', '54.678001', '25.263500', '-40.39', '76.49', '-16.86', '26.57', '34.37', '992.14', '3028']
['7.97', '54.678001', '25.263500', '-40.39', '76.49', '-16.86', '26.57', '34.37', '992.14', '3028']
['7.97', '54.678001', '25.263500', '-40.39', '76.49', '-16.86', '26.57', '34.37', '992.14', '3029']
['7.97', '54.678001', '25.263500', '-40.39', '76.49', '-16.86', '26.62', '34.37', '992.18', '3030']
['7.97', '54.678001', '25.263500', '-40.39', '76.49', '-16.86', '26.62', '34.37', '992.18', '3030']
['7.97', '54.678001', '25.263500', '-40.39', '76.49', '-16.86', '26.62', '34.37', '992.18', '3031']
['7.97', '54.678001', '25.263500', '-40.39', '76.49', '-16.86', '26.62', '34.37', '992.18', '3032']
['7.97', '54.678001', '25.263500', '-40.39', '76.49', '-16.86', '26.62', '34.37', '992.18', '3032']
['7.97', '54.678005', '25.263502', '-40.39', '76.49', '-16.88', '26.62', '34.37', '992.12', '3033']
['7.97', '54.678001', '25.263502', '-40.39', '76.49', '-16.88', '26.62', '34.37', '992.12', '3034']
['7.97', '54.678001', '25.263502', '-40.39', '76.49', '-16.88', '26.62', '34.37', '992.12', '3034']
['7.97', '54.678001', '25.263504', '-40.42', '76.48', '-16.88', '26.67', '34.39', '992.22', '3035']
['7.97', '54.678001', '25.263504', '-40.42', '76.48', '-16.88', '26.67', '34.39', '992.22', '3036']
['7.97', '54.678001', '25.263504', '-40.42', '76.48', '-16.88', '26.67', '34.39', '992.22', '3036']
['7.97', '54.678001', '25.263504', '-40.42', '76.48', '-16.88', '26.67', '34.39', '992.22', '3037']
['7.97', '54.678001', '25.263504', '-40.42', '76.48', '-16.88', '26.67', '34.39', '992.22', '3037']
['7.97', '54.678001', '25.263504', '-40.44', '76.49', '-16.91', '26.67', '34.36', '992.20', '3038']
['7.97', '54.678001', '25.263504', '-40.44', '76.49', '-16.91', '26.67', '34.36', '992.20', '3039']
['7.97', '54.678001', '25.263504', '-40.44', '76.49', '-16.91', '26.67', '34.36', '992.20', '3039']
['7.97', '54.678001', '25.263506', '-40.45', '76.48', '-16.91', '26.58', '34.44', '992.12', '3040']
['7.97', '54.678001', '25.263506', '-40.45', '76.48', '-16.91', '26.58', '34.44', '992.12', '3041']
['7.97', '54.678001', '25.263506', '-40.45', '76.48', '-16.91', '26.58', '34.44', '992.12', '3041']
['7.97', '54.678001', '25.263506', '-40.45', '76.48', '-16.91', '26.58', '34.44', '992.12', '3042']
['7.97', '54.678001', '25.263508', '-40.45', '76.48', '-16.91', '26.67', '34.36', '992.28', '3043']
['7.97', '54.678001', '25.263508', '-40.45', '76.48', '-16.91', '26.67', '34.36', '992.28', '3043']
['7.97', '54.678001', '25.263508', '-40.45', '76.48', '-16.91', '26.67', '34.36', '992.28', '3044']
['7.97', '54.678001', '25.263508', '-40.45', '76.48', '-16.91', '26.67', '34.36', '992.28', '3044']
['7.97', '54.678001', '25.263508', '-40.45', '76.48', '-16.91', '26.46', '34.37', '991.89', '3045']
['7.97', '54.678001', '25.263508', '-40.45', '76.48', '-16.91', '26.46', '34.37', '991.89', '3045']
['7.97', '54.678001', '25.263508', '-40.45', '76.48', '-16.91', '26.46', '34.37', '991.89', '3046']
['7.97', '54.678001', '25.263508', '-40.45', '76.48', '-16.91', '26.46', '34.37', '991.89', '3047']
['7.97', '54.678001', '25.263508', '-40.45', '76.48', '-16.91', '26.46', '34.37', '991.89', '3047']
['7.97', '54.678001', '25.263508', '-40.45', '76.48', '-16.91', '26.61', '34.37', '992.19', '3048']
['7.97', '54.678001', '25.263510', '-40.45', '76.48', '-16.91', '26.61', '34.37', '992.19', '3049']
['7.97', '54.678001', '25.263510', '-40.45', '76.48', '-16.91', '26.61', '34.37', '992.19', '3049']
['7.97', '54.678001', '25.263510', '-40.45', '76.48', '-16.91', '26.61', '34.37', '992.19', '3050']
['7.97', '54.678001', '25.263510', '-40.45', '76.48', '-16.91', '26.61', '34.37', '992.19', '3050']
['7.97', '54.678001', '25.263512', '-40.45', '76.48', '-16.91', '26.63', '34.36', '992.14', '3051']
['7.97', '54.678001', '25.263512', '-40.45', '76.48', '-16.91', '26.63', '34.36', '992.14', '3052']
['7.97', '54.678001', '25.263514', '-40.45', '76.48', '-16.91', '26.57', '34.37', '992.05', '3053']
['7.97', '54.678001', '25.263514', '-40.45', '76.48', '-16.91', '26.57', '34.37', '992.05', '3053']
['7.97', '54.678001', '25.263514', '-40.45', '76.48', '-16.91', '26.57', '34.37', '992.05', '3054']
['7.97', '54.678001', '25.263514', '-40.45', '76.48', '-16.91', '26.57', '34.37', '992.05', '3054']
['7.97', '54.678001', '25.263514', '-40.45', '76.48', '-16.91', '26.57', '34.37', '992.05', '3055']
['7.97', '54.678001', '25.263514', '-40.45', '76.48', '-16.91', '26.67', '34.36', '992.23', '3056']
['7.97', '54.678001', '25.263514', '-40.45', '76.48', '-16.91', '26.67', '34.36', '992.23', '3056']
['7.97', '54.678001', '25.263514', '-40.45', '76.48', '-16.91', '26.67', '34.36', '992.23', '3057']
['7.97', '54.678001', '25.263514', '-40.45', '76.48', '-16.91', '26.67', '34.36', '992.23', '3057']
['7.97', '54.678001', '25.263515', '-40.45', '76.48', '-16.91', '26.22', '34.39', '991.55', '3058']
['7.97', '54.678001', '25.263515', '-40.45', '76.48', '-16.91', '26.22', '34.39', '991.55', '3059']
['7.97', '54.678001', '25.263515', '-40.45', '76.48', '-16.91', '26.22', '34.39', '991.55', '3059']
['7.97', '54.678001', '25.263515', '-40.45', '76.48', '-16.91', '26.22', '34.39', '991.55', '3060']
['7.97', '54.678001', '25.263515', '-40.45', '76.48', '-16.91', '26.61', '34.44', '992.21', '3061']
['7.97', '54.678001', '25.263515', '-40.45', '76.48', '-16.91', '26.61', '34.44', '992.21', '3061']
['7.97', '54.677998', '25.263517', '-40.45', '76.48', '-16.91', '26.61', '34.44', '992.21', '3062']
['7.97', '54.677998', '25.263517', '-40.45', '76.48', '-16.91', '26.61', '34.44', '992.21', '3062']
['7.97', '54.677998', '25.263517', '-40.45', '76.48', '-16.91', '26.61', '34.44', '992.21', '3063']
['7.97', '54.677998', '25.263517', '-40.45', '76.48', '-16.91', '26.61', '34.39', '992.14', '3064']
['7.97', '54.677998', '25.263517', '-40.45', '76.48', '-16.91', '26.61', '34.39', '992.14', '3064']
['7.97', '54.677998', '25.263517', '-40.45', '76.48', '-16.91', '26.61', '34.39', '992.14', '3065']
['7.97', '54.677998', '25.263517', '-40.45', '76.48', '-16.91', '26.56', '34.39', '992.09', '3066']
['7.97', '54.677998', '25.263517', '-40.45', '76.48', '-16.91', '26.56', '34.39', '992.09', '3066']
['7.97', '54.677998', '25.263517', '-40.45', '76.48', '-16.91', '26.56', '34.39', '992.09', '3067']
['7.97', '54.677998', '25.263517', '-40.45', '76.48', '-16.91', '26.56', '34.39', '992.09', '3067']
['7.97', '54.677998', '25.263519', '-40.45', '76.48', '-16.91', '26.56', '34.39', '992.09', '3068']
['7.97', '54.677998', '25.263519', '-40.45', '76.48', '-16.91', '26.67', '34.35', '992.21', '3069']
['7.97', '54.677998', '25.263519', '-40.45', '76.48', '-16.91', '26.67', '34.35', '992.21', '3069']
['7.97', '54.677998', '25.263519', '-40.45', '76.48', '-16.91', '26.67', '34.35', '992.21', '3070']
['7.97', '54.677998', '25.263519', '-40.45', '76.48', '-16.91', '26.67', '34.35', '992.21', '3070']
['7.97', '54.677998', '25.263519', '-40.45', '76.48', '-16.91', '26.23', '34.36', '991.56', '3071']
['7.97', '54.677998', '25.263519', '-40.45', '76.48', '-16.91', '26.23', '34.36', '991.56', '3072']
['7.97', '54.677998', '25.263519', '-40.45', '76.48', '-16.91', '26.23', '34.36', '991.56', '3072']
['7.97', '54.677998', '25.263521', '-40.45', '76.48', '-16.91', '26.23', '34.36', '991.56', '3073']
['7.97', '54.677998', '25.263523', '-40.45', '76.48', '-16.91', '26.57', '34.38', '992.15', '3074']
['7.97', '54.677998', '25.263523', '-40.45', '76.48', '-16.91', '26.57', '34.38', '992.15', '3074']
['7.97', '54.677998', '25.263523', '-40.45', '76.48', '-16.91', '26.57', '34.38', '992.15', '3075']
['7.97', '54.677998', '25.263523', '-40.45', '76.48', '-16.91', '26.57', '34.38', '992.15', '3076']
['7.97', '54.677998', '25.263523', '-40.45', '76.48', '-16.91', '26.57', '34.38', '992.15', '3076']
['7.97', '54.677998', '25.263523', '-40.45', '76.48', '-16.91', '26.62', '34.36', '992.15', '3077']
['7.97', '54.677998', '25.263523', '-40.45', '76.48', '-16.91', '26.62', '34.36', '992.15', '3077']
['7.97', '54.677998', '25.263523', '-40.45', '76.48', '-16.91', '26.62', '34.36', '992.15', '3078']
['7.97', '54.677998', '25.263523', '-40.45', '76.48', '-16.91', '26.57', '34.37', '992.08', '3079']
['7.97', '54.677998', '25.263523', '-40.45', '76.48', '-16.91', '26.57', '34.37', '992.08', '3079']
['7.97', '54.677998', '25.263523', '-40.45', '76.48', '-16.91', '26.57', '34.37', '992.08', '3080']
['7.97', '54.678001', '25.263521', '-40.45', '76.48', '-16.91', '26.57', '34.37', '992.08', '3081']
['7.97', '54.678001', '25.263521', '-40.45', '76.48', '-16.91', '26.57', '34.37', '992.08', '3081']
['7.97', '54.678001', '25.263521', '-40.45', '76.48', '-16.91', '26.57', '34.37', '992.08', '3081']
['7.97', '54.678001', '25.263521', '-40.45', '76.48', '-16.91', '26.66', '34.37', '992.21', '3083']
['7.97', '54.678001', '25.263521', '-40.45', '76.48', '-16.91', '26.66', '34.37', '992.21', '3083']
['7.97', '54.678001', '25.263523', '-40.45', '76.48', '-16.91', '26.25', '34.39', '991.58', '3084']
['7.97', '54.678001', '25.263523', '-40.45', '76.48', '-16.91', '26.25', '34.39', '991.58', '3084']
['7.97', '54.678001', '25.263523', '-40.45', '76.48', '-16.91', '26.25', '34.39', '991.58', '3085']
['7.97', '54.678001', '25.263523', '-40.45', '76.48', '-16.91', '26.25', '34.39', '991.58', '3086']
['7.97', '54.678001', '25.263523', '-40.45', '76.48', '-16.91', '26.25', '34.39', '991.58', '3086']
['7.97', '54.678001', '25.263523', '-40.45', '76.48', '-16.91', '26.57', '34.40', '992.18', '3087']
['7.97', '54.677998', '25.263525', '-40.45', '76.48', '-16.91', '26.57', '34.40', '992.18', '3088']
['7.97', '54.677998', '25.263525', '-40.45', '76.48', '-16.91', '26.57', '34.40', '992.18', '3088']
['7.97', '54.677998', '25.263525', '-40.45', '76.48', '-16.91', '26.57', '34.40', '992.18', '3089']
['7.97', '54.677998', '25.263525', '-40.45', '76.48', '-16.91', '26.57', '34.40', '992.18', '3089']
['7.97', '54.677998', '25.263525', '-40.45', '76.48', '-16.91', '26.62', '34.42', '992.18', '3090']
['7.97', '54.677998', '25.263527', '-40.45', '76.48', '-16.91', '26.62', '34.42', '992.18', '3091']
['7.97', '54.677998', '25.263527', '-40.45', '76.48', '-16.91', '26.62', '34.42', '992.18', '3091']
['7.97', '54.677998', '25.263527', '-40.45', '76.48', '-16.91', '26.58', '34.42', '992.09', '3092']
['7.97', '54.677998', '25.263527', '-40.45', '76.48', '-16.91', '26.58', '34.42', '992.09', '3093']
['7.97', '54.677998', '25.263527', '-40.45', '76.48', '-16.91', '26.58', '34.42', '992.09', '3093']
['7.97', '54.677998', '25.263527', '-40.45', '76.48', '-16.91', '26.58', '34.42', '992.09', '3094']
['7.97', '54.677994', '25.263529', '-40.45', '76.48', '-16.91', '26.66', '34.44', '992.21', '3095']
['7.97', '54.677994', '25.263529', '-40.45', '76.48', '-16.91', '26.66', '34.44', '992.21', '3095']
['7.97', '54.677994', '25.263529', '-40.45', '76.48', '-16.91', '26.66', '34.44', '992.21', '3096']
['7.97', '54.677994', '25.263529', '-40.45', '76.48', '-16.91', '26.66', '34.44', '992.21', '3096']
['7.97', '54.677994', '25.263529', '-40.45', '76.48', '-16.91', '26.55', '34.46', '992.11', '3097']
['7.97', '54.677994', '25.263529', '-40.45', '76.48', '-16.91', '26.55', '34.46', '992.11', '3098']
['7.97', '54.677994', '25.263529', '-40.45', '76.48', '-16.91', '26.55', '34.46', '992.11', '3098']
['7.97', '54.677994', '25.263531', '-40.45', '76.48', '-16.91', '26.55', '34.46', '992.11', '3099']
