['0.00', '54.677933', '25.263092', '66.54', '80.84', '99.24', '30.91', '29.03', '1003.49', '137.46', '1168']
['0.00', '54.677933', '25.263092', '66.54', '80.84', '99.24', '30.91', '29.03', '1003.49', '137.46', '1168']
['0.00', '54.677933', '25.263092', '66.54', '80.84', '99.24', '30.91', '29.03', '1003.49', '137.46', '1168']
['0.00', '54.677933', '25.263092', '66.54', '80.84', '99.24', '30.91', '29.03', '1003.49', '137.46', '1168']
['0.00', '54.677933', '25.263092', '66.54', '80.84', '99.24', '30.91', '29.03', '1003.49', '137.46', '1168']
['0.00', '54.677921', '25.263109', '66.54', '80.84', '99.24', '30.91', '29.03', '1003.49', '137.46', '1169']
['0.00', '54.677921', '25.263109', '66.54', '80.84', '99.24', '30.91', '29.03', '1003.49', '137.46', '1169']
['0.00', '54.677921', '25.263109', '66.54', '80.84', '99.24', '30.91', '29.03', '1003.49', '137.46', '1169']
['0.00', '54.677921', '25.263109', '66.54', '80.84', '99.24', '30.91', '29.03', '1003.49', '137.46', '1169']
['0.00', '54.677921', '25.263109', '66.54', '80.84', '99.24', '30.91', '29.03', '1003.49', '137.46', '1169']
['0.00', '54.677921', '25.263109', '66.54', '80.84', '99.24', '30.91', '29.03', '1003.49', '137.46', '1169']
['0.00', '54.677921', '25.263109', '66.54', '80.84', '99.24', '30.91', '29.03', '1003.49', '137.46', '1169']
['0.00', '54.677921', '25.263109', '66.54', '80.84', '99.24', '30.91', '29.03', '1003.49', '137.46', '1169']
['0.00', '54.677921', '25.263109', '66.54', '80.84', '99.24', '30.91', '29.03', '1003.49', '137.46', '1169']
['0.00', '54.677921', '25.263109', '66.54', '80.84', '99.24', '30.91', '29.03', '1003.49', '137.46', '1169']
['0.00', '54.677921', '25.263109', '66.54', '80.84', '99.24', '30.91', '29.03', '1003.49', '137.46', '1169']
['0.00', '54.677921', '25.263109', '66.54', '80.84', '99.24', '30.91', '29.03', '1003.49', '137.46', '1169']
['0.00', '54.677921', '25.263109', '66.54', '80.84', '99.24', '30.91', '29.03', '1003.49', '137.46', '1169']
['0.00', '54.677921', '25.263109', '66.54', '80.84', '99.24', '30.91', '29.03', '1003.49', '137.46', '1169']
['0.00', '54.677921', '25.263109', '66.54', '80.84', '99.24', '30.91', '29.03', '1003.49', '137.46', '1169']
['0.00', '54.677921', '25.263109', '66.54', '80.84', '99.24', '30.91', '29.03', '1003.49', '137.46', '1169']
['0.00', '54.677921', '25.263109', '66.54', '80.84', '99.24', '30.91', '29.03', '1003.49', '137.46', '1169']
['0.00', '54.677906', '25.263124', '66.57', '80.82', '99.25', '30.51', '29.14', '1002.85', '137.96', '1170']
