['0.00', '0.000000', '0.000000', '-129.50', '-1.09', '-4.69', '29.08', '43.39', '993.86', '4931']
['0.00', '0.000000', '0.000000', '-129.50', '-1.09', '-4.69', '29.08', '43.39', '993.86', '4931']
['0.00', '0.000000', '0.000000', '-129.50', '-1.09', '-4.69', '29.08', '43.39', '993.86', '4931']
['0.00', '0.000000', '0.000000', '-161.07', '-0.96', '-9.31', '29.15', '43.69', '993.84', '4932']
['0.00', '0.000000', '0.000000', '-161.07', '-0.96', '-9.31', '29.15', '43.69', '993.84', '4932']
['0.00', '0.000000', '0.000000', '-161.07', '-0.96', '-9.31', '29.15', '43.69', '993.84', '4932']
['0.00', '0.000000', '0.000000', '-161.07', '-0.96', '-9.31', '29.15', '43.69', '993.84', '4932']
['0.00', '0.000000', '0.000000', '-161.07', '-0.96', '-9.31', '29.15', '43.69', '993.84', '4933']
['0.00', '0.000000', '0.000000', '-161.07', '-0.96', '-9.31', '29.15', '43.69', '993.84', '4933']
['0.00', '0.000000', '0.000000', '-161.07', '-0.96', '-9.31', '29.15', '43.69', '993.84', '4933']
['0.00', '0.000000', '0.000000', '165.69', '-4.62', '-8.43', '29.15', '43.94', '993.84', '4934']
['0.00', '0.000000', '0.000000', '165.69', '-4.62', '-8.43', '29.15', '43.94', '993.84', '4934']
['0.00', '0.000000', '0.000000', '165.69', '-4.62', '-8.43', '29.15', '43.94', '993.84', '4934']
['0.00', '0.000000', '0.000000', '165.69', '-4.62', '-8.43', '29.15', '43.94', '993.84', '4935']
['0.00', '0.000000', '0.000000', '165.69', '-4.62', '-8.43', '29.15', '43.94', '993.84', '4935']
['0.00', '0.000000', '0.000000', '165.69', '-4.62', '-8.43', '29.15', '43.94', '993.84', '4935']
['0.00', '0.000000', '0.000000', '165.69', '-4.62', '-8.43', '29.15', '43.94', '993.84', '4936']
['0.00', '0.000000', '0.000000', '165.69', '-4.62', '-8.43', '29.15', '43.94', '993.84', '4936']
['0.00', '0.000000', '0.000000', '165.69', '-4.62', '-8.43', '29.15', '43.94', '993.84', '4936']
['0.00', '0.000000', '0.000000', '165.69', '-4.62', '-8.43', '29.15', '43.94', '993.84', '4936']
['0.00', '0.000000', '0.000000', '148.62', '-11.65', '-9.14', '29.14', '44.18', '993.85', '4937']
['0.00', '0.000000', '0.000000', '148.62', '-11.65', '-9.14', '29.14', '44.18', '993.85', '4937']
['0.00', '0.000000', '0.000000', '148.62', '-11.65', '-9.14', '29.14', '44.18', '993.85', '4937']
['0.00', '0.000000', '0.000000', '148.62', '-11.65', '-9.14', '29.14', '44.18', '993.85', '4938']
['0.00', '0.000000', '0.000000', '148.62', '-11.65', '-9.14', '29.14', '44.18', '993.85', '4938']
['0.00', '0.000000', '0.000000', '148.62', '-11.65', '-9.14', '29.14', '44.18', '993.85', '4938']
['0.00', '0.000000', '0.000000', '148.62', '-11.65', '-9.14', '29.14', '44.18', '993.85', '4939']
['0.00', '0.000000', '0.000000', '148.62', '-11.65', '-9.14', '29.14', '44.18', '993.85', '4939']
['0.00', '0.000000', '0.000000', '148.62', '-11.65', '-9.14', '29.14', '44.18', '993.85', '4939']
['0.00', '0.000000', '0.000000', '148.15', '-10.29', '-8.21', '29.19', '44.01', '993.88', '4940']
['0.00', '0.000000', '0.000000', '148.15', '-10.29', '-8.21', '29.19', '44.01', '993.88', '4940']
['0.00', '0.000000', '0.000000', '148.15', '-10.29', '-8.21', '29.19', '44.01', '993.88', '4940']
['0.00', '0.000000', '0.000000', '148.15', '-10.29', '-8.21', '29.19', '44.01', '993.88', '4941']
['0.00', '0.000000', '0.000000', '148.15', '-10.29', '-8.21', '29.19', '44.01', '993.88', '4941']
